data,age,gender
81,21,0
99,,
98,,
108,,
175,,
276,,
349,,
489,,
465,,
511,,
511,,
278,,
269,,
272,,
310,,
256,,
233,,
485,,
963,,
827,,
416,,
416,,
363,,
224,,
711,,
682,,
376,,
243,,
414,,
399,,
269,,
313,,
313,,
479,,
399,,
169,,
189,,
154,,
290,,
644,,
797,,
293,,
287,,
287,,
534,,
378,,
270,,
221,,
357,,
452,,
365,,
168,,
380,,
369,,
369,,
289,,
214,,
333,,
364,,
216,,
213,,
369,,
331,,
305,,
314,,
314,,
269,,
253,,
219,,
239,,
253,,
279,,
227,,
245,,
357,,
388,,
388,,
253,,
288,,
231,,
254,,
324,,
203,,
287,,
315,,
329,,
322,,
322,,
288,,
248,,
273,,
249,,
252,,
301,,
272,,
176,,
174,,
219,,
219,,
271,,
228,,
295,,
292,,
200,,
265,,
534,,
330,,
302,,
524,,
524,,
274,,
312,,
304,,
227,,
292,,
237,,
238,,
246,,
314,,
274,,
274,,
213,,
235,,
193,,
236,,
189,,
206,,
210,,
298,,
292,,
254,,
254,,
483,,
422,,
400,,
346,,
331,,
240,,
192,,
205,,
330,,
282,,
282,,
248,,
231,,
229,,
282,,
266,,
294,,
234,,
296,,
268,,
273,,
273,,
377,,
298,,
311,,
197,,
243,,
239,,
259,,
228,,
225,,
376,,
376,,
293,,
354,,
611,,
575,,
652,,
559,,
681,,
770,,
492,,
306,,
306,,
498,,
357,,
376,,
322,,
382,,
340,,
358,,
390,,
293,,
246,,
246,,
376,,
373,,
225,,
263,,
458,,
349,,
293,,
253,,
289,,
256,,
256,,
208,,
293,,
150,,
152,,
106,,
598,,
587,,
716,,
567,,
488,,
488,,
391,,
401,,
350,,
289,,
292,,
346,,
250,,
319,,
178,,
394,,
394,,
386,,
428,,
514,,
443,,
329,,
401,,
421,,
429,,
297,,
395,,
395,,
372,,
316,,
287,,
280,,
254,,
205,,
321,,
285,,
343,,
292,,
292,,
302,,
186,,
304,,
192,,
225,,
331,,
309,,
183,,
512,,
527,,
527,,
960,,
640,,
516,,
444,,
299,,
328,,
169,,
120,,
239,,
283,,
283,,
339,,
407,,
283,,
238,,
160,,
116,,
237,,
229,,
335,,
403,,
403,,
308,,
445,,
306,,
919,,
651,,
731,,
550,,
435,,
658,,
397,,
397,,
266,,
262,,
263,,
300,,
286,,
277,,
251,,
387,,
200,,
248,,
248,,
250,,
342,,
195,,
199,,
470,,
588,,
627,,
468,,
672,,
733,,
733,,
635,,
546,,
472,,
463,,
367,,
661,,
438,,
420,,
422,,
550,,
550,,
392,,
348,,
273,,
287,,
361,,
574,,
373,,
275,,
334,,
281,,
281,,
282,,
284,,
220,,
236,,
189,,
191,,
155,,
126,,
90,,
123,,
123,,
91,,
88,,
177,,
150,,
143,,
83,,
85,,
72,,
70,,
67,,
67,,
89,,
73,,
293,,
226,,
237,,
121,,
144,,
117,,
114,,
114,,
114,,
177,,
147,,
97,,
140,,
123,,
105,,
111,,
82,,
110,,
157,,
157,,
189,,
165,,
184,,
174,,
113,,
105,,
97,,
118,,
111,,
107,,
107,,
81,,
120,,
345,,
205,,
280,,
228,,
224,,
330,,
125,,
