data,age,gender
355,23,0
193,,
319,,
237,,
252,,
622,,
622,,
450,,
712,,
907,,
913,,
822,,
893,,
645,,
500,,
394,,
225,,
225,,
267,,
383,,
356,,
269,,
356,,
295,,
307,,
334,,
256,,
303,,
303,,
248,,
242,,
237,,
244,,
225,,
258,,
239,,
250,,
256,,
267,,
267,,
199,,
217,,
185,,
204,,
210,,
238,,
299,,
229,,
217,,
252,,
252,,
191,,
201,,
201,,
236,,
233,,
192,,
214,,
291,,
226,,
160,,
160,,
274,,
193,,
309,,
249,,
209,,
239,,
203,,
215,,
237,,
230,,
230,,
193,,
261,,
218,,
227,,
186,,
246,,
249,,
300,,
151,,
239,,
239,,
250,,
196,,
252,,
267,,
228,,
181,,
224,,
249,,
215,,
234,,
234,,
216,,
251,,
184,,
203,,
212,,
146,,
201,,
262,,
312,,
282,,
282,,
294,,
204,,
372,,
250,,
190,,
245,,
188,,
177,,
269,,
253,,
253,,
238,,
217,,
229,,
216,,
179,,
199,,
258,,
157,,
178,,
215,,
215,,
227,,
149,,
244,,
231,,
174,,
195,,
200,,
185,,
235,,
188,,
188,,
201,,
208,,
270,,
244,,
291,,
504,,
559,,
539,,
473,,
337,,
337,,
382,,
343,,
393,,
312,,
272,,
333,,
274,,
318,,
351,,
281,,
281,,
323,,
318,,
366,,
261,,
264,,
258,,
180,,
215,,
247,,
235,,
235,,
241,,
240,,
255,,
243,,
297,,
297,,
213,,
318,,
253,,
259,,
259,,
336,,
228,,
258,,
479,,
366,,
298,,
323,,
277,,
513,,
449,,
449,,
310,,
343,,
396,,
235,,
216,,
187,,
200,,
245,,
232,,
207,,
207,,
193,,
297,,
273,,
201,,
187,,
309,,
364,,
253,,
280,,
311,,
311,,
238,,
280,,
257,,
219,,
226,,
242,,
278,,
205,,
262,,
213,,
213,,
279,,
212,,
189,,
212,,
261,,
188,,
200,,
242,,
247,,
263,,
263,,
247,,
254,,
217,,
260,,
300,,
375,,
555,,
475,,
466,,
668,,
668,,
563,,
554,,
481,,
441,,
345,,
254,,
230,,
369,,
365,,
418,,
418,,
390,,
397,,
358,,
298,,
383,,
280,,
278,,
265,,
235,,
321,,
321,,
332,,
226,,
212,,
292,,
209,,
197,,
245,,
235,,
234,,
230,,
230,,
258,,
228,,
233,,
250,,
281,,
348,,
250,,
212,,
317,,
316,,
316,,
254,,
306,,
203,,
325,,
318,,
248,,
247,,
258,,
221,,
198,,
198,,
291,,
244,,
264,,
243,,
221,,
196,,
215,,
248,,
180,,
258,,
258,,
204,,
226,,
233,,
192,,
272,,
232,,
254,,
212,,
191,,
207,,
207,,
293,,
251,,
242,,
280,,
217,,
300,,
233,,
233,,
251,,
244,,
244,,
242,,
240,,
247,,
265,,
220,,
243,,
245,,
322,,
237,,
234,,
234,,
377,,
275,,
220,,
293,,
186,,
212,,
280,,
244,,
300,,
253,,
253,,
206,,
241,,
245,,
241,,
237,,
327,,
234,,
240,,
274,,
262,,
262,,
209,,
217,,
243,,
276,,
205,,
239,,
189,,
236,,
275,,
297,,
297,,
356,,
257,,
216,,
271,,
222,,
203,,
256,,
205,,
327,,
318,,
318,,
201,,
228,,
215,,
197,,
246,,
248,,
237,,
238,,
254,,
215,,
215,,
190,,
213,,
248,,
197,,
243,,
273,,
261,,
287,,
250,,
275,,
275,,
272,,
312,,
445,,
606,,
780,,
790,,
674,,
622,,
542,,
505,,
505,,
386,,
350,,
304,,
430,,
415,,
389,,
381,,
363,,
302,,
298,,
298,,
252,,
276,,
227,,
245,,
238,,
