data,age,gender
142,23,0
142,,
125,,
131,,
126,,
138,,
103,,
124,,
120,,
110,,
120,,
116,,
116,,
136,,
183,,
196,,
266,,
273,,
150,,
115,,
162,,
121,,
154,,
154,,
158,,
160,,
141,,
137,,
138,,
600,,
561,,
376,,
548,,
360,,
360,,
260,,
244,,
235,,
233,,
187,,
204,,
235,,
258,,
246,,
188,,
188,,
155,,
231,,
247,,
178,,
123,,
255,,
212,,
159,,
175,,
227,,
227,,
152,,
191,,
190,,
242,,
340,,
576,,
489,,
476,,
358,,
356,,
356,,
422,,
282,,
207,,
232,,
203,,
259,,
198,,
282,,
314,,
232,,
232,,
267,,
301,,
218,,
206,,
280,,
168,,
237,,
279,,
208,,
223,,
223,,
240,,
203,,
197,,
229,,
189,,
358,,
266,,
245,,
229,,
249,,
249,,
324,,
365,,
366,,
286,,
298,,
239,,
166,,
232,,
179,,
168,,
168,,
235,,
182,,
225,,
318,,
207,,
147,,
227,,
220,,
371,,
369,,
369,,
298,,
375,,
360,,
226,,
213,,
152,,
99,,
307,,
290,,
297,,
297,,
272,,
297,,
256,,
198,,
168,,
205,,
193,,
201,,
138,,
155,,
155,,
177,,
180,,
188,,
191,,
147,,
177,,
154,,
139,,
180,,
217,,
217,,
184,,
244,,
216,,
201,,
224,,
226,,
166,,
210,,
218,,
177,,
177,,
260,,
163,,
261,,
222,,
222,,
285,,
185,,
403,,
243,,
360,,
360,,
827,,
961,,
708,,
620,,
654,,
422,,
368,,
364,,
465,,
567,,
567,,
430,,
383,,
458,,
272,,
365,,
291,,
294,,
266,,
269,,
245,,
245,,
303,,
251,,
246,,
353,,
167,,
245,,
213,,
248,,
202,,
198,,
198,,
243,,
204,,
151,,
236,,
166,,
200,,
202,,
221,,
143,,
225,,
225,,
184,,
170,,
228,,
193,,
185,,
197,,
172,,
184,,
206,,
193,,
193,,
159,,
181,,
139,,
167,,
242,,
183,,
182,,
259,,
171,,
189,,
189,,
210,,
166,,
161,,
193,,
202,,
162,,
190,,
195,,
158,,
167,,
167,,
208,,
162,,
158,,
199,,
192,,
179,,
261,,
162,,
175,,
239,,
239,,
181,,
200,,
249,,
171,,
146,,
230,,
175,,
176,,
186,,
184,,
184,,
191,,
258,,
161,,
155,,
217,,
181,,
178,,
230,,
173,,
207,,
207,,
254,,
208,,
182,,
270,,
160,,
234,,
244,,
177,,
174,,
219,,
219,,
184,,
160,,
227,,
373,,
318,,
237,,
441,,
303,,
252,,
271,,
271,,
250,,
252,,
309,,
209,,
173,,
296,,
238,,
203,,
233,,
157,,
157,,
205,,
175,,
163,,
262,,
213,,
176,,
250,,
160,,
161,,
196,,
196,,
161,,
171,,
184,,
158,,
178,,
180,,
169,,
215,,
247,,
291,,
291,,
401,,
436,,
481,,
662,,
551,,
431,,
262,,
223,,
157,,
123,,
123,,
235,,
178,,
178,,
592,,
576,,
432,,
392,,
466,,
385,,
514,,
514,,
541,,
487,,
576,,
513,,
630,,
504,,
288,,
351,,
353,,
261,,
261,,
295,,
225,,
236,,
240,,
241,,
254,,
249,,
209,,
332,,
252,,
252,,
550,,
371,,
376,,
495,,
350,,
288,,
210,,
253,,
290,,
311,,
311,,
331,,
178,,
202,,
277,,
220,,
173,,
234,,
251,,
185,,
205,,
205,,
162,,
203,,
223,,
192,,
198,,
228,,
172,,
166,,
195,,
170,,
170,,
215,,
303,,
443,,
593,,
610,,
360,,
215,,
157,,
158,,
168,,
168,,
312,,
337,,
350,,
365,,
337,,
299,,
310,,
286,,
221,,
247,,
247,,
182,,
191,,
241,,
162,,
165,,
248,,
233,,
249,,
289,,
218,,
218,,
201,,
203,,
141,,
152,,
201,,
168,,
194,,
220,,
204,,
212,,
212,,
143,,
192,,
283,,
217,,
249,,
232,,
338,,
170,,
232,,
239,,
239,,
191,,
169,,
264,,
180,,
231,,
187,,
195,,
135,,
191,,
173,,
173,,
176,,
151,,
158,,
248,,
165,,
137,,
252,,
157,,
231,,
339,,
339,,
852,,
960,,
961,,
961,,
962,,
578,,
353,,
235,,
625,,
509,,
509,,
257,,
331,,
467,,
469,,
611,,
590,,
499,,
318,,
275,,
278,,
278,,
334,,
397,,
486,,
385,,
361,,
449,,
509,,
633,,
555,,
601,,
601,,
500,,
524,,
482,,
521,,
362,,
391,,
392,,
485,,
537,,
382,,
382,,
369,,
358,,
352,,
172,,
151,,
266,,
181,,
287,,
290,,
320,,
320,,
335,,
392,,
254,,
254,,
260,,
254,,
278,,
309,,
260,,
298,,
298,,
185,,
218,,
256,,
174,,
302,,
298,,
241,,
251,,
245,,
186,,
186,,
216,,
246,,
199,,
293,,
251,,
164,,
224,,
208,,
176,,
225,,
225,,
163,,
200,,
305,,
209,,
183,,
201,,
165,,
126,,
294,,
171,,
171,,
192,,
232,,
135,,
220,,
257,,
206,,
212,,
282,,
202,,
226,,
226,,
304,,
224,,
205,,
305,,
187,,
180,,
272,,
234,,
278,,
307,,
307,,
262,,
326,,
188,,
173,,
244,,
181,,
235,,
228,,
653,,
961,,
961,,
959,,
960,,
960,,
960,,
960,,
641,,
285,,
428,,
618,,
787,,
787,,
694,,
725,,
526,,
622,,
468,,
421,,
470,,
328,,
321,,
376,,
376,,
332,,
303,,
336,,
277,,
283,,
576,,
280,,
285,,
348,,
279,,
279,,
396,,
305,,
253,,
273,,
341,,
212,,
412,,
323,,
353,,
282,,
282,,
362,,
181,,
289,,
199,,
160,,
257,,
200,,
233,,
201,,
225,,
225,,
218,,
194,,
205,,
201,,
205,,
250,,
220,,
232,,
275,,
221,,
221,,
211,,
326,,
211,,
216,,
269,,
210,,
215,,
268,,
201,,
194,,
194,,
245,,
209,,
205,,
271,,
180,,
231,,
256,,
175,,
193,,
288,,
288,,
228,,
210,,
260,,
240,,
227,,
219,,
230,,
228,,
262,,
246,,
246,,
212,,
221,,
202,,
163,,
222,,
191,,
233,,
247,,
180,,
239,,
239,,
252,,
219,,
259,,
197,,
251,,
266,,
278,,
291,,
205,,
246,,
246,,
282,,
177,,
210,,
203,,
218,,
181,,
264,,
196,,
213,,
222,,
222,,
198,,
241,,
208,,
263,,
227,,
204,,
203,,
241,,
168,,
205,,
205,,
228,,
196,,
193,,
216,,
268,,
201,,
171,,
210,,
211,,
220,,
220,,
184,,
227,,
236,,
231,,
241,,
217,,
249,,
253,,
274,,
264,,
264,,
251,,
224,,
223,,
175,,
223,,
148,,
331,,
257,,
209,,
251,,
251,,
242,,
196,,
207,,
234,,
202,,
162,,
210,,
199,,
142,,
206,,
206,,
152,,
178,,
211,,
150,,
232,,
172,,
122,,
267,,
171,,
186,,
186,,
226,,
216,,
289,,
690,,
955,,
958,,
793,,
