data,age,gender
410,20,0
410,,
436,,
497,,
431,,
448,,
394,,
457,,
415,,
385,,
395,,
441,,
441,,
390,,
393,,
446,,
414,,
401,,
400,,
429,,
361,,
373,,
424,,
424,,
776,,
961,,
960,,
960,,
961,,
959,,
959,,
961,,
960,,
963,,
963,,
955,,
961,,
936,,
873,,
801,,
708,,
628,,
609,,
599,,
542,,
542,,
495,,
502,,
536,,
501,,
482,,
515,,
613,,
892,,
960,,
961,,
961,,
957,,
961,,
963,,
961,,
961,,
891,,
797,,
644,,
566,,
521,,
521,,
465,,
426,,
437,,
422,,
398,,
414,,
444,,
406,,
412,,
388,,
388,,
412,,
359,,
407,,
546,,
428,,
561,,
678,,
960,,
960,,
960,,
960,,
557,,
688,,
958,,
959,,
959,,
960,,
959,,
880,,
841,,
958,,
958,,
959,,
959,,
958,,
959,,
959,,
959,,
959,,
960,,
959,,
960,,
960,,
960,,
961,,
908,,
470,,
759,,
548,,
459,,
555,,
961,,
961,,
961,,
962,,
961,,
961,,
801,,
603,,
626,,
618,,
678,,
542,,
569,,
569,,
518,,
598,,
605,,
572,,
540,,
657,,
887,,
956,,
960,,
957,,
957,,
957,,
959,,
839,,
895,,
959,,
960,,
955,,
960,,
928,,
824,,
824,,
744,,
740,,
957,,
959,,
957,,
957,,
958,,
960,,
958,,
958,,
958,,
928,,
958,,
960,,
960,,
959,,
961,,
957,,
961,,
944,,
839,,
839,,
846,,
860,,
957,,
957,,
957,,
954,,
960,,
959,,
958,,
961,,
961,,
937,,
959,,
960,,
959,,
959,,
960,,
959,,
957,,
960,,
960,,
960,,
959,,
959,,
960,,
961,,
959,,
960,,
958,,
960,,
958,,
959,,
959,,
953,,
958,,
960,,
959,,
958,,
960,,
959,,
958,,
960,,
959,,
959,,
958,,
960,,
960,,
959,,
956,,
960,,
960,,
958,,
960,,
959,,
959,,
959,,
960,,
759,,
693,,
653,,
694,,
733,,
679,,
705,,
839,,
839,,
958,,
961,,
961,,
959,,
960,,
959,,
959,,
960,,
960,,
960,,
960,,
959,,
959,,
960,,
959,,
960,,
959,,
960,,
958,,
960,,
959,,
959,,
959,,
956,,
959,,
959,,
961,,
957,,
959,,
962,,
964,,
962,,
962,,
961,,
960,,
959,,
961,,
961,,
961,,
960,,
959,,
961,,
961,,
961,,
961,,
961,,
959,,
960,,
961,,
961,,
961,,
955,,
962,,
960,,
960,,
961,,
958,,
961,,
961,,
961,,
961,,
966,,
957,,
961,,
961,,
961,,
962,,
961,,
959,,
938,,
960,,
914,,
877,,
959,,
527,,
461,,
461,,
466,,
481,,
