data,age,gender
410,20,0
543,,
547,,
829,,
813,,
959,,
874,,
796,,
871,,
871,,
765,,
791,,
835,,
759,,
897,,
961,,
791,,
801,,
961,,
965,,
965,,
929,,
855,,
745,,
772,,
720,,
733,,
701,,
686,,
788,,
773,,
773,,
828,,
834,,
944,,
955,,
962,,
962,,
961,,
961,,
962,,
963,,
963,,
962,,
920,,
803,,
634,,
571,,
764,,
601,,
669,,
587,,
519,,
519,,
518,,
612,,
547,,
612,,
515,,
594,,
512,,
568,,
523,,
501,,
501,,
519,,
490,,
599,,
583,,
528,,
503,,
517,,
548,,
562,,
555,,
555,,
588,,
590,,
573,,
588,,
677,,
709,,
786,,
961,,
962,,
962,,
962,,
964,,
961,,
869,,
569,,
512,,
458,,
434,,
420,,
393,,
476,,
476,,
462,,
697,,
453,,
417,,
441,,
403,,
411,,
438,,
459,,
425,,
425,,
430,,
370,,
574,,
385,,
416,,
421,,
537,,
471,,
390,,
372,,
372,,
512,,
464,,
514,,
469,,
442,,
490,,
437,,
439,,
444,,
419,,
419,,
445,,
471,,
412,,
478,,
463,,
516,,
560,,
489,,
534,,
582,,
582,,
566,,
559,,
523,,
528,,
540,,
497,,
448,,
459,,
537,,
436,,
436,,
461,,
464,,
530,,
482,,
528,,
553,,
695,,
818,,
959,,
952,,
952,,
869,,
764,,
786,,
671,,
618,,
529,,
593,,
642,,
668,,
630,,
630,,
659,,
560,,
593,,
552,,
478,,
493,,
525,,
532,,
439,,
508,,
508,,
400,,
438,,
447,,
530,,
459,,
460,,
516,,
468,,
464,,
445,,
445,,
524,,
449,,
453,,
436,,
390,,
621,,
445,,
712,,
715,,
403,,
403,,
431,,
569,,
488,,
480,,
422,,
581,,
432,,
370,,
390,,
410,,
410,,
413,,
417,,
464,,
505,,
434,,
441,,
437,,
570,,
432,,
445,,
445,,
450,,
593,,
496,,
455,,
478,,
501,,
516,,
875,,
959,,
960,,
960,,
961,,
959,,
962,,
912,,
815,,
672,,
563,,
532,,
406,,
398,,
398,,
382,,
437,,
476,,
439,,
432,,
423,,
464,,
390,,
404,,
387,,
387,,
515,,
695,,
604,,
530,,
373,,
296,,
271,,
359,,
292,,
300,,
300,,
336,,
336,,
308,,
313,,
291,,
474,,
578,,
370,,
242,,
166,,
166,,
123,,
99,,
83,,
70,,
64,,
55,,
51,,
49,,
47,,
41,,
41,,
42,,
38,,
38,,
37,,
37,,
38,,
36,,
36,,
37,,
35,,
35,,
37,,
36,,
36,,
39,,
38,,
37,,
36,,
37,,
36,,
37,,
37,,
37,,
39,,
36,,
93,,
267,,
335,,
444,,
366,,
320,,
