data,age,gender
73,20,0
74,,
73,,
74,,
74,,
74,,
76,,
73,,
73,,
76,,
74,,
72,,
74,,
73,,
74,,
76,,
76,,
73,,
72,,
75,,
74,,
72,,
73,,
72,,
72,,
75,,
77,,
77,,
75,,
71,,
73,,
73,,
73,,
72,,
74,,
73,,
73,,
74,,
74,,
74,,
72,,
69,,
71,,
70,,
72,,
83,,
82,,
77,,
78,,
78,,
72,,
73,,
77,,
74,,
77,,
78,,
74,,
76,,
78,,
77,,
77,,
75,,
73,,
72,,
75,,
74,,
73,,
78,,
75,,
73,,
74,,
74,,
73,,
73,,
71,,
73,,
74,,
76,,
75,,
74,,
78,,
76,,
76,,
75,,
73,,
71,,
74,,
73,,
77,,
74,,
72,,
71,,
964,,
964,,
963,,
964,,
961,,
963,,
963,,
963,,
962,,
962,,
962,,
963,,
963,,
962,,
811,,
557,,
359,,
275,,
183,,
136,,
119,,
91,,
87,,
87,,
86,,
87,,
83,,
76,,
76,,
86,,
86,,
82,,
80,,
82,,
82,,
84,,
78,,
75,,
69,,
70,,
76,,
76,,
83,,
85,,
80,,
80,,
86,,
82,,
83,,
74,,
69,,
74,,
75,,
78,,
82,,
81,,
81,,
79,,
76,,
76,,
71,,
72,,
76,,
73,,
82,,
85,,
85,,
85,,
78,,
85,,
80,,
84,,
86,,
82,,
80,,
74,,
76,,
79,,
79,,
77,,
81,,
81,,
82,,
80,,
74,,
72,,
75,,
78,,
81,,
81,,
79,,
79,,
78,,
77,,
77,,
77,,
75,,
75,,
76,,
78,,
78,,
77,,
77,,
75,,
75,,
75,,
75,,
78,,
76,,
75,,
78,,
78,,
75,,
75,,
74,,
73,,
73,,
74,,
75,,
74,,
77,,
81,,
81,,
76,,
76,,
74,,
73,,
74,,
75,,
76,,
76,,
75,,
81,,
81,,
78,,
77,,
77,,
77,,
76,,
75,,
74,,
74,,
76,,
76,,
76,,
77,,
76,,
74,,
76,,
75,,
77,,
77,,
78,,
79,,
81,,
81,,
78,,
73,,
71,,
74,,
76,,
75,,
73,,
75,,
78,,
77,,
77,,
76,,
74,,
75,,
76,,
72,,
73,,
74,,
74,,
75,,
76,,
76,,
75,,
76,,
74,,
75,,
74,,
74,,
73,,
73,,
76,,
76,,
76,,
75,,
74,,
74,,
75,,
73,,
74,,
73,,
74,,
75,,
77,,
77,,
73,,
130,,
545,,
359,,
203,,
224,,
878,,
963,,
962,,
963,,
963,,
943,,
876,,
842,,
877,,
963,,
963,,
963,,
964,,
964,,
964,,
964,,
962,,
964,,
962,,
963,,
963,,
964,,
963,,
962,,
964,,
961,,
961,,
961,,
964,,
964,,
965,,
958,,
962,,
954,,
862,,
905,,
961,,
961,,
962,,
964,,
961,,
961,,
960,,
963,,
962,,
962,,
958,,
963,,
963,,
963,,
962,,
961,,
961,,
