data,age,gender
180,21,0
180,,
272,,
209,,
337,,
319,,
226,,
203,,
212,,
208,,
126,,
171,,
171,,
223,,
215,,
269,,
241,,
254,,
247,,
303,,
432,,
559,,
737,,
737,,
963,,
963,,
963,,
960,,
458,,
316,,
833,,
961,,
964,,
963,,
963,,
958,,
827,,
640,,
434,,
264,,
483,,
963,,
960,,
962,,
962,,
962,,
962,,
389,,
229,,
329,,
520,,
599,,
677,,
750,,
764,,
923,,
923,,
687,,
604,,
318,,
962,,
962,,
858,,
487,,
961,,
962,,
962,,
962,,
963,,
919,,
864,,
856,,
964,,
963,,
949,,
934,,
928,,
747,,
747,,
720,,
761,,
496,,
229,,
169,,
370,,
907,,
964,,
962,,
963,,
963,,
959,,
616,,
354,,
193,,
435,,
299,,
393,,
382,,
314,,
390,,
390,,
453,,
636,,
431,,
246,,
195,,
240,,
234,,
226,,
348,,
871,,
871,,
963,,
961,,
964,,
961,,
965,,
422,,
209,,
278,,
454,,
596,,
596,,
486,,
405,,
417,,
360,,
351,,
270,,
424,,
256,,
233,,
199,,
199,,
199,,
206,,
225,,
257,,
198,,
168,,
314,,
190,,
428,,
620,,
620,,
700,,
737,,
700,,
635,,
420,,
318,,
269,,
235,,
168,,
166,,
166,,
179,,
197,,
230,,
211,,
205,,
240,,
236,,
229,,
330,,
235,,
235,,
265,,
240,,
256,,
227,,
217,,
290,,
189,,
157,,
180,,
212,,
212,,
172,,
156,,
193,,
246,,
247,,
434,,
744,,
809,,
321,,
961,,
961,,
961,,
961,,
961,,
961,,
807,,
596,,
408,,
445,,
213,,
188,,
188,,
196,,
331,,
367,,
455,,
452,,
521,,
520,,
461,,
374,,
390,,
390,,
399,,
357,,
370,,
270,,
254,,
236,,
247,,
207,,
203,,
244,,
244,,
207,,
171,,
171,,
212,,
179,,
152,,
175,,
193,,
184,,
177,,
177,,
149,,
171,,
163,,
166,,
254,,
270,,
291,,
323,,
394,,
365,,
365,,
333,,
265,,
260,,
205,,
223,,
257,,
210,,
227,,
186,,
239,,
239,,
169,,
192,,
189,,
215,,
221,,
273,,
357,,
