data,age,gender
427,22,0
198,,
405,,
704,,
962,,
959,,
959,,
904,,
756,,
756,,
709,,
330,,
279,,
342,,
542,,
492,,
440,,
433,,
521,,
489,,
489,,
519,,
406,,
395,,
383,,
313,,
310,,
252,,
226,,
268,,
333,,
333,,
405,,
454,,
306,,
273,,
229,,
256,,
269,,
313,,
333,,
317,,
317,,
279,,
313,,
316,,
287,,
286,,
431,,
870,,
958,,
961,,
960,,
960,,
844,,
660,,
612,,
545,,
356,,
563,,
692,,
680,,
618,,
557,,
557,,
453,,
471,,
311,,
293,,
244,,
211,,
307,,
306,,
272,,
301,,
301,,
381,,
408,,
347,,
385,,
348,,
318,,
326,,
278,,
334,,
270,,
270,,
229,,
254,,
249,,
287,,
369,,
321,,
258,,
222,,
411,,
733,,
733,,
960,,
956,,
960,,
960,,
728,,
629,,
785,,
634,,
312,,
232,,
232,,
213,,
265,,
456,,
652,,
500,,
538,,
702,,
662,,
754,,
736,,
736,,
542,,
445,,
345,,
288,,
298,,
264,,
166,,
204,,
218,,
197,,
197,,
249,,
178,,
182,,
247,,
310,,
231,,
191,,
274,,
257,,
225,,
225,,
299,,
309,,
238,,
217,,
224,,
296,,
221,,
270,,
247,,
255,,
255,,
191,,
219,,
577,,
613,,
684,,
669,,
630,,
562,,
380,,
265,,
265,,
464,,
473,,
541,,
587,,
460,,
376,,
417,,
405,,
282,,
270,,
270,,
268,,
287,,
243,,
271,,
528,,
408,,
299,,
301,,
411,,
306,,
306,,
256,,
578,,
548,,
704,,
676,,
489,,
537,,
484,,
319,,
252,,
252,,
189,,
301,,
278,,
196,,
169,,
339,,
392,,
571,,
668,,
906,,
906,,
696,,
285,,
300,,
364,,
198,,
181,,
304,,
395,,
278,,
281,,
281,,
412,,
517,,
293,,
325,,
262,,
352,,
251,,
243,,
229,,
293,,
293,,
305,,
236,,
322,,
209,,
256,,
214,,
278,,
220,,
231,,
321,,
321,,
222,,
284,,
169,,
295,,
256,,
240,,
223,,
238,,
326,,
464,,
464,,
959,,
961,,
924,,
708,,
505,,
401,,
244,,
151,,
284,,
303,,
303,,
468,,
377,,
253,,
234,,
216,,
264,,
198,,
222,,
273,,
346,,
346,,
619,,
681,,
813,,
624,,
428,,
401,,
312,,
238,,
302,,
201,,
201,,
387,,
239,,
293,,
289,,
160,,
186,,
216,,
235,,
240,,
186,,
186,,
241,,
259,,
355,,
216,,
307,,
183,,
293,,
243,,
234,,
180,,
180,,
198,,
224,,
360,,
406,,
371,,
218,,
268,,
343,,
252,,
292,,
292,,
178,,
276,,
196,,
194,,
262,,
387,,
564,,
618,,
906,,
752,,
752,,
607,,
548,,
467,,
272,,
236,,
306,,
164,,
260,,
319,,
307,,
307,,
227,,
330,,
388,,
359,,
315,,
178,,
307,,
312,,
299,,
294,,
294,,
286,,
283,,
321,,
235,,
179,,
202,,
175,,
247,,
149,,
194,,
194,,
186,,
214,,
200,,
223,,
318,,
286,,
196,,
194,,
225,,
216,,
216,,
240,,
243,,
227,,
486,,
675,,
939,,
872,,
717,,
601,,
426,,
426,,
285,,
202,,
155,,
309,,
224,,
332,,
408,,
354,,
398,,
307,,
307,,
331,,
263,,
299,,
410,,
402,,
276,,
305,,
311,,
292,,
287,,
287,,
234,,
256,,
309,,
261,,
328,,
255,,
264,,
236,,
271,,
245,,
245,,
219,,
306,,
248,,
257,,
290,,
356,,
357,,
214,,
297,,
257,,
257,,
284,,
309,,
554,,
436,,
365,,
211,,
414,,
246,,
202,,
286,,
286,,
252,,
298,,
243,,
280,,
244,,
176,,
203,,
316,,
269,,
299,,
299,,
293,,
226,,
281,,
232,,
331,,
174,,
190,,
242,,
387,,
388,,
388,,
413,,
448,,
313,,
214,,
320,,
222,,
252,,
229,,
282,,
250,,
250,,
232,,
349,,
316,,
209,,
216,,
289,,
251,,
210,,
262,,
286,,
286,,
259,,
421,,
536,,
604,,
401,,
328,,
267,,
202,,
152,,
141,,
141,,
162,,
163,,
168,,
193,,
181,,
187,,
224,,
164,,
272,,
226,,
226,,
226,,
351,,
340,,
348,,
228,,
306,,
272,,
277,,
213,,
219,,
219,,
213,,
237,,
272,,
192,,
262,,
242,,
239,,
241,,
274,,
379,,
379,,
389,,
357,,
235,,
180,,
405,,
303,,
365,,
516,,
514,,
407,,
407,,
259,,
241,,
364,,
382,,
313,,
249,,
267,,
225,,
201,,
193,,
193,,
234,,
234,,
231,,
308,,
356,,
283,,
192,,
352,,
426,,
384,,
384,,
294,,
329,,
300,,
239,,
277,,
214,,
198,,
237,,
254,,
247,,
247,,
325,,
222,,
220,,
198,,
204,,
208,,
306,,
186,,
218,,
216,,
216,,
226,,
187,,
171,,
255,,
226,,
167,,
262,,
300,,
208,,
193,,
193,,
206,,
285,,
359,,
475,,
470,,
380,,
272,,
185,,
151,,
139,,
139,,
170,,
148,,
175,,
166,,
168,,
146,,
117,,
101,,
91,,
86,,
86,,
81,,
78,,
74,,
74,,
74,,
74,,
73,,
73,,
72,,
77,,
77,,
73,,
71,,
73,,
71,,
75,,
200,,
146,,
173,,
252,,
240,,
240,,
231,,
310,,
246,,
224,,
320,,
231,,
264,,
222,,
313,,
257,,
257,,
230,,
269,,
374,,
202,,
303,,
208,,
199,,
261,,
224,,
219,,
219,,
291,,
207,,
175,,
299,,
337,,
291,,
200,,
146,,
114,,
100,,
100,,
89,,
80,,
75,,
73,,
73,,
73,,
96,,
77,,
107,,
168,,
168,,
191,,
198,,
259,,
213,,
164,,
184,,
150,,
167,,
257,,
176,,
176,,
268,,
252,,
289,,
301,,
258,,
256,,
259,,
350,,
360,,
279,,
279,,
280,,
400,,
291,,
261,,
272,,
216,,
213,,
304,,
186,,
395,,
395,,
642,,
695,,
443,,
271,,
178,,
137,,
108,,
92,,
84,,
81,,
81,,
82,,
75,,
78,,
76,,
86,,
253,,
319,,
524,,
599,,
579,,
579,,
602,,
550,,
433,,
435,,
551,,
548,,
413,,
424,,
381,,
370,,
370,,
401,,
417,,
498,,
403,,
407,,
337,,
392,,
318,,
449,,
365,,
365,,
535,,
287,,
332,,
403,,
374,,
267,,
326,,
460,,
281,,
380,,
380,,
483,,
340,,
420,,
398,,
