data,age,gender
91,22,0
91,,
137,,
78,,
99,,
91,,
128,,
95,,
68,,
82,,
120,,
105,,
105,,
61,,
81,,
109,,
85,,
93,,
79,,
137,,
115,,
113,,
110,,
110,,
130,,
103,,
106,,
101,,
99,,
88,,
98,,
279,,
106,,
96,,
96,,
86,,
271,,
111,,
373,,
134,,
392,,
326,,
386,,
400,,
553,,
553,,
439,,
399,,
378,,
458,,
349,,
256,,
259,,
269,,
226,,
194,,
194,,
212,,
148,,
149,,
137,,
231,,
148,,
118,,
111,,
135,,
102,,
102,,
72,,
85,,
104,,
70,,
90,,
118,,
112,,
96,,
84,,
284,,
284,,
101,,
75,,
79,,
220,,
120,,
74,,
93,,
146,,
94,,
90,,
90,,
76,,
125,,
133,,
311,,
272,,
197,,
234,,
200,,
298,,
573,,
573,,
857,,
290,,
261,,
291,,
197,,
249,,
177,,
158,,
120,,
161,,
161,,
101,,
95,,
235,,
108,,
90,,
91,,
175,,
131,,
184,,
334,,
334,,
422,,
393,,
224,,
443,,
325,,
139,,
96,,
156,,
304,,
351,,
351,,
272,,
363,,
96,,
136,,
200,,
290,,
245,,
272,,
260,,
247,,
247,,
196,,
183,,
238,,
161,,
163,,
130,,
201,,
115,,
117,,
115,,
115,,
166,,
118,,
107,,
115,,
110,,
83,,
84,,
202,,
91,,
116,,
116,,
125,,
193,,
119,,
169,,
129,,
194,,
148,,
144,,
253,,
105,,
105,,
76,,
260,,
587,,
572,,
412,,
285,,
230,,
135,,
81,,
93,,
93,,
130,,
116,,
132,,
240,,
168,,
166,,
142,,
197,,
131,,
168,,
168,,
128,,
161,,
113,,
120,,
179,,
131,,
88,,
73,,
225,,
91,,
91,,
94,,
79,,
198,,
101,,
107,,
73,,
133,,
176,,
178,,
216,,
216,,
221,,
182,,
132,,
244,,
100,,
106,,
131,,
203,,
140,,
139,,
139,,
109,,
146,,
81,,
97,,
159,,
141,,
112,,
81,,
212,,
100,,
100,,
85,,
87,,
136,,
87,,
102,,
230,,
127,,
101,,
100,,
186,,
186,,
97,,
110,,
92,,
173,,
86,,
83,,
140,,
397,,
304,,
404,,
404,,
288,,
253,,
101,,
155,,
456,,
397,,
250,,
240,,
232,,
186,,
186,,
124,,
271,,
104,,
102,,
124,,
168,,
108,,
87,,
196,,
117,,
117,,
84,,
97,,
210,,
109,,
89,,
87,,
121,,
78,,
76,,
208,,
208,,
86,,
73,,
95,,
106,,
78,,
70,,
197,,
98,,
88,,
97,,
97,,
131,,
75,,
71,,
138,,
115,,
87,,
75,,
269,,
91,,
86,,
86,,
80,,
215,,
115,,
84,,
82,,
180,,
98,,
90,,
129,,
152,,
152,,
97,,
104,,
154,,
117,,
92,,
97,,
194,,
199,,
320,,
506,,
506,,
727,,
729,,
239,,
288,,
530,,
324,,
131,,
138,,
102,,
130,,
130,,
271,,
234,,
232,,
181,,
299,,
245,,
271,,
291,,
370,,
370,,
370,,
363,,
294,,
321,,
295,,
206,,
248,,
220,,
132,,
126,,
144,,
144,,
128,,
226,,
385,,
341,,
263,,
217,,
127,,
90,,
185,,
350,,
350,,
309,,
305,,
561,,
584,,
395,,
355,,
233,,
123,,
162,,
154,,
154,,
234,,
137,,
116,,
320,,
542,,
730,,
768,,
956,,
962,,
961,,
961,,
889,,
728,,
493,,
183,,
222,,
311,,
405,,
377,,
451,,
416,,
416,,
402,,
371,,
357,,
294,,
255,,
312,,
222,,
186,,
148,,
203,,
203,,
130,,
105,,
108,,
168,,
90,,
181,,
510,,
759,,
896,,
691,,
691,,
295,,
960,,
338,,
248,,
243,,
126,,
147,,
242,,
396,,
374,,
374,,
427,,
407,,
419,,
345,,
307,,
278,,
288,,
242,,
247,,
207,,
207,,
222,,
163,,
138,,
274,,
117,,
115,,
101,,
207,,
112,,
124,,
124,,
97,,
164,,
100,,
104,,
229,,
96,,
94,,
99,,
177,,
91,,
91,,
90,,
106,,
233,,
428,,
505,,
711,,
476,,
353,,
290,,
381,,
381,,
107,,
96,,
96,,
211,,
141,,
150,,
104,,
151,,
107,,
87,,
87,,
107,,
171,,
160,,
252,,
234,,
213,,
116,,
79,,
286,,
120,,
120,,
129,,
191,,
208,,
97,,
93,,
117,,
110,,
84,,
85,,
165,,
165,,
213,,
251,,
301,,
218,,
128,,
190,,
233,,
106,,
119,,
169,,
169,,
230,,
218,,
240,,
287,,
256,,
241,,
206,,
239,,
187,,
189,,
189,,
141,,
225,,
150,,
125,,
118,,
187,,
118,,
107,,
110,,
161,,
161,,
124,,
115,,
111,,
145,,
123,,
239,,
280,,
160,,
203,,
220,,
220,,
181,,
194,,
397,,
731,,
959,,
960,,
960,,
960,,
685,,
395,,
395,,
328,,
124,,
961,,
325,,
602,,
648,,
605,,
737,,
653,,
429,,
429,,
238,,
216,,
199,,
230,,
211,,
211,,
102,,
257,,
372,,
140,,
140,,
78,,
94,,
165,,
89,,
93,,
79,,
107,,
105,,
353,,
457,,
457,,
603,,
676,,
777,,
959,,
961,,
960,,
940,,
698,,
523,,
834,,
834,,
499,,
154,,
193,,
342,,
377,,
439,,
489,,
545,,
537,,
531,,
531,,
441,,
621,,
576,,
439,,
392,,
250,,
69,,
96,,
185,,
147,,
147,,
173,,
271,,
267,,
265,,
256,,
273,,
245,,
242,,
240,,
573,,
573,,
431,,
258,,
159,,
265,,
190,,
252,,
237,,
250,,
168,,
173,,
173,,
271,,
163,,
94,,
113,,
184,,
99,,
90,,
112,,
169,,
108,,
108,,
105,,
178,,
132,,
108,,
115,,
197,,
129,,
107,,
114,,
165,,
165,,
124,,
123,,
122,,
139,,
103,,
135,,
287,,
194,,
217,,
167,,
167,,
171,,
98,,
150,,
320,,
505,,
718,,
856,,
963,,
523,,
381,,
381,,
307,,
171,,
83,,
128,,
250,,
157,,
108,,
162,,
222,,
174,,
174,,
252,,
264,,
250,,
277,,
279,,
353,,
283,,
268,,
444,,
551,,
551,,
500,,
287,,
275,,
241,,
220,,
175,,
181,,
322,,
540,,
798,,
798,,
727,,
393,,
443,,
487,,
398,,
200,,
105,,
201,,
245,,
254,,
254,,
300,,
265,,
146,,
182,,
372,,
471,,
426,,
317,,
162,,
89,,
89,,
136,,
366,,
556,,
557,,
505,,
458,,
410,,
606,,
417,,
429,,
429,,
296,,
302,,
263,,
326,,
275,,
267,,
250,,
241,,
186,,
152,,
152,,
198,,
168,,
420,,
912,,
961,,
960,,
960,,
958,,
962,,
697,,
697,,
274,,
240,,
369,,
567,,
615,,
927,,
912,,
928,,
872,,
785,,
785,,
695,,
613,,
552,,
464,,
381,,
284,,
140,,
121,,
127,,
176,,
176,,
112,,
