data,age,gender
91,22,0
121,,
270,,
207,,
198,,
221,,
240,,
241,,
306,,
339,,
339,,
329,,
274,,
320,,
286,,
290,,
224,,
207,,
234,,
167,,
150,,
150,,
115,,
208,,
113,,
254,,
709,,
753,,
776,,
769,,
613,,
699,,
699,,
927,,
959,,
959,,
960,,
407,,
181,,
459,,
580,,
695,,
762,,
762,,
837,,
669,,
827,,
799,,
658,,
641,,
565,,
511,,
365,,
365,,
365,,
321,,
227,,
292,,
197,,
136,,
163,,
306,,
599,,
413,,
125,,
125,,
234,,
289,,
380,,
420,,
503,,
466,,
389,,
338,,
303,,
118,,
118,,
201,,
544,,
464,,
457,,
273,,
170,,
471,,
151,,
233,,
405,,
405,,
408,,
403,,
400,,
460,,
494,,
308,,
361,,
316,,
315,,
362,,
362,,
712,,
452,,
662,,
334,,
232,,
218,,
286,,
395,,
320,,
286,,
286,,
237,,
491,,
405,,
262,,
317,,
344,,
163,,
174,,
225,,
210,,
210,,
195,,
167,,
278,,
213,,
181,,
296,,
156,,
204,,
173,,
235,,
235,,
191,,
139,,
100,,
175,,
178,,
404,,
588,,
810,,
624,,
960,,
960,,
961,,
960,,
961,,
961,,
717,,
387,,
136,,
184,,
218,,
310,,
310,,
327,,
413,,
419,,
473,,
438,,
450,,
402,,
366,,
390,,
338,,
338,,
317,,
282,,
286,,
249,,
241,,
199,,
211,,
182,,
168,,
140,,
140,,
191,,
164,,
148,,
218,,
125,,
167,,
152,,
193,,
200,,
180,,
180,,
151,,
239,,
126,,
193,,
118,,
173,,
121,,
126,,
243,,
367,,
367,,
439,,
356,,
398,,
279,,
237,,
313,,
277,,
196,,
142,,
157,,
157,,
148,,
276,,
576,,
961,,
959,,
961,,
960,,
960,,
960,,
959,,
959,,
678,,
173,,
449,,
699,,
869,,
961,,
961,,
817,,
941,,
865,,
865,,
753,,
740,,
961,,
961,,
761,,
628,,
293,,
375,,
376,,
364,,
364,,
321,,
274,,
343,,
314,,
256,,
288,,
298,,
804,,
456,,
577,,
577,,
523,,
371,,
406,,
282,,
467,,
960,,
959,,
959,,
961,,
945,,
945,,
951,,
657,,
277,,
91,,
124,,
359,,
788,,
866,,
609,,
521,,
521,,
450,,
273,,
140,,
293,,
427,,
600,,
662,,
716,,
717,,
711,,
711,,
662,,
579,,
553,,
556,,
484,,
482,,
557,,
696,,
676,,
338,,
338,,
281,,
305,,
274,,
283,,
297,,
208,,
198,,
248,,
292,,
220,,
220,,
203,,
206,,
245,,
221,,
247,,
427,,
365,,
309,,
372,,
256,,
256,,
133,,
137,,
127,,
179,,
155,,
249,,
170,,
249,,
214,,
164,,
164,,
339,,
195,,
119,,
152,,
248,,
202,,
395,,
960,,
959,,
960,,
960,,
960,,
395,,
244,,
208,,
98,,
187,,
191,,
270,,
271,,
188,,
188,,
184,,
504,,
652,,
709,,
670,,
437,,
205,,
84,,
428,,
605,,
605,,
576,,
546,,
483,,
507,,
458,,
431,,
480,,
473,,
412,,
373,,
373,,
380,,
403,,
416,,
419,,
409,,
472,,
426,,
341,,
313,,
312,,
312,,
241,,
232,,
225,,
352,,
333,,
361,,
385,,
409,,
374,,
286,,
286,,
127,,
126,,
141,,
401,,
477,,
405,,
336,,
265,,
176,,
140,,
140,,
100,,
97,,
215,,
94,,
90,,
88,,
164,,
92,,
74,,
87,,
87,,
129,,
82,,
97,,
122,,
117,,
156,,
112,,
251,,
157,,
120,,
120,,
108,,
432,,
542,,
693,,
808,,
838,,
737,,
438,,
359,,
692,,
692,,
959,,
960,,
960,,
355,,
135,,
273,,
501,,
845,,
793,,
961,,
961,,
961,,
962,,
554,,
403,,
301,,
336,,
359,,
345,,
249,,
172,,
172,,
309,,
215,,
129,,
154,,
257,,
196,,
124,,
261,,
119,,
84,,
84,,
108,,
125,,
84,,
108,,
132,,
165,,
114,,
107,,
281,,
131,,
131,,
119,,
121,,
237,,
107,,
85,,
85,,
221,,
101,,
107,,
99,,
99,,
243,,
115,,
117,,
111,,
202,,
171,,
171,,
158,,
238,,
180,,
180,,
132,,
160,,
292,,
203,,
195,,
227,,
247,,
313,,
361,,
403,,
403,,
539,,
478,,
466,,
626,,
466,,
397,,
338,,
272,,
153,,
79,,
79,,
107,,
149,,
152,,
171,,
220,,
141,,
153,,
135,,
114,,
117,,
117,,
197,,
288,,
272,,
212,,
138,,
209,,
128,,
141,,
94,,
168,,
168,,
92,,
166,,
362,,
498,,
542,,
490,,
423,,
367,,
245,,
119,,
119,,
80,,
284,,
398,,
422,,
416,,
332,,
251,,
219,,
199,,
215,,
215,,
170,,
146,,
244,,
153,,
283,,
435,,
285,,
99,,
92,,
80,,
80,,
177,,
80,,
113,,
89,,
146,,
97,,
94,,
166,,
146,,
108,,
108,,
96,,
198,,
110,,
83,,
83,,
150,,
79,,
125,,
86,,
256,,
256,,
419,,
302,,
364,,
271,,
192,,
180,,
242,,
257,,
238,,
151,,
151,,
363,,
223,,
220,,
254,,
234,,
198,,
160,,
196,,
213,,
194,,
194,,
474,,
355,,
394,,
456,,
652,,
903,,
956,,
960,,
959,,
890,,
890,,
786,,
602,,
469,,
432,,
298,,
354,,
405,,
561,,
450,,
326,,
326,,
283,,
319,,
199,,
164,,
228,,
151,,
174,,
202,,
252,,
171,,
171,,
228,,
187,,
232,,
268,,
331,,
297,,
426,,
411,,
442,,
428,,
428,,
528,,
465,,
347,,
288,,
348,,
390,,
499,,
291,,
588,,
580,,
580,,
524,,
525,,
768,,
957,,
958,,
957,,
958,,
777,,
511,,
399,,
399,,
373,,
577,,
584,,
544,,
539,,
420,,
351,,
367,,
269,,
444,,
444,,
679,,
958,,
957,,
959,,
857,,
878,,
837,,
765,,
672,,
599,,
599,,
441,,
318,,
193,,
187,,
234,,
246,,
242,,
242,,
275,,
348,,
348,,
349,,
361,,
341,,
379,,
347,,
361,,
417,,
363,,
319,,
280,,
280,,
283,,
305,,
293,,
245,,
