data,age,gender
36,22,0
36,,
35,,
33,,
35,,
36,,
35,,
36,,
35,,
34,,
36,,
37,,
37,,
36,,
37,,
37,,
36,,
33,,
34,,
36,,
35,,
36,,
34,,
34,,
35,,
33,,
33,,
36,,
34,,
34,,
35,,
34,,
36,,
34,,
34,,
33,,
34,,
35,,
35,,
33,,
34,,
33,,
35,,
34,,
37,,
37,,
38,,
35,,
36,,
36,,
36,,
33,,
36,,
35,,
34,,
34,,
34,,
35,,
34,,
32,,
34,,
33,,
35,,
35,,
32,,
35,,
36,,
36,,
36,,
36,,
36,,
37,,
36,,
35,,
36,,
36,,
38,,
35,,
35,,
35,,
37,,
36,,
35,,
35,,
34,,
35,,
35,,
36,,
36,,
36,,
35,,
36,,
34,,
35,,
35,,
34,,
36,,
35,,
33,,
34,,
34,,
35,,
963,,
963,,
962,,
745,,
417,,
241,,
142,,
90,,
60,,
60,,
46,,
38,,
35,,
34,,
35,,
34,,
33,,
35,,
34,,
36,,
36,,
33,,
35,,
34,,
35,,
34,,
34,,
35,,
32,,
34,,
38,,
38,,
35,,
36,,
36,,
35,,
37,,
36,,
36,,
35,,
35,,
33,,
33,,
37,,
34,,
34,,
36,,
35,,
34,,
34,,
34,,
37,,
36,,
36,,
35,,
35,,
35,,
36,,
36,,
36,,
34,,
36,,
36,,
35,,
35,,
36,,
34,,
34,,
34,,
35,,
35,,
35,,
34,,
33,,
36,,
36,,
35,,
36,,
37,,
35,,
34,,
35,,
35,,
35,,
35,,
34,,
34,,
35,,
34,,
35,,
34,,
35,,
33,,
34,,
34,,
33,,
36,,
36,,
37,,
35,,
36,,
36,,
36,,
35,,
35,,
34,,
36,,
34,,
34,,
35,,
35,,
35,,
34,,
32,,
33,,
34,,
34,,
33,,
36,,
36,,
34,,
36,,
37,,
34,,
35,,
34,,
34,,
36,,
36,,
36,,
36,,
34,,
34,,
34,,
34,,
34,,
34,,
32,,
33,,
34,,
36,,
36,,
35,,
35,,
34,,
34,,
36,,
35,,
35,,
34,,
35,,
34,,
34,,
34,,
33,,
33,,
34,,
33,,
34,,
33,,
34,,
35,,
35,,
35,,
35,,
36,,
35,,
35,,
37,,
34,,
34,,
35,,
34,,
34,,
34,,
35,,
33,,
33,,
34,,
34,,
34,,
34,,
33,,
33,,
35,,
35,,
36,,
36,,
35,,
37,,
36,,
36,,
40,,
37,,
37,,
37,,
37,,
37,,
38,,
36,,
40,,
38,,
39,,
40,,
38,,
37,,
36,,
36,,
39,,
36,,
37,,
36,,
36,,
35,,
39,,
36,,
36,,
39,,
39,,
40,,
40,,
40,,
38,,
37,,
38,,
38,,
40,,
40,,
41,,
41,,
38,,
37,,
36,,
38,,
37,,
37,,
37,,
37,,
37,,
38,,
38,,
39,,
39,,
39,,
39,,
40,,
39,,
37,,
40,,
41,,
49,,
49,,
91,,
82,,
49,,
43,,
60,,
62,,
66,,
61,,
60,,
45,,
45,,
39,,
37,,
35,,
35,,
35,,
34,,
35,,
34,,
35,,
33,,
33,,
33,,
35,,
35,,
34,,
34,,
