data,age,gender
241,45,1
241,,
165,,
175,,
212,,
159,,
193,,
165,,
152,,
168,,
160,,
284,,
284,,
140,,
135,,
169,,
206,,
316,,
695,,
857,,
872,,
836,,
800,,
800,,
909,,
609,,
819,,
684,,
660,,
654,,
723,,
775,,
681,,
612,,
612,,
666,,
961,,
961,,
962,,
961,,
961,,
961,,
961,,
732,,
426,,
426,,
460,,
717,,
960,,
962,,
961,,
960,,
960,,
961,,
961,,
931,,
931,,
959,,
921,,
962,,
962,,
964,,
962,,
961,,
962,,
956,,
960,,
960,,
516,,
895,,
961,,
771,,
881,,
960,,
959,,
789,,
469,,
381,,
381,,
370,,
390,,
517,,
480,,
701,,
645,,
755,,
720,,
786,,
902,,
902,,
961,,
960,,
962,,
722,,
560,,
340,,
379,,
535,,
576,,
951,,
951,,
927,,
961,,
961,,
878,,
961,,
456,,
418,,
564,,
960,,
960,,
960,,
959,,
959,,
962,,
960,,
857,,
546,,
388,,
204,,
439,,
959,,
959,,
961,,
961,,
961,,
961,,
960,,
961,,
959,,
960,,
961,,
960,,
960,,
959,,
961,,
784,,
543,,
816,,
959,,
962,,
962,,
960,,
960,,
960,,
962,,
961,,
841,,
880,,
426,,
687,,
962,,
949,,
921,,
792,,
792,,
711,,
511,,
328,,
340,,
361,,
303,,
352,,
413,,
694,,
352,,
352,,
407,,
643,,
955,,
804,,
474,,
955,,
962,,
961,,
961,,
960,,
960,,
960,,
961,,
959,,
679,,
378,,
157,,
331,,
546,,
548,,
536,,
536,,
821,,
962,,
961,,
961,,
963,,
955,,
297,,
956,,
960,,
961,,
961,,
962,,
961,,
806,,
370,,
241,,
319,,
236,,
353,,
389,,
534,,
534,,
505,,
513,,
559,,
635,,
419,,
715,,
599,,
609,,
639,,
742,,
742,,
769,,
960,,
962,,
961,,
961,,
962,,
627,,
960,,
958,,
960,,
960,,
958,,
961,,
952,,
555,,
432,,
178,,
415,,
475,,
606,,
622,,
622,,
483,,
615,,
661,,
565,,
640,,
608,,
489,,
525,,
459,,
552,,
552,,
558,,
552,,
474,,
492,,
378,,
664,,
963,,
961,,
964,,
961,,
961,,
961,,
961,,
524,,
239,,
533,,
667,,
896,,
960,,
960,,
809,,
809,,
637,,
497,,
550,,
544,,
747,,
316,,
647,,
422,,
495,,
524,,
524,,
449,,
583,,
414,,
565,,
427,,
521,,
375,,
348,,
237,,
517,,
517,,
492,,
352,,
326,,
419,,
628,,
566,,
337,,
468,,
355,,
394,,
394,,
351,,
418,,
450,,
400,,
473,,
650,,
732,,
558,,
525,,
399,,
399,,
398,,
328,,
301,,
436,,
572,,
425,,
463,,
527,,
951,,
912,,
912,,
778,,
