data,age,gender
333,33,1
392,,
375,,
355,,
495,,
416,,
416,,
339,,
406,,
367,,
439,,
410,,
405,,
396,,
539,,
385,,
416,,
416,,
330,,
367,,
418,,
419,,
425,,
404,,
463,,
509,,
488,,
274,,
274,,
443,,
363,,
613,,
330,,
295,,
323,,
623,,
362,,
366,,
348,,
348,,
335,,
398,,
396,,
460,,
434,,
387,,
533,,
353,,
467,,
451,,
451,,
366,,
403,,
451,,
333,,
338,,
576,,
402,,
343,,
497,,
384,,
384,,
376,,
367,,
395,,
443,,
494,,
426,,
654,,
516,,
466,,
322,,
322,,
451,,
462,,
440,,
315,,
389,,
310,,
330,,
486,,
497,,
478,,
478,,
441,,
544,,
364,,
465,,
517,,
606,,
439,,
535,,
681,,
584,,
584,,
476,,
461,,
567,,
434,,
551,,
641,,
684,,
666,,
580,,
593,,
593,,
470,,
513,,
545,,
490,,
538,,
349,,
574,,
554,,
380,,
342,,
342,,
462,,
338,,
434,,
292,,
574,,
448,,
502,,
513,,
462,,
373,,
373,,
327,,
586,,
364,,
299,,
327,,
469,,
602,,
687,,
558,,
548,,
548,,
666,,
515,,
419,,
578,,
447,,
524,,
554,,
437,,
555,,
460,,
460,,
613,,
480,,
336,,
385,,
345,,
462,,
640,,
480,,
485,,
430,,
430,,
523,,
502,,
464,,
389,,
416,,
490,,
262,,
343,,
535,,
313,,
313,,
394,,
347,,
490,,
368,,
324,,
401,,
475,,
422,,
368,,
498,,
498,,
554,,
512,,
548,,
484,,
486,,
501,,
372,,
382,,
311,,
385,,
385,,
664,,
421,,
429,,
415,,
481,,
299,,
491,,
407,,
661,,
430,,
430,,
424,,
472,,
499,,
467,,
865,,
680,,
437,,
322,,
404,,
552,,
552,,
357,,
353,,
348,,
446,,
253,,
328,,
471,,
519,,
406,,
314,,
314,,
411,,
317,,
331,,
493,,
696,,
649,,
368,,
416,,
445,,
413,,
413,,
344,,
353,,
507,,
329,,
319,,
371,,
337,,
396,,
366,,
468,,
468,,
294,,
294,,
262,,
473,,
729,,
828,,
708,,
423,,
296,,
303,,
303,,
425,,
351,,
336,,
293,,
423,,
302,,
407,,
463,,
418,,
337,,
337,,
336,,
353,,
342,,
511,,
392,,
368,,
339,,
376,,
320,,
665,,
665,,
641,,
602,,
737,,
672,,
655,,
475,,
569,,
640,,
556,,
601,,
601,,
706,,
589,,
655,,
684,,
637,,
805,,
960,,
959,,
959,,
496,,
496,,
315,,
389,,
546,,
287,,
389,,
428,,
514,,
306,,
281,,
417,,
417,,
439,,
372,,
307,,
396,,
332,,
400,,
331,,
355,,
261,,
281,,
281,,
358,,
418,,
308,,
322,,
402,,
332,,
301,,
237,,
502,,
370,,
370,,
343,,
433,,
629,,
362,,
391,,
482,,
498,,
405,,
321,,
325,,
325,,
397,,
270,,
313,,
330,,
456,,
329,,
316,,
312,,
480,,
