data,age,gender
332,18,0
332,,
329,,
189,,
253,,
289,,
257,,
316,,
231,,
218,,
280,,
211,,
211,,
271,,
184,,
192,,
228,,
205,,
208,,
206,,
243,,
211,,
216,,
216,,
203,,
173,,
196,,
202,,
178,,
192,,
218,,
199,,
206,,
168,,
168,,
191,,
177,,
288,,
235,,
217,,
242,,
253,,
256,,
187,,
266,,
266,,
293,,
333,,
365,,
399,,
363,,
354,,
328,,
307,,
291,,
334,,
334,,
479,,
639,,
419,,
325,,
468,,
738,,
957,,
957,,
420,,
307,,
307,,
297,,
319,,
250,,
368,,
566,,
560,,
273,,
188,,
436,,
627,,
627,,
894,,
941,,
726,,
453,,
292,,
326,,
828,,
952,,
960,,
958,,
958,,
820,,
721,,
529,,
378,,
415,,
329,,
379,,
239,,
211,,
188,,
188,,
152,,
134,,
166,,
139,,
170,,
133,,
137,,
180,,
176,,
161,,
161,,
160,,
133,,
130,,
133,,
137,,
156,,
176,,
188,,
170,,
205,,
205,,
195,,
161,,
245,,
285,,
261,,
183,,
183,,
187,,
145,,
183,,
183,,
152,,
236,,
152,,
129,,
174,,
144,,
139,,
146,,
137,,
190,,
190,,
156,,
156,,
162,,
231,,
157,,
156,,
149,,
165,,
161,,
166,,
166,,
185,,
155,,
149,,
178,,
186,,
174,,
194,,
173,,
184,,
187,,
187,,
179,,
167,,
221,,
183,,
194,,
176,,
182,,
248,,
249,,
234,,
234,,
288,,
239,,
229,,
219,,
318,,
346,,
298,,
320,,
335,,
279,,
279,,
310,,
345,,
272,,
297,,
713,,
957,,
953,,
960,,
311,,
506,,
506,,
959,,
957,,
958,,
958,,
958,,
913,,
544,,
389,,
238,,
229,,
229,,
229,,
196,,
264,,
507,,
656,,
809,,
755,,
712,,
568,,
400,,
400,,
302,,
214,,
181,,
213,,
198,,
263,,
316,,
280,,
279,,
261,,
261,,
244,,
267,,
227,,
358,,
333,,
296,,
221,,
293,,
221,,
246,,
246,,
229,,
260,,
244,,
192,,
218,,
197,,
243,,
236,,
256,,
222,,
222,,
273,,
312,,
261,,
155,,
183,,
207,,
153,,
188,,
199,,
217,,
217,,
220,,
231,,
198,,
202,,
174,,
149,,
196,,
203,,
146,,
176,,
176,,
181,,
203,,
187,,
172,,
208,,
190,,
200,,
167,,
196,,
170,,
170,,
176,,
206,,
212,,
150,,
211,,
319,,
510,,
517,,
494,,
429,,
429,,
334,,
263,,
235,,
153,,
249,,
235,,
243,,
227,,
232,,
180,,
180,,
276,,
193,,
791,,
951,,
957,,
960,,
513,,
855,,
956,,
957,,
957,,
957,,
957,,
957,,
953,,
956,,
532,,
305,,
219,,
297,,
285,,
285,,
382,,
