data,age,gender
332,18,0
344,,
343,,
316,,
340,,
290,,
275,,
218,,
190,,
190,,
185,,
141,,
188,,
184,,
240,,
182,,
277,,
249,,
175,,
186,,
186,,
845,,
955,,
959,,
837,,
957,,
958,,
957,,
958,,
763,,
276,,
276,,
314,,
402,,
378,,
320,,
248,,
377,,
489,,
774,,
740,,
743,,
743,,
648,,
566,,
458,,
388,,
424,,
312,,
346,,
551,,
933,,
959,,
959,,
954,,
960,,
785,,
950,,
958,,
955,,
957,,
957,,
958,,
958,,
958,,
532,,
346,,
486,,
658,,
676,,
522,,
555,,
678,,
594,,
715,,
715,,
705,,
807,,
959,,
954,,
959,,
958,,
951,,
599,,
485,,
347,,
347,,
357,,
348,,
319,,
360,,
441,,
853,,
910,,
792,,
880,,
956,,
956,,
959,,
953,,
958,,
958,,
957,,
552,,
555,,
958,,
957,,
957,,
957,,
958,,
589,,
958,,
957,,
957,,
957,,
956,,
447,,
243,,
210,,
210,,
419,,
436,,
314,,
233,,
211,,
894,,
959,,
958,,
958,,
412,,
412,,
232,,
217,,
186,,
215,,
253,,
324,,
469,,
788,,
822,,
852,,
852,,
893,,
820,,
803,,
710,,
689,,
714,,
652,,
692,,
677,,
578,,
578,,
543,,
681,,
601,,
801,,
959,,
957,,
959,,
750,,
544,,
447,,
447,,
335,,
274,,
293,,
302,,
251,,
317,,
388,,
259,,
227,,
206,,
206,,
204,,
307,,
208,,
155,,
202,,
362,,
200,,
169,,
189,,
279,,
279,,
679,,
957,,
957,,
957,,
956,,
959,,
957,,
957,,
958,,
957,,
957,,
957,,
544,,
461,,
728,,
953,,
960,,
959,,
959,,
954,,
844,,
844,,
684,,
652,,
547,,
520,,
636,,
520,,
441,,
745,,
356,,
437,,
437,,
446,,
499,,
548,,
512,,
444,,
385,,
514,,
330,,
540,,
553,,
553,,
370,,
449,,
482,,
583,,
390,,
292,,
291,,
301,,
330,,
365,,
365,,
355,,
529,,
944,,
954,,
960,,
959,,
643,,
200,,
283,,
588,,
588,,
554,,
447,,
350,,
401,,
366,,
441,,
812,,
956,,
956,,
958,,
958,,
957,,
959,,
957,,
957,,
671,,
228,,
606,,
739,,
294,,
956,,
956,,
954,,
957,,
957,,
957,,
956,,
410,,
243,,
195,,
242,,
279,,
279,,
346,,
529,,
621,,
646,,
736,,
749,,
680,,
739,,
736,,
741,,
741,,
721,,
697,,
703,,
717,,
538,,
515,,
519,,
486,,
318,,
207,,
207,,
185,,
171,,
175,,
229,,
205,,
296,,
344,,
439,,
441,,
710,,
710,,
960,,
957,,
526,,
957,,
957,,
957,,
958,,
957,,
959,,
941,,
941,,
461,,
592,,
558,,
250,,
721,,
526,,
354,,
295,,
585,,
