data,age,gender
142,30,1
281,,
448,,
290,,
201,,
406,,
219,,
276,,
276,,
234,,
271,,
197,,
247,,
281,,
165,,
151,,
337,,
162,,
212,,
212,,
169,,
270,,
165,,
174,,
175,,
192,,
158,,
188,,
346,,
203,,
203,,
175,,
223,,
307,,
212,,
186,,
185,,
262,,
192,,
160,,
169,,
169,,
251,,
158,,
173,,
179,,
250,,
316,,
413,,
309,,
293,,
337,,
337,,
292,,
191,,
239,,
234,,
296,,
367,,
258,,
204,,
234,,
283,,
283,,
239,,
247,,
348,,
303,,
285,,
318,,
312,,
318,,
277,,
388,,
388,,
254,,
166,,
181,,
220,,
183,,
150,,
341,,
247,,
214,,
194,,
194,,
253,,
160,,
197,,
452,,
203,,
181,,
166,,
240,,
191,,
164,,
164,,
227,,
341,,
294,,
240,,
485,,
229,,
223,,
214,,
219,,
159,,
159,,
182,,
443,,
149,,
129,,
175,,
280,,
161,,
119,,
194,,
167,,
167,,
154,,
144,,
281,,
136,,
164,,
136,,
231,,
146,,
130,,
125,,
125,,
160,,
126,,
141,,
280,,
131,,
178,,
153,,
234,,
267,,
215,,
215,,
381,,
344,,
323,,
451,,
352,,
321,,
237,,
275,,
222,,
236,,
236,,
372,,
210,,
438,,
450,,
481,,
535,,
329,,
269,,
409,,
360,,
360,,
328,,
282,,
319,,
200,,
205,,
264,,
525,,
950,,
622,,
646,,
646,,
249,,
220,,
200,,
312,,
336,,
218,,
169,,
260,,
196,,
142,,
142,,
169,,
205,,
137,,
120,,
297,,
176,,
155,,
154,,
200,,
164,,
164,,
161,,
282,,
148,,
133,,
148,,
247,,
293,,
214,,
362,,
192,,
192,,
187,,
333,,
324,,
300,,
567,,
417,,
277,,
245,,
373,,
211,,
211,,
207,,
415,,
246,,
205,,
244,,
246,,
194,,
170,,
317,,
177,,
177,,
191,,
173,,
246,,
213,,
199,,
255,,
198,,
262,,
410,,
650,,
650,,
785,,
582,,
624,,
304,,
263,,
291,,
192,,
192,,
205,,
226,,
226,,
192,,
190,,
216,,
230,,
179,,
185,,
323,,
168,,
155,,
156,,
156,,
254,,
172,,
128,,
152,,
253,,
154,,
138,,
142,,
239,,
162,,
162,,
146,,
141,,
245,,
192,,
166,,
167,,
211,,
166,,
168,,
152,,
152,,
164,,
158,,
195,,
319,,
211,,
412,,
369,,
465,,
297,,
248,,
248,,
345,,
227,,
158,,
401,,
185,,
158,,
171,,
329,,
189,,
