data,age,gender
313,22,0
313,,
140,,
138,,
232,,
164,,
197,,
233,,
121,,
140,,
275,,
161,,
161,,
132,,
228,,
137,,
156,,
333,,
143,,
98,,
145,,
152,,
99,,
99,,
144,,
168,,
114,,
103,,
234,,
118,,
100,,
150,,
135,,
148,,
148,,
179,,
182,,
107,,
207,,
262,,
235,,
168,,
358,,
235,,
732,,
732,,
473,,
592,,
289,,
212,,
194,,
101,,
115,,
288,,
141,,
128,,
128,,
132,,
183,,
190,,
627,,
697,,
519,,
268,,
226,,
274,,
156,,
156,,
135,,
241,,
148,,
112,,
178,,
187,,
118,,
155,,
169,,
178,,
178,,
140,,
120,,
147,,
183,,
176,,
124,,
131,,
156,,
122,,
118,,
118,,
345,,
129,,
125,,
151,,
231,,
142,,
128,,
146,,
187,,
134,,
134,,
136,,
219,,
123,,
118,,
313,,
178,,
197,,
315,,
595,,
597,,
597,,
364,,
378,,
203,,
166,,
233,,
157,,
119,,
136,,
190,,
152,,
152,,
126,,
209,,
144,,
119,,
280,,
178,,
127,,
113,,
189,,
127,,
127,,
99,,
348,,
130,,
110,,
112,,
209,,
141,,
94,,
117,,
163,,
163,,
124,,
99,,
225,,
117,,
90,,
118,,
166,,
153,,
256,,
407,,
407,,
693,,
518,,
363,,
245,,
169,,
133,,
219,,
124,,
125,,
240,,
240,,
131,,
112,,
157,,
169,,
106,,
138,,
200,,
137,,
124,,
322,,
322,,
136,,
104,,
107,,
201,,
131,,
125,,
113,,
162,,
126,,
111,,
111,,
225,,
117,,
105,,
215,,
466,,
737,,
241,,
265,,
165,,
119,,
119,,
251,,
109,,
129,,
364,,
195,,
163,,
124,,
198,,
149,,
137,,
137,,
251,,
176,,
124,,
219,,
139,,
140,,
315,,
135,,
197,,
307,,
307,,
237,,
957,,
959,,
957,,
600,,
393,,
348,,
190,,
148,,
299,,
299,,
137,,
122,,
117,,
215,,
375,,
511,,
275,,
358,,
211,,
221,,
221,,
286,,
174,,
109,,
170,,
178,,
137,,
