data,age,gender
313,22,0
137,,
147,,
353,,
192,,
183,,
183,,
152,,
223,,
136,,
140,,
325,,
139,,
133,,
126,,
150,,
135,,
135,,
149,,
211,,
140,,
140,,
258,,
120,,
167,,
367,,
182,,
139,,
139,,
225,,
162,,
138,,
136,,
203,,
136,,
129,,
210,,
166,,
189,,
189,,
327,,
181,,
165,,
174,,
166,,
142,,
168,,
267,,
181,,
138,,
138,,
322,,
162,,
153,,
153,,
207,,
149,,
151,,
290,,
157,,
160,,
160,,
183,,
176,,
158,,
140,,
212,,
149,,
142,,
251,,
155,,
156,,
156,,
277,,
174,,
157,,
380,,
144,,
105,,
128,,
171,,
141,,
120,,
120,,
217,,
154,,
165,,
219,,
152,,
122,,
282,,
158,,
107,,
294,,
294,,
170,,
123,,
130,,
191,,
133,,
129,,
311,,
167,,
111,,
169,,
169,,
234,,
155,,
175,,
690,,
453,,
712,,
333,,
197,,
153,,
133,,
133,,
286,,
157,,
92,,
127,,
188,,
113,,
122,,
193,,
137,,
152,,
152,,
379,,
686,,
488,,
339,,
363,,
191,,
152,,
277,,
127,,
161,,
161,,
343,,
150,,
119,,
135,,
160,,
110,,
121,,
200,,
132,,
112,,
112,,
309,,
144,,
178,,
531,,
556,,
960,,
903,,
518,,
392,,
318,,
318,,
390,,
258,,
224,,
215,,
291,,
240,,
223,,
351,,
257,,
261,,
261,,
233,,
268,,
218,,
258,,
354,,
257,,
222,,
227,,
272,,
203,,
203,,
197,,
365,,
306,,
353,,
462,,
357,,
292,,
329,,
343,,
273,,
273,,
320,,
373,,
325,,
320,,
408,,
560,,
867,,
601,,
393,,
961,,
961,,
791,,
960,,
962,,
922,,
961,,
446,,
550,,
691,,
396,,
180,,
180,,
178,,
228,,
144,,
140,,
446,,
358,,
205,,
391,,
159,,
175,,
175,,
129,,
186,,
123,,
114,,
231,,
98,,
91,,
312,,
133,,
99,,
99,,
120,,
151,,
93,,
79,,
254,,
101,,
90,,
126,,
137,,
113,,
113,,
119,,
205,,
101,,
118,,
346,,
157,,
166,,
139,,
164,,
