data,age,gender
966,20,0
966,,
967,,
966,,
965,,
965,,
965,,
799,,
481,,
264,,
202,,
228,,
228,,
186,,
229,,
210,,
187,,
185,,
195,,
199,,
179,,
201,,
220,,
220,,
162,,
192,,
196,,
181,,
133,,
214,,
194,,
136,,
237,,
223,,
223,,
326,,
534,,
965,,
966,,
965,,
964,,
965,,
966,,
964,,
792,,
792,,
419,,
259,,
177,,
219,,
239,,
279,,
315,,
250,,
251,,
211,,
211,,
249,,
207,,
209,,
224,,
245,,
169,,
224,,
222,,
177,,
204,,
204,,
205,,
193,,
220,,
202,,
178,,
212,,
197,,
193,,
195,,
195,,
195,,
173,,
210,,
186,,
200,,
172,,
162,,
180,,
213,,
172,,
159,,
159,,
212,,
254,,
306,,
304,,
295,,
212,,
167,,
200,,
161,,
205,,
205,,
221,,
200,,
213,,
227,,
174,,
240,,
195,,
194,,
246,,
208,,
208,,
257,,
225,,
258,,
214,,
255,,
269,,
248,,
252,,
223,,
277,,
277,,
272,,
216,,
232,,
270,,
269,,
288,,
278,,
284,,
267,,
251,,
251,,
266,,
350,,
298,,
253,,
322,,
312,,
302,,
286,,
320,,
246,,
246,,
258,,
262,,
289,,
326,,
296,,
326,,
316,,
282,,
294,,
301,,
301,,
322,,
322,,
270,,
278,,
271,,
249,,
237,,
224,,
209,,
220,,
220,,
521,,
773,,
965,,
965,,
964,,
855,,
614,,
405,,
282,,
207,,
207,,
188,,
162,,
166,,
191,,
220,,
215,,
224,,
205,,
215,,
230,,
230,,
172,,
220,,
217,,
214,,
214,,
221,,
240,,
212,,
176,,
171,,
171,,
218,,
231,,
256,,
237,,
234,,
274,,
241,,
203,,
244,,
223,,
223,,
218,,
229,,
298,,
291,,
293,,
236,,
269,,
296,,
256,,
250,,
250,,
229,,
278,,
222,,
274,,
289,,
264,,
216,,
227,,
235,,
279,,
279,,
234,,
264,,
261,,
271,,
254,,
256,,
210,,
212,,
179,,
239,,
239,,
361,,
518,,
613,,
640,,
520,,
430,,
329,,
266,,
212,,
224,,
224,,
228,,
275,,
237,,
244,,
270,,
244,,
202,,
217,,
197,,
211,,
211,,
232,,
227,,
216,,
240,,
230,,
258,,
205,,
211,,
240,,
238,,
238,,
255,,
236,,
243,,
224,,
288,,
252,,
263,,
245,,
241,,
247,,
247,,
245,,
228,,
229,,
247,,
258,,
240,,
241,,
267,,
240,,
262,,
262,,
279,,
259,,
265,,
248,,
224,,
277,,
281,,
260,,
289,,
242,,
242,,
227,,
236,,
265,,
191,,
203,,
225,,
195,,
205,,
259,,
243,,
243,,
263,,
227,,
239,,
272,,
225,,
250,,
259,,
218,,
272,,
229,,
229,,
241,,
266,,
246,,
199,,
223,,
258,,
219,,
