data,age,gender
964,20,0
964,,
851,,
769,,
420,,
168,,
206,,
358,,
267,,
125,,
348,,
281,,
281,,
165,,
183,,
152,,
135,,
126,,
149,,
96,,
118,,
132,,
567,,
567,,
963,,
965,,
964,,
964,,
965,,
964,,
625,,
233,,
190,,
965,,
965,,
962,,
497,,
964,,
963,,
962,,
964,,
962,,
963,,
964,,
963,,
963,,
630,,
277,,
113,,
182,,
332,,
302,,
379,,
387,,
327,,
342,,
342,,
370,,
303,,
272,,
198,,
153,,
128,,
123,,
98,,
115,,
130,,
130,,
172,,
234,,
275,,
274,,
186,,
619,,
965,,
963,,
966,,
963,,
963,,
965,,
471,,
964,,
964,,
959,,
964,,
963,,
965,,
965,,
964,,
964,,
962,,
908,,
715,,
620,,
523,,
483,,
329,,
266,,
259,,
319,,
319,,
332,,
324,,
239,,
352,,
323,,
149,,
466,,
963,,
964,,
965,,
965,,
962,,
912,,
439,,
185,,
254,,
173,,
498,,
965,,
966,,
964,,
964,,
634,,
198,,
348,,
717,,
964,,
963,,
960,,
965,,
963,,
964,,
964,,
900,,
883,,
811,,
792,,
763,,
718,,
678,,
694,,
688,,
503,,
503,,
260,,
965,,
965,,
965,,
962,,
963,,
965,,
366,,
421,,
843,,
843,,
855,,
586,,
196,,
301,,
276,,
155,,
241,,
417,,
574,,
776,,
776,,
816,,
810,,
730,,
676,,
719,,
685,,
708,,
717,,
721,,
764,,
764,,
749,,
679,,
667,,
646,,
647,,
669,,
619,,
637,,
630,,
651,,
651,,
645,,
603,,
656,,
593,,
657,,
746,,
677,,
626,,
615,,
592,,
592,,
558,,
458,,
232,,
183,,
346,,
426,,
412,,
296,,
506,,
963,,
963,,
966,,
965,,
964,,
965,,
964,,
965,,
960,,
963,,
964,,
963,,
963,,
773,,
230,,
680,,
964,,
964,,
963,,
963,,
964,,
962,,
963,,
963,,
963,,
963,,
962,,
923,,
851,,
764,,
756,,
724,,
715,,
693,,
693,,
711,,
682,,
656,,
625,,
631,,
630,,
577,,
660,,
667,,
633,,
633,,
634,,
595,,
576,,
585,,
622,,
624,,
655,,
649,,
660,,
653,,
653,,
632,,
659,,
619,,
608,,
612,,
621,,
625,,
606,,
624,,
654,,
654,,
647,,
603,,
633,,
634,,
576,,
624,,
622,,
595,,
602,,
608,,
608,,
563,,
599,,
574,,
576,,
594,,
575,,
577,,
594,,
555,,
537,,
537,,
550,,
523,,
511,,
473,,
511,,
531,,
526,,
515,,
543,,
471,,
471,,
517,,
488,,
443,,
472,,
477,,
398,,
480,,
397,,
441,,
413,,
413,,
416,,
383,,
413,,
369,,
401,,
390,,
415,,
424,,
401,,
400,,
400,,
379,,
