data,age,gender
235,19,0
235,,
219,,
237,,
258,,
240,,
284,,
267,,
282,,
276,,
267,,
257,,
257,,
283,,
253,,
262,,
254,,
245,,
256,,
203,,
398,,
961,,
964,,
964,,
966,,
965,,
965,,
965,,
950,,
406,,
269,,
447,,
577,,
585,,
585,,
574,,
578,,
519,,
504,,
503,,
491,,
436,,
404,,
408,,
367,,
367,,
388,,
429,,
423,,
392,,
336,,
301,,
317,,
289,,
301,,
304,,
304,,
318,,
330,,
361,,
318,,
314,,
360,,
307,,
303,,
337,,
289,,
289,,
284,,
283,,
270,,
270,,
297,,
283,,
252,,
260,,
241,,
258,,
258,,
236,,
226,,
261,,
257,,
230,,
264,,
221,,
228,,
234,,
223,,
223,,
216,,
215,,
227,,
256,,
285,,
240,,
316,,
294,,
245,,
253,,
253,,
256,,
245,,
289,,
265,,
258,,
245,,
217,,
194,,
200,,
159,,
159,,
130,,
116,,
104,,
101,,
92,,
87,,
84,,
83,,
87,,
85,,
85,,
82,,
79,,
79,,
82,,
77,,
76,,
77,,
77,,
77,,
80,,
80,,
77,,
77,,
77,,
79,,
76,,
77,,
76,,
76,,
75,,
79,,
79,,
75,,
77,,
75,,
79,,
77,,
76,,
75,,
75,,
78,,
77,,
77,,
75,,
75,,
76,,
77,,
75,,
76,,
76,,
75,,
78,,
76,,
76,,
73,,
73,,
74,,
77,,
74,,
76,,
73,,
74,,
75,,
75,,
75,,
76,,
74,,
76,,
75,,
74,,
75,,
74,,
75,,
194,,
314,,
314,,
299,,
208,,
269,,
207,,
207,,
244,,
262,,
263,,
289,,
298,,
298,,
231,,
960,,
965,,
966,,
964,,
965,,
450,,
964,,
964,,
964,,
964,,
963,,
964,,
760,,
689,,
965,,
966,,
965,,
965,,
959,,
608,,
608,,
251,,
322,,
537,,
685,,
761,,
629,,
490,,
456,,
363,,
312,,
312,,
417,,
354,,
397,,
423,,
493,,
449,,
495,,
437,,
424,,
342,,
342,,
351,,
256,,
224,,
233,,
287,,
285,,
292,,
317,,
395,,
272,,
272,,
263,,
645,,
966,,
963,,
965,,
960,,
966,,
559,,
338,,
509,,
509,,
707,,
868,,
923,,
789,,
712,,
693,,
695,,
666,,
575,,
493,,
493,,
446,,
443,,
355,,
347,,
314,,
334,,
255,,
487,,
964,,
964,,
964,,
967,,
963,,
959,,
708,,
329,,
385,,
593,,
697,,
700,,
645,,
645,,
608,,
543,,
457,,
451,,
464,,
397,,
435,,
