data,age,gender
235,19,0
375,,
339,,
353,,
353,,
345,,
260,,
296,,
290,,
273,,
238,,
234,,
571,,
965,,
965,,
965,,
964,,
965,,
964,,
966,,
915,,
393,,
284,,
348,,
682,,
755,,
755,,
779,,
805,,
762,,
764,,
707,,
571,,
498,,
450,,
351,,
313,,
313,,
285,,
247,,
290,,
190,,
180,,
188,,
206,,
209,,
269,,
283,,
283,,
288,,
285,,
281,,
237,,
723,,
963,,
964,,
964,,
965,,
964,,
964,,
966,,
790,,
301,,
673,,
964,,
964,,
962,,
963,,
963,,
966,,
966,,
963,,
754,,
542,,
402,,
386,,
358,,
364,,
309,,
305,,
308,,
308,,
279,,
326,,
294,,
247,,
193,,
154,,
549,,
964,,
961,,
965,,
965,,
965,,
960,,
965,,
571,,
300,,
572,,
781,,
963,,
963,,
917,,
917,,
843,,
745,,
668,,
650,,
562,,
559,,
545,,
492,,
474,,
442,,
442,,
373,,
412,,
372,,
361,,
390,,
352,,
350,,
327,,
346,,
375,,
375,,
388,,
411,,
388,,
344,,
401,,
455,,
370,,
409,,
422,,
382,,
382,,
459,,
450,,
430,,
415,,
374,,
279,,
180,,
413,,
616,,
664,,
664,,
648,,
558,,
325,,
206,,
248,,
316,,
368,,
367,,
376,,
344,,
344,,
335,,
263,,
185,,
423,,
711,,
837,,
740,,
669,,
425,,
269,,
269,,
201,,
192,,
525,,
963,,
964,,
964,,
963,,
960,,
965,,
965,,
965,,
962,,
965,,
390,,
219,,
465,,
578,,
697,,
843,,
898,,
920,,
920,,
863,,
825,,
730,,
646,,
580,,
615,,
511,,
518,,
489,,
486,,
486,,
385,,
262,,
169,,
142,,
172,,
158,,
158,,
157,,
137,,
171,,
171,,
222,,
256,,
311,,
358,,
352,,
365,,
374,,
403,,
423,,
409,,
409,,
408,,
393,,
345,,
173,,
654,,
963,,
965,,
963,,
963,,
964,,
964,,
845,,
362,,
236,,
418,,
594,,
670,,
720,,
681,,
554,,
392,,
392,,
247,,
221,,
239,,
221,,
295,,
368,,
382,,
458,,
505,,
502,,
502,,
522,,
546,,
524,,
542,,
535,,
526,,
540,,
531,,
498,,
505,,
505,,
490,,
481,,
508,,
454,,
439,,
439,,
437,,
396,,
425,,
435,,
435,,
404,,
337,,
330,,
345,,
373,,
378,,
331,,
320,,
414,,
350,,
350,,
375,,
387,,
348,,
389,,
410,,
365,,
389,,
400,,
362,,
368,,
368,,
379,,
357,,
366,,
382,,
320,,
345,,
371,,
303,,
318,,
