data,age,gender
245,35,0
245,,
263,,
268,,
243,,
239,,
268,,
250,,
241,,
267,,
242,,
233,,
233,,
282,,
248,,
229,,
278,,
258,,
265,,
311,,
294,,
334,,
299,,
299,,
261,,
246,,
292,,
254,,
257,,
307,,
277,,
260,,
309,,
284,,
284,,
266,,
320,,
283,,
331,,
343,,
304,,
332,,
264,,
283,,
312,,
312,,
264,,
249,,
301,,
251,,
246,,
248,,
220,,
242,,
266,,
248,,
248,,
244,,
255,,
268,,
254,,
265,,
219,,
246,,
265,,
270,,
256,,
256,,
322,,
251,,
244,,
275,,
311,,
370,,
357,,
293,,
276,,
275,,
275,,
249,,
342,,
246,,
270,,
322,,
304,,
308,,
322,,
289,,
297,,
297,,
279,,
231,,
268,,
313,,
262,,
253,,
323,,
246,,
262,,
310,,
310,,
223,,
232,,
299,,
239,,
224,,
332,,
226,,
224,,
330,,
267,,
267,,
236,,
244,,
281,,
220,,
229,,
257,,
264,,
234,,
288,,
208,,
208,,
212,,
265,,
229,,
208,,
264,,
229,,
234,,
292,,
229,,
232,,
232,,
311,,
249,,
251,,
213,,
214,,
222,,
208,,
218,,
210,,
212,,
212,,
262,,
190,,
235,,
266,,
199,,
219,,
277,,
253,,
246,,
284,,
284,,
242,,
218,,
263,,
242,,
238,,
251,,
244,,
217,,
267,,
242,,
242,,
221,,
227,,
215,,
188,,
235,,
224,,
224,,
224,,
209,,
217,,
217,,
250,,
218,,
247,,
267,,
232,,
248,,
238,,
252,,
232,,
246,,
246,,
247,,
216,,
302,,
226,,
238,,
262,,
253,,
244,,
218,,
205,,
205,,
214,,
286,,
219,,
177,,
316,,
205,,
185,,
289,,
201,,
199,,
199,,
249,,
235,,
195,,
240,,
199,,
213,,
233,,
189,,
212,,
211,,
211,,
217,,
192,,
230,,
217,,
220,,
960,,
860,,
449,,
399,,
266,,
266,,
246,,
250,,
220,,
304,,
255,,
241,,
304,,
256,,
228,,
310,,
310,,
217,,
210,,
266,,
222,,
243,,
253,,
229,,
302,,
215,,
225,,
225,,
273,,
225,,
241,,
261,,
228,,
240,,
256,,
225,,
288,,
226,,
226,,
217,,
275,,
223,,
214,,
252,,
210,,
211,,
264,,
227,,
215,,
215,,
230,,
212,,
205,,
236,,
220,,
224,,
249,,
216,,
223,,
249,,
249,,
227,,
207,,
252,,
217,,
215,,
248,,
224,,
224,,
264,,
218,,
218,,
219,,
253,,
204,,
203,,
232,,
213,,
212,,
223,,
228,,
213,,
213,,
236,,
206,,
214,,
234,,
209,,
210,,
234,,
202,,
202,,
254,,
254,,
224,,
198,,
342,,
266,,
464,,
433,,
335,,
499,,
283,,
231,,
231,,
272,,
483,,
245,,
408,,
205,,
253,,
204,,
256,,
306,,
192,,
192,,
581,,
798,,
487,,
440,,
322,,
417,,
381,,
622,,
385,,
354,,
354,,
226,,
245,,
263,,
211,,
214,,
355,,
273,,
316,,
364,,
226,,
226,,
250,,
569,,
319,,
352,,
286,,
225,,
223,,
273,,
201,,
201,,
201,,
262,,
214,,
212,,
242,,
232,,
208,,
232,,
220,,
245,,
221,,
221,,
238,,
237,,
241,,
206,,
330,,
196,,
212,,
244,,
193,,
206,,
206,,
254,,
196,,
221,,
304,,
205,,
193,,
306,,
203,,
218,,
297,,
297,,
222,,
205,,
314,,
204,,
210,,
298,,
201,,
290,,
217,,
232,,
232,,
185,,
252,,
223,,
179,,
209,,
233,,
234,,
159,,
244,,
242,,
242,,
199,,
303,,
