data,age,gender
245,35,0
200,,
207,,
232,,
227,,
234,,
265,,
235,,
235,,
261,,
360,,
316,,
314,,
298,,
297,,
284,,
227,,
192,,
243,,
243,,
253,,
200,,
206,,
183,,
183,,
253,,
172,,
189,,
266,,
191,,
191,,
173,,
214,,
196,,
186,,
219,,
240,,
216,,
173,,
204,,
236,,
236,,
185,,
184,,
175,,
230,,
192,,
201,,
250,,
175,,
223,,
196,,
196,,
232,,
202,,
163,,
209,,
201,,
154,,
202,,
287,,
486,,
555,,
555,,
397,,
393,,
328,,
749,,
421,,
263,,
290,,
263,,
303,,
323,,
323,,
301,,
246,,
231,,
259,,
195,,
188,,
242,,
257,,
269,,
262,,
262,,
239,,
252,,
246,,
226,,
194,,
214,,
235,,
317,,
228,,
215,,
215,,
294,,
200,,
200,,
289,,
441,,
356,,
505,,
435,,
360,,
329,,
329,,
272,,
258,,
274,,
254,,
332,,
282,,
231,,
321,,
242,,
257,,
257,,
322,,
258,,
249,,
259,,
266,,
249,,
248,,
296,,
254,,
264,,
264,,
317,,
254,,
246,,
256,,
251,,
244,,
261,,
314,,
291,,
256,,
256,,
344,,
243,,
252,,
338,,
288,,
270,,
336,,
296,,
276,,
285,,
285,,
296,,
284,,
266,,
309,,
298,,
269,,
287,,
265,,
269,,
294,,
294,,
263,,
277,,
286,,
262,,
304,,
290,,
292,,
290,,
287,,
253,,
253,,
252,,
325,,
289,,
294,,
271,,
240,,
271,,
304,,
285,,
302,,
302,,
284,,
253,,
233,,
305,,
268,,
263,,
290,,
249,,
277,,
312,,
312,,
244,,
268,,
310,,
246,,
296,,
341,,
312,,
264,,
333,,
247,,
247,,
266,,
321,,
261,,
272,,
253,,
256,,
265,,
249,,
292,,
264,,
264,,
262,,
240,,
236,,
255,,
266,,
231,,
279,,
292,,
266,,
229,,
229,,
345,,
362,,
319,,
454,,
281,,
235,,
334,,
277,,
350,,
317,,
317,,
277,,
277,,
270,,
227,,
295,,
273,,
219,,
337,,
235,,
210,,
210,,
270,,
196,,
203,,
235,,
182,,
190,,
200,,
241,,
316,,
264,,
264,,
197,,
290,,
217,,
206,,
274,,
224,,
223,,
278,,
251,,
254,,
254,,
305,,
241,,
234,,
319,,
260,,
304,,
325,,
245,,
273,,
323,,
323,,
275,,
240,,
294,,
265,,
240,,
261,,
247,,
257,,
260,,
252,,
252,,
260,,
253,,
219,,
248,,
261,,
232,,
254,,
296,,
243,,
206,,
206,,
263,,
252,,
218,,
286,,
324,,
272,,
254,,
278,,
227,,
343,,
343,,
235,,
238,,
235,,
278,,
299,,
225,,
216,,
250,,
250,,
245,,
245,,
238,,
325,,
245,,
244,,
312,,
230,,
230,,
265,,
231,,
210,,
210,,
261,,
231,,
173,,
258,,
217,,
214,,
234,,
231,,
251,,
224,,
224,,
194,,
216,,
213,,
210,,
234,,
181,,
222,,
199,,
252,,
204,,
204,,
217,,
233,,
202,,
213,,
234,,
224,,
237,,
289,,
217,,
229,,
229,,
959,,
851,,
472,,
343,,
263,,
197,,
259,,
225,,
231,,
460,,
460,,
963,,
962,,
963,,
962,,
963,,
447,,
256,,
397,,
629,,
562,,
562,,
531,,
577,,
476,,
459,,
456,,
397,,
392,,
458,,
382,,
389,,
389,,
394,,
327,,
316,,
338,,
291,,
327,,
292,,
277,,
256,,
242,,
242,,
224,,
245,,
261,,
205,,
247,,
238,,
212,,
227,,
236,,
200,,
200,,
197,,
218,,
211,,
224,,
243,,
211,,
184,,
209,,
204,,
