data,age,gender
128,30,0
128,,
127,,
292,,
127,,
119,,
266,,
110,,
143,,
256,,
141,,
138,,
138,,
254,,
149,,
141,,
226,,
123,,
111,,
264,,
123,,
122,,
250,,
250,,
110,,
134,,
311,,
147,,
128,,
360,,
130,,
120,,
363,,
130,,
130,,
110,,
172,,
201,,
164,,
189,,
252,,
187,,
193,,
257,,
183,,
183,,
220,,
226,,
187,,
280,,
220,,
127,,
407,,
178,,
152,,
392,,
392,,
164,,
137,,
422,,
200,,
145,,
219,,
186,,
174,,
129,,
220,,
220,,
128,,
179,,
279,,
195,,
207,,
253,,
192,,
148,,
229,,
155,,
155,,
163,,
237,,
170,,
156,,
295,,
163,,
165,,
234,,
151,,
191,,
191,,
262,,
171,,
137,,
273,,
153,,
151,,
309,,
215,,
162,,
320,,
320,,
175,,
161,,
358,,
156,,
141,,
371,,
186,,
137,,
449,,
175,,
175,,
145,,
349,,
164,,
174,,
355,,
134,,
147,,
389,,
198,,
140,,
140,,
427,,
205,,
235,,
437,,
229,,
343,,
618,,
296,,
414,,
544,,
544,,
800,,
431,,
547,,
245,,
195,,
415,,
176,,
131,,
445,,
163,,
163,,
182,,
388,,
174,,
147,,
356,,
166,,
122,,
334,,
163,,
132,,
132,,
407,,
176,,
160,,
384,,
145,,
130,,
348,,
160,,
158,,
409,,
409,,
187,,
180,,
348,,
276,,
182,,
160,,
225,,
121,,
158,,
257,,
257,,
200,,
232,,
316,,
195,,
164,,
310,,
250,,
512,,
578,,
637,,
637,,
278,,
531,,
572,,
539,,
567,,
493,,
359,,
494,,
537,,
526,,
526,,
961,,
432,,
312,,
227,,
159,,
178,,
284,,
136,,
374,,
239,,
239,,
134,,
368,,
165,,
130,,
354,,
158,,
174,,
339,,
167,,
114,,
114,,
299,,
145,,
122,,
354,,
148,,
147,,
369,,
170,,
133,,
421,,
421,,
145,,
117,,
256,,
154,,
121,,
115,,
171,,
107,,
132,,
210,,
210,,
186,,
153,,
185,,
155,,
128,,
229,,
158,,
136,,
226,,
131,,
131,,
117,,
216,,
210,,
181,,
299,,
226,,
175,,
274,,
159,,
140,,
140,,
222,,
154,,
156,,
259,,
150,,
190,,
220,,
251,,
375,,
283,,
283,,
178,,
137,,
221,,
191,,
168,,
217,,
160,,
121,,
225,,
145,,
145,,
124,,
243,,
125,,
110,,
228,,
146,,
135,,
266,,
135,,
129,,
129,,
238,,
150,,
131,,
300,,
155,,
751,,
478,,
333,,
354,,
334,,
334,,
241,,
212,,
212,,
270,,
221,,
224,,
532,,
509,,
723,,
516,,
516,,
388,,
310,,
266,,
233,,
312,,
250,,
231,,
342,,
225,,
189,,
189,,
297,,
162,,
165,,
243,,
164,,
142,,
192,,
95,,
180,,
198,,
198,,
114,,
412,,
169,,
127,,
330,,
136,,
120,,
