data,age,gender
180,23,0
268,,
183,,
135,,
109,,
122,,
260,,
263,,
327,,
327,,
417,,
303,,
300,,
348,,
299,,
302,,
549,,
631,,
620,,
319,,
319,,
592,,
959,,
961,,
959,,
634,,
413,,
288,,
211,,
167,,
138,,
138,,
120,,
105,,
157,,
417,,
444,,
516,,
393,,
420,,
402,,
332,,
332,,
318,,
255,,
365,,
219,,
232,,
325,,
231,,
279,,
289,,
331,,
331,,
298,,
273,,
382,,
283,,
361,,
357,,
182,,
123,,
488,,
945,,
945,,
960,,
960,,
838,,
598,,
288,,
224,,
102,,
242,,
337,,
343,,
343,,
263,,
166,,
228,,
104,,
198,,
288,,
228,,
264,,
310,,
243,,
243,,
192,,
483,,
644,,
599,,
367,,
307,,
102,,
115,,
206,,
402,,
402,,
381,,
391,,
523,,
470,,
441,,
499,,
432,,
453,,
516,,
426,,
426,,
374,,
376,,
146,,
109,,
196,,
87,,
101,,
234,,
163,,
153,,
153,,
354,,
960,,
960,,
961,,
956,,
906,,
413,,
216,,
178,,
347,,
347,,
492,,
558,,
578,,
530,,
369,,
154,,
98,,
104,,
129,,
107,,
107,,
142,,
306,,
257,,
356,,
401,,
458,,
397,,
408,,
463,,
353,,
353,,
402,,
432,,
368,,
283,,
258,,
395,,
334,,
225,,
215,,
367,,
367,,
413,,
397,,
364,,
261,,
114,,
173,,
558,,
961,,
962,,
961,,
961,,
939,,
671,,
313,,
159,,
149,,
365,,
336,,
441,,
539,,
398,,
398,,
296,,
227,,
156,,
94,,
278,,
131,,
145,,
292,,
281,,
331,,
331,,
422,,
405,,
413,,
417,,
428,,
409,,
398,,
435,,
392,,
387,,
387,,
429,,
414,,
455,,
582,,
442,,
411,,
463,,
378,,
367,,
368,,
368,,
256,,
290,,
360,,
288,,
304,,
404,,
287,,
313,,
963,,
961,,
961,,
961,,
962,,
961,,
960,,
917,,
457,,
156,,
287,,
448,,
459,,
459,,
481,,
416,,
350,,
338,,
356,,
340,,
338,,
345,,
391,,
352,,
352,,
321,,
442,,
367,,
370,,
424,,
333,,
388,,
417,,
309,,
334,,
334,,
383,,
257,,
277,,
362,,
344,,
417,,
379,,
205,,
897,,
960,,
960,,
962,,
957,,
961,,
960,,
600,,
382,,
199,,
194,,
163,,
135,,
135,,
118,,
102,,
96,,
88,,
85,,
84,,
77,,
238,,
276,,
361,,
361,,
297,,
242,,
375,,
253,,
171,,
132,,
107,,
93,,
87,,
82,,
82,,
257,,
99,,
158,,
130,,
104,,
91,,
85,,
79,,
75,,
78,,
78,,
74,,
75,,
72,,
74,,
71,,
69,,
70,,
72,,
222,,
263,,
263,,
289,,
299,,
353,,
301,,
205,,
363,,
255,,
240,,
307,,
