data,age,gender
120,23,0
120,,
262,,
111,,
94,,
137,,
108,,
95,,
102,,
117,,
109,,
100,,
100,,
154,,
108,,
94,,
237,,
143,,
82,,
218,,
146,,
87,,
173,,
173,,
107,,
89,,
85,,
138,,
99,,
75,,
225,,
123,,
97,,
202,,
202,,
178,,
133,,
118,,
160,,
133,,
140,,
216,,
138,,
119,,
283,,
283,,
340,,
260,,
230,,
154,,
112,,
154,,
182,,
132,,
113,,
218,,
218,,
147,,
80,,
244,,
151,,
107,,
258,,
164,,
188,,
192,,
194,,
194,,
222,,
175,,
167,,
195,,
172,,
148,,
164,,
158,,
133,,
138,,
138,,
101,,
129,,
136,,
119,,
138,,
113,,
222,,
100,,
137,,
346,,
346,,
463,,
463,,
540,,
644,,
611,,
678,,
469,,
300,,
392,,
200,,
200,,
136,,
119,,
115,,
80,,
90,,
108,,
86,,
98,,
145,,
89,,
89,,
136,,
253,,
176,,
120,,
147,,
149,,
89,,
98,,
121,,
136,,
136,,
195,,
210,,
182,,
89,,
278,,
106,,
95,,
123,,
197,,
158,,
158,,
150,,
257,,
116,,
132,,
289,,
113,,
116,,
127,,
150,,
92,,
92,,
106,,
229,,
95,,
98,,
135,,
108,,
89,,
85,,
189,,
101,,
101,,
78,,
128,,
116,,
105,,
102,,
279,,
144,,
203,,
303,,
176,,
176,,
162,,
123,,
197,,
100,,
103,,
290,,
104,,
100,,
103,,
141,,
141,,
91,,
72,,
180,,
97,,
92,,
235,,
115,,
114,,
141,,
151,,
151,,
123,,
149,,
242,,
166,,
123,,
207,,
157,,
112,,
266,,
121,,
121,,
92,,
114,,
163,,
110,,
102,,
232,,
126,,
98,,
180,,
332,,
332,,
326,,
548,,
491,,
401,,
361,,
393,,
405,,
354,,
229,,
251,,
251,,
132,,
256,,
157,,
81,,
112,,
122,,
99,,
97,,
201,,
95,,
95,,
99,,
273,,
108,,
115,,
104,,
113,,
81,,
90,,
159,,
87,,
87,,
103,,
249,,
120,,
121,,
154,,
152,,
119,,
110,,
174,,
87,,
87,,
91,,
202,,
115,,
83,,
98,,
135,,
90,,
103,,
137,,
108,,
108,,
71,,
228,,
156,,
90,,
83,,
139,,
117,,
138,,
255,,
115,,
115,,
120,,
154,,
129,,
98,,
112,,
200,,
96,,
90,,
129,,
117,,
117,,
95,,
99,,
192,,
96,,
110,,
267,,
111,,
105,,
94,,
151,,
151,,
97,,
73,,
224,,
112,,
98,,
129,,
112,,
81,,
95,,
157,,
157,,
100,,
72,,
267,,
106,,
91,,
96,,
159,,
90,,
97,,
248,,
248,,
97,,
93,,
83,,
159,,
94,,
76,,
261,,
106,,
88,,
95,,
95,,
242,,
112,,
94,,
96,,
108,,
93,,
78,,
182,,
94,,
127,,
127,,
244,,
134,,
85,,
