data,age,gender
155,25,0
155,,
157,,
123,,
130,,
272,,
218,,
113,,
136,,
197,,
201,,
122,,
122,,
102,,
160,,
126,,
163,,
128,,
165,,
160,,
146,,
357,,
151,,
151,,
154,,
113,,
324,,
152,,
133,,
133,,
330,,
156,,
138,,
148,,
148,,
343,,
150,,
110,,
140,,
323,,
140,,
134,,
167,,
299,,
146,,
146,,
155,,
133,,
229,,
173,,
133,,
131,,
202,,
165,,
179,,
228,,
228,,
162,,
106,,
149,,
254,,
152,,
141,,
132,,
203,,
131,,
114,,
114,,
139,,
265,,
489,,
228,,
432,,
193,,
84,,
155,,
228,,
149,,
149,,
132,,
201,,
964,,
461,,
413,,
412,,
491,,
425,,
304,,
221,,
221,,
178,,
137,,
358,,
120,,
89,,
131,,
196,,
101,,
102,,
128,,
128,,
146,,
112,,
86,,
252,,
112,,
118,,
129,,
180,,
107,,
109,,
109,,
322,,
136,,
105,,
113,,
209,,
110,,
128,,
198,,
154,,
135,,
135,,
128,,
207,,
116,,
110,,
308,,
130,,
104,,
109,,
167,,
110,,
110,,
101,,
333,,
135,,
116,,
123,,
224,,
112,,
115,,
105,,
198,,
198,,
165,,
130,,
150,,
227,,
493,,
191,,
244,,
295,,
270,,
192,,
192,,
172,,
204,,
135,,
132,,
334,,
143,,
106,,
128,,
216,,
149,,
149,,
182,,
136,,
187,,
133,,
203,,
409,,
693,,
433,,
579,,
545,,
545,,
617,,
497,,
584,,
561,,
384,,
220,,
239,,
172,,
135,,
132,,
132,,
141,,
138,,
107,,
250,,
131,,
121,,
116,,
167,,
125,,
130,,
130,,
120,,
164,,
130,,
109,,
388,,
143,,
169,,
270,,
329,,
264,,
264,,
470,,
685,,
962,,
621,,
503,,
446,,
308,,
256,,
276,,
248,,
248,,
250,,
404,,
667,,
453,,
502,,
471,,
422,,
528,,
381,,
215,,
215,,
221,,
168,,
123,,
132,,
265,,
177,,
157,,
282,,
145,,
130,,
130,,
125,,
201,,
125,,
130,,
316,,
131,,
137,,
98,,
185,,
138,,
138,,
128,,
297,,
139,,
100,,
112,,
174,,
142,,
128,,
228,,
142,,
142,,
127,,
103,,
348,,
152,,
121,,
123,,
330,,
128,,
97,,
116,,
116,,
196,,
107,,
133,,
85,,
184,,
135,,
98,,
174,,
139,,
112,,
112,,
89,,
304,,
132,,
122,,
133,,
250,,
133,,
123,,
133,,
186,,
186,,
111,,
105,,
91,,
138,,
98,,
89,,
218,,
123,,
110,,
114,,
114,,
204,,
120,,
137,,
271,,
132,,
108,,
130,,
202,,
142,,
133,,
133,,
129,,
190,,
150,,
123,,
127,,
170,,
112,,
104,,
228,,
138,,
138,,
117,,
103,,
250,,
120,,
237,,
264,,
335,,
