data,age,gender
155,25,0
186,,
176,,
420,,
420,,
700,,
890,,
538,,
463,,
505,,
363,,
294,,
382,,
232,,
240,,
240,,
250,,
275,,
218,,
208,,
328,,
701,,
725,,
404,,
962,,
963,,
963,,
962,,
554,,
638,,
464,,
424,,
444,,
680,,
964,,
490,,
412,,
412,,
350,,
287,,
243,,
253,,
211,,
149,,
266,,
180,,
176,,
172,,
172,,
189,,
166,,
196,,
206,,
121,,
133,,
141,,
147,,
124,,
154,,
154,,
642,,
823,,
535,,
420,,
510,,
534,,
460,,
537,,
457,,
671,,
671,,
654,,
663,,
270,,
223,,
366,,
206,,
181,,
314,,
237,,
203,,
203,,
199,,
256,,
222,,
502,,
682,,
575,,
798,,
535,,
695,,
470,,
470,,
390,,
508,,
598,,
492,,
367,,
395,,
502,,
529,,
411,,
384,,
384,,
337,,
428,,
378,,
345,,
413,,
394,,
358,,
379,,
444,,
694,,
694,,
962,,
962,,
626,,
357,,
224,,
338,,
231,,
238,,
184,,
274,,
274,,
183,,
181,,
199,,
230,,
225,,
133,,
292,,
199,,
159,,
154,,
154,,
202,,
157,,
133,,
724,,
799,,
560,,
411,,
552,,
415,,
369,,
369,,
380,,
391,,
381,,
321,,
360,,
372,,
347,,
350,,
448,,
301,,
301,,
268,,
311,,
487,,
781,,
720,,
596,,
265,,
282,,
201,,
290,,
290,,
222,,
145,,
170,,
248,,
129,,
122,,
144,,
179,,
134,,
139,,
139,,
321,,
161,,
140,,
123,,
203,,
191,,
142,,
149,,
262,,
141,,
141,,
151,,
407,,
885,,
961,,
843,,
734,,
635,,
581,,
449,,
467,,
467,,
356,,
416,,
392,,
405,,
515,,
544,,
399,,
340,,
347,,
274,,
274,,
495,,
394,,
611,,
356,,
761,,
512,,
580,,
423,,
366,,
340,,
340,,
415,,
420,,
502,,
433,,
313,,
415,,
270,,
231,,
520,,
251,,
251,,
262,,
325,,
299,,
302,,
352,,
349,,
236,,
280,,
237,,
286,,
286,,
225,,
226,,
261,,
328,,
231,,
317,,
249,,
289,,
224,,
275,,
275,,
344,,
330,,
201,,
296,,
270,,
306,,
282,,
277,,
370,,
250,,
250,,
286,,
288,,
318,,
280,,
244,,
205,,
242,,
232,,
288,,
380,,
380,,
274,,
194,,
230,,
368,,
230,,
328,,
199,,
378,,
223,,
295,,
295,,
293,,
282,,
334,,
258,,
236,,
312,,
209,,
282,,
199,,
223,,
223,,
276,,
294,,
324,,
239,,
326,,
252,,
303,,
232,,
280,,
277,,
277,,
345,,
264,,
239,,
216,,
415,,
313,,
266,,
288,,
258,,
235,,
235,,
223,,
414,,
243,,
290,,
310,,
374,,
221,,
194,,
171,,
303,,
303,,
215,,
246,,
183,,
403,,
241,,
284,,
219,,
316,,
307,,
