data,age,gender
73,21,0
73,,
87,,
100,,
99,,
93,,
82,,
83,,
74,,
68,,
66,,
72,,
72,,
79,,
70,,
61,,
75,,
74,,
66,,
65,,
67,,
72,,
72,,
72,,
72,,
74,,
74,,
74,,
67,,
72,,
70,,
69,,
68,,
65,,
65,,
66,,
71,,
78,,
82,,
79,,
76,,
78,,
79,,
81,,
82,,
82,,
81,,
77,,
72,,
65,,
65,,
65,,
64,,
61,,
65,,
64,,
64,,
64,,
61,,
62,,
63,,
66,,
66,,
64,,
65,,
78,,
77,,
77,,
75,,
74,,
71,,
70,,
72,,
69,,
70,,
67,,
69,,
70,,
70,,
64,,
70,,
80,,
68,,
62,,
78,,
78,,
81,,
72,,
67,,
67,,
73,,
74,,
82,,
70,,
64,,
71,,
83,,
68,,
69,,
72,,
72,,
87,,
74,,
64,,
69,,
77,,
93,,
74,,
69,,
87,,
92,,
92,,
71,,
83,,
93,,
81,,
80,,
77,,
78,,
75,,
106,,
96,,
96,,
87,,
79,,
86,,
86,,
76,,
71,,
76,,
117,,
77,,
68,,
68,,
72,,
77,,
77,,
78,,
77,,
79,,
87,,
99,,
86,,
72,,
72,,
68,,
74,,
83,,
76,,
67,,
76,,
84,,
72,,
85,,
70,,
70,,
70,,
78,,
78,,
117,,
100,,
85,,
72,,
75,,
70,,
65,,
65,,
85,,
73,,
72,,
73,,
111,,
99,,
85,,
80,,
77,,
137,,
137,,
229,,
103,,
231,,
100,,
148,,
95,,
132,,
234,,
115,,
87,,
87,,
88,,
96,,
88,,
86,,
98,,
96,,
90,,
90,,
107,,
97,,
97,,
94,,
100,,
86,,
119,,
100,,
100,,
107,,
89,,
114,,
122,,
122,,
91,,
84,,
86,,
122,,
101,,
93,,
89,,
102,,
105,,
87,,
87,,
90,,
88,,
128,,
101,,
90,,
78,,
85,,
112,,
88,,
87,,
87,,
85,,
104,,
95,,
89,,
70,,
82,,
110,,
96,,
97,,
87,,
87,,
74,,
85,,
88,,
94,,
136,,
191,,
122,,
90,,
127,,
93,,
93,,
113,,
86,,
79,,
81,,
82,,
109,,
83,,
77,,
75,,
80,,
80,,
90,,
90,,
81,,
77,,
88,,
84,,
89,,
85,,
95,,
95,,
95,,
80,,
84,,
75,,
82,,
104,,
81,,
77,,
80,,
71,,
78,,
78,,
81,,
64,,
73,,
80,,
85,,
81,,
87,,
72,,
72,,
84,,
84,,
59,,
69,,
70,,
81,,
74,,
67,,
78,,
80,,
94,,
76,,
76,,
82,,
69,,
80,,
91,,
66,,
77,,
78,,
95,,
125,,
80,,
80,,
83,,
73,,
85,,
97,,
102,,
80,,
85,,
101,,
86,,
93,,
93,,
87,,
73,,
82,,
80,,
89,,
70,,
87,,
117,,
88,,
80,,
80,,
89,,
75,,
113,,
94,,
84,,
88,,
79,,
87,,
70,,
69,,
69,,
83,,
80,,
81,,
79,,
75,,
64,,
75,,
109,,
89,,
82,,
82,,
75,,
90,,
94,,
90,,
68,,
78,,
95,,
105,,
92,,
80,,
80,,
101,,
71,,
101,,
85,,
78,,
74,,
95,,
112,,
93,,
79,,
79,,
82,,
82,,
85,,
74,,
75,,
80,,
74,,
116,,
80,,
74,,
74,,
73,,
74,,
96,,
82,,
74,,
68,,
75,,
102,,
74,,
79,,
79,,
76,,
69,,
91,,
85,,
66,,
69,,
72,,
79,,
86,,
80,,
80,,
75,,
77,,
87,,
87,,
69,,
74,,
73,,
75,,
75,,
59,,
59,,
83,,
101,,
81,,
77,,
82,,
