data,age,gender
73,21,0
66,,
100,,
65,,
76,,
91,,
91,,
81,,
88,,
68,,
79,,
84,,
65,,
91,,
75,,
81,,
87,,
87,,
72,,
90,,
81,,
83,,
65,,
77,,
84,,
79,,
76,,
72,,
72,,
93,,
66,,
74,,
69,,
78,,
83,,
75,,
64,,
69,,
65,,
65,,
80,,
75,,
59,,
70,,
68,,
74,,
82,,
77,,
71,,
104,,
104,,
76,,
81,,
76,,
78,,
84,,
100,,
73,,
73,,
85,,
94,,
94,,
107,,
86,,
77,,
100,,
89,,
84,,
77,,
83,,
93,,
95,,
95,,
73,,
62,,
73,,
72,,
75,,
73,,
64,,
99,,
67,,
75,,
75,,
84,,
84,,
81,,
71,,
65,,
77,,
66,,
80,,
76,,
65,,
65,,
80,,
87,,
85,,
84,,
61,,
58,,
89,,
102,,
82,,
78,,
78,,
80,,
75,,
83,,
64,,
86,,
99,,
82,,
78,,
70,,
105,,
105,,
59,,
84,,
73,,
94,,
84,,
75,,
78,,
87,,
77,,
77,,
77,,
94,,
75,,
95,,
97,,
88,,
77,,
114,,
80,,
65,,
82,,
82,,
99,,
76,,
76,,
98,,
94,,
82,,
63,,
76,,
71,,
115,,
115,,
97,,
81,,
73,,
97,,
80,,
74,,
82,,
97,,
85,,
85,,
85,,
60,,
118,,
104,,
98,,
86,,
89,,
109,,
93,,
81,,
122,,
122,,
98,,
99,,
90,,
77,,
95,,
84,,
83,,
97,,
115,,
103,,
103,,
93,,
93,,
103,,
87,,
73,,
83,,
87,,
99,,
92,,
71,,
71,,
91,,
87,,
76,,
84,,
80,,
71,,
76,,
72,,
78,,
99,,
99,,
66,,
96,,
62,,
61,,
79,,
91,,
75,,
64,,
96,,
62,,
62,,
78,,
73,,
66,,
76,,
84,,
87,,
79,,
108,,
87,,
78,,
78,,
72,,
85,,
93,,
81,,
65,,
70,,
96,,
78,,
90,,
83,,
83,,
72,,
90,,
86,,
84,,
86,,
102,,
80,,
69,,
67,,
91,,
91,,
78,,
78,,
77,,
79,,
90,,
78,,
76,,
71,,
100,,
120,,
120,,
293,,
203,,
169,,
100,,
99,,
79,,
77,,
106,,
103,,
91,,
91,,
78,,
74,,
97,,
83,,
70,,
65,,
69,,
102,,
83,,
75,,
75,,
74,,
88,,
92,,
91,,
89,,
84,,
90,,
100,,
82,,
96,,
96,,
78,,
75,,
91,,
98,,
80,,
78,,
98,,
85,,
109,,
113,,
113,,
103,,
89,,
85,,
101,,
106,,
83,,
95,,
113,,
94,,
92,,
92,,
92,,
109,,
98,,
79,,
85,,
111,,
96,,
89,,
83,,
73,,
73,,
87,,
101,,
100,,
97,,
86,,
95,,
87,,
93,,
86,,
75,,
75,,
91,,
85,,
82,,
98,,
124,,
83,,
71,,
87,,
84,,
91,,
91,,
85,,
74,,
71,,
77,,
77,,
86,,
79,,
76,,
93,,
96,,
96,,
83,,
71,,
72,,
101,,
91,,
70,,
85,,
74,,
93,,
100,,
100,,
95,,
69,,
69,,
90,,
85,,
96,,
77,,
84,,
122,,
80,,
80,,
84,,
78,,
83,,
86,,
68,,
75,,
53,,
87,,
78,,
67,,
67,,
67,,
64,,
69,,
64,,
67,,
68,,
66,,
74,,
78,,
68,,
68,,
98,,
175,,
123,,
142,,
120,,
100,,
112,,
64,,
60,,
52,,
52,,
68,,
73,,
84,,
65,,
84,,
80,,
83,,
96,,
77,,
73,,
73,,
68,,
86,,
72,,
63,,
69,,
104,,
73,,
72,,
66,,
68,,
68,,
101,,
66,,
74,,
61,,
72,,
80,,
65,,
72,,
74,,
74,,
74,,
57,,
65,,
92,,
77,,
72,,
53,,
84,,
96,,
79,,
72,,
72,,
77,,
81,,
78,,
92,,
68,,
61,,
83,,
93,,
96,,
87,,
87,,
100,,
128,,
99,,
77,,
105,,
100,,
84,,
78,,
82,,
88,,
88,,
90,,
91,,
82,,
81,,
78,,
120,,
91,,
102,,
91,,
83,,
83,,
94,,
76,,
66,,
70,,
90,,
76,,
74,,
78,,
78,,
92,,
92,,
93,,
98,,
70,,
64,,
497,,
167,,
150,,
118,,
125,,
