data,age,gender
253,24,0
253,,
231,,
236,,
237,,
268,,
249,,
230,,
237,,
228,,
229,,
247,,
247,,
301,,
264,,
232,,
271,,
233,,
236,,
227,,
246,,
240,,
244,,
244,,
241,,
207,,
262,,
238,,
240,,
280,,
255,,
237,,
262,,
264,,
264,,
246,,
250,,
308,,
249,,
233,,
232,,
245,,
238,,
228,,
325,,
325,,
251,,
266,,
253,,
247,,
222,,
255,,
250,,
248,,
241,,
220,,
220,,
318,,
229,,
221,,
215,,
257,,
232,,
208,,
281,,
266,,
247,,
247,,
257,,
281,,
235,,
215,,
324,,
218,,
236,,
262,,
227,,
215,,
215,,
230,,
220,,
235,,
259,,
228,,
255,,
262,,
258,,
218,,
226,,
226,,
223,,
240,,
226,,
297,,
234,,
245,,
256,,
245,,
267,,
292,,
292,,
256,,
242,,
294,,
244,,
237,,
220,,
227,,
209,,
210,,
283,,
283,,
239,,
221,,
258,,
288,,
257,,
209,,
314,,
327,,
323,,
323,,
323,,
254,,
229,,
281,,
218,,
270,,
294,,
222,,
270,,
265,,
230,,
230,,
289,,
296,,
262,,
248,,
292,,
285,,
233,,
279,,
252,,
248,,
248,,
264,,
242,,
290,,
290,,
290,,
372,,
248,,
276,,
279,,
273,,
273,,
285,,
309,,
298,,
257,,
269,,
347,,
287,,
298,,
302,,
299,,
299,,
260,,
224,,
247,,
259,,
262,,
225,,
306,,
303,,
324,,
270,,
270,,
293,,
293,,
303,,
314,,
264,,
271,,
234,,
311,,
305,,
291,,
291,,
285,,
306,,
291,,
271,,
358,,
268,,
228,,
266,,
309,,
236,,
236,,
291,,
252,,
260,,
260,,
261,,
354,,
379,,
298,,
323,,
289,,
289,,
240,,
226,,
246,,
236,,
276,,
248,,
272,,
231,,
259,,
386,,
386,,
316,,
304,,
413,,
325,,
251,,
287,,
244,,
285,,
262,,
290,,
290,,
339,,
257,,
325,,
249,,
259,,
295,,
289,,
250,,
270,,
241,,
241,,
268,,
276,,
272,,
346,,
233,,
365,,
292,,
279,,
279,,
262,,
262,,
288,,
230,,
298,,
253,,
249,,
297,,
247,,
278,,
275,,
231,,
231,,
296,,
263,,
256,,
226,,
287,,
313,,
271,,
331,,
299,,
219,,
219,,
297,,
293,,
273,,
279,,
288,,
270,,
291,,
288,,
348,,
273,,
273,,
354,,
354,,
297,,
365,,
294,,
281,,
262,,
339,,
229,,
239,,
239,,
340,,
235,,
276,,
216,,
330,,
264,,
285,,
229,,
301,,
268,,
268,,
265,,
332,,
273,,
279,,
244,,
267,,
258,,
236,,
303,,
257,,
257,,
251,,
251,,
265,,
281,,
278,,
337,,
246,,
205,,
264,,
268,,
268,,
213,,
211,,
311,,
278,,
247,,
227,,
291,,
235,,
263,,
278,,
278,,
