data,age,gender
253,24,0
231,,
238,,
305,,
310,,
277,,
257,,
219,,
264,,
248,,
384,,
384,,
295,,
223,,
205,,
294,,
363,,
359,,
268,,
321,,
321,,
225,,
225,,
363,,
302,,
222,,
245,,
229,,
205,,
337,,
318,,
243,,
280,,
280,,
236,,
233,,
275,,
231,,
273,,
295,,
268,,
327,,
249,,
266,,
266,,
321,,
258,,
218,,
261,,
256,,
256,,
265,,
312,,
290,,
305,,
305,,
281,,
217,,
231,,
317,,
243,,
244,,
317,,
297,,
280,,
251,,
251,,
288,,
252,,
272,,
265,,
307,,
243,,
346,,
263,,
180,,
210,,
210,,
316,,
273,,
272,,
283,,
315,,
249,,
268,,
303,,
247,,
265,,
265,,
292,,
249,,
203,,
310,,
295,,
279,,
261,,
262,,
305,,
325,,
325,,
293,,
271,,
289,,
300,,
262,,
269,,
279,,
273,,
275,,
364,,
364,,
234,,
286,,
254,,
293,,
268,,
305,,
300,,
328,,
341,,
300,,
300,,
275,,
246,,
366,,
285,,
282,,
304,,
347,,
289,,
246,,
234,,
234,,
325,,
375,,
320,,
248,,
316,,
272,,
259,,
309,,
302,,
268,,
268,,
260,,
260,,
285,,
346,,
242,,
297,,
358,,
297,,
292,,
247,,
247,,
332,,
282,,
286,,
276,,
271,,
336,,
331,,
308,,
275,,
274,,
274,,
285,,
277,,
262,,
289,,
242,,
279,,
252,,
261,,
269,,
260,,
260,,
318,,
272,,
276,,
326,,
248,,
278,,
320,,
294,,
248,,
300,,
300,,
309,,
310,,
318,,
257,,
315,,
279,,
272,,
314,,
307,,
293,,
293,,
273,,
244,,
313,,
258,,
325,,
262,,
272,,
286,,
250,,
222,,
222,,
262,,
321,,
301,,
295,,
307,,
297,,
273,,
269,,
371,,
264,,
264,,
258,,
274,,
294,,
253,,
223,,
233,,
288,,
235,,
268,,
349,,
349,,
262,,
283,,
323,,
280,,
294,,
258,,
322,,
300,,
254,,
283,,
283,,
288,,
271,,
306,,
315,,
252,,
280,,
310,,
330,,
268,,
310,,
310,,
368,,
306,,
261,,
271,,
363,,
295,,
318,,
319,,
278,,
285,,
285,,
311,,
280,,
258,,
262,,
281,,
345,,
311,,
296,,
350,,
304,,
304,,
327,,
316,,
301,,
384,,
329,,
280,,
242,,
327,,
256,,
264,,
264,,
288,,
274,,
257,,
264,,
238,,
283,,
289,,
379,,
284,,
241,,
241,,
292,,
302,,
267,,
261,,
284,,
264,,
267,,
256,,
289,,
247,,
247,,
253,,
290,,
317,,
294,,
306,,
292,,
290,,
266,,
289,,
272,,
272,,
360,,
268,,
290,,
247,,
337,,
254,,
313,,
332,,
271,,
290,,
290,,
295,,
327,,
278,,
278,,
305,,
304,,
285,,
380,,
370,,
366,,
366,,
323,,
308,,
391,,
287,,
355,,
293,,
345,,
423,,
303,,
