data,age,gender
134,23,0
134,,
118,,
129,,
166,,
99,,
134,,
125,,
123,,
134,,
160,,
101,,
101,,
118,,
144,,
113,,
159,,
139,,
120,,
117,,
173,,
134,,
172,,
172,,
138,,
105,,
238,,
134,,
116,,
189,,
117,,
138,,
138,,
139,,
139,,
168,,
180,,
146,,
210,,
122,,
150,,
163,,
129,,
195,,
133,,
133,,
109,,
158,,
120,,
130,,
134,,
136,,
128,,
132,,
217,,
154,,
154,,
143,,
94,,
114,,
125,,
101,,
105,,
137,,
146,,
106,,
150,,
150,,
130,,
116,,
201,,
113,,
141,,
128,,
134,,
119,,
113,,
174,,
174,,
117,,
141,,
206,,
109,,
106,,
107,,
114,,
116,,
132,,
145,,
145,,
97,,
117,,
121,,
110,,
119,,
120,,
102,,
121,,
142,,
93,,
93,,
117,,
124,,
110,,
175,,
154,,
136,,
122,,
168,,
117,,
172,,
172,,
149,,
116,,
136,,
151,,
143,,
214,,
123,,
105,,
213,,
115,,
115,,
106,,
205,,
148,,
140,,
200,,
111,,
127,,
161,,
140,,
111,,
111,,
147,,
129,,
210,,
129,,
118,,
179,,
172,,
304,,
201,,
127,,
127,,
124,,
144,,
84,,
126,,
172,,
145,,
136,,
130,,
122,,
185,,
185,,
122,,
109,,
198,,
135,,
141,,
193,,
135,,
132,,
171,,
101,,
101,,
190,,
128,,
118,,
161,,
114,,
111,,
162,,
152,,
212,,
180,,
180,,
166,,
189,,
158,,
167,,
151,,
117,,
257,,
178,,
157,,
202,,
202,,
133,,
158,,
176,,
122,,
130,,
177,,
130,,
120,,
178,,
116,,
116,,
143,,
125,,
162,,
134,,
101,,
142,,
110,,
113,,
112,,
112,,
112,,
104,,
125,,
150,,
153,,
244,,
155,,
137,,
129,,
120,,
148,,
148,,
153,,
145,,
197,,
120,,
169,,
180,,
173,,
153,,
172,,
145,,
145,,
171,,
148,,
139,,
141,,
142,,
123,,
225,,
186,,
168,,
142,,
142,,
148,,
231,,
159,,
155,,
193,,
132,,
114,,
136,,
133,,
150,,
150,,
168,,
123,,
112,,
162,,
136,,
135,,
149,,
111,,
153,,
165,,
165,,
89,,
219,,
181,,
145,,
175,,
162,,
127,,
159,,
166,,
144,,
144,,
152,,
109,,
97,,
158,,
161,,
187,,
183,,
121,,
105,,
160,,
160,,
117,,
110,,
209,,
131,,
139,,
159,,
192,,
117,,
144,,
168,,
168,,
195,,
104,,
117,,
132,,
121,,
134,,
121,,
204,,
128,,
129,,
129,,
101,,
160,,
113,,
124,,
122,,
118,,
117,,
128,,
165,,
139,,
139,,
107,,
167,,
112,,
106,,
120,,
163,,
108,,
99,,
188,,
107,,
107,,
117,,
184,,
109,,
145,,
122,,
153,,
127,,
120,,
145,,
127,,
127,,
125,,
139,,
117,,
124,,
185,,
110,,
117,,
159,,
99,,
106,,
106,,
162,,
151,,
106,,
233,,
132,,
122,,
120,,
130,,
122,,
131,,
131,,
140,,
88,,
105,,
170,,
116,,
130,,
151,,
107,,
125,,
155,,
155,,
115,,
124,,
170,,
137,,
144,,
180,,
121,,
130,,
138,,
130,,
130,,
129,,
133,,
108,,
136,,
165,,
109,,
134,,
169,,
118,,
139,,
139,,
217,,
131,,
125,,
200,,
166,,
109,,
134,,
163,,
115,,
134,,
134,,
172,,
109,,
124,,
161,,
138,,
116,,
114,,
141,,
130,,
177,,
177,,
155,,
144,,
151,,
161,,
104,,
118,,
134,,
126,,
256,,
157,,
157,,
147,,
201,,
116,,
109,,
167,,
119,,
130,,
144,,
135,,
189,,
189,,
144,,
129,,
231,,
146,,
124,,
152,,
125,,
138,,
145,,
128,,
128,,
179,,
111,,
128,,
177,,
143,,
100,,
180,,
104,,
136,,
173,,
173,,
119,,
145,,
202,,
133,,
148,,
124,,
166,,
135,,
130,,
163,,
163,,
112,,
207,,
340,,
210,,
128,,
247,,
135,,
133,,
210,,
