data,age,gender
134,23,0
176,,
122,,
180,,
177,,
134,,
307,,
181,,
181,,
194,,
169,,
338,,
183,,
166,,
246,,
149,,
136,,
204,,
196,,
196,,
122,,
176,,
141,,
118,,
153,,
138,,
174,,
238,,
188,,
164,,
164,,
165,,
104,,
169,,
232,,
132,,
128,,
204,,
153,,
152,,
136,,
136,,
133,,
130,,
132,,
220,,
142,,
134,,
209,,
128,,
135,,
131,,
131,,
166,,
113,,
134,,
137,,
132,,
139,,
182,,
169,,
136,,
128,,
128,,
130,,
140,,
142,,
151,,
141,,
129,,
134,,
123,,
155,,
147,,
147,,
153,,
143,,
145,,
149,,
122,,
138,,
169,,
135,,
189,,
145,,
145,,
162,,
169,,
134,,
130,,
193,,
126,,
132,,
143,,
152,,
144,,
144,,
117,,
226,,
132,,
110,,
163,,
216,,
125,,
152,,
219,,
145,,
145,,
138,,
202,,
132,,
119,,
230,,
117,,
151,,
187,,
144,,
139,,
139,,
178,,
149,,
152,,
237,,
148,,
147,,
223,,
144,,
122,,
179,,
179,,
122,,
148,,
185,,
148,,
147,,
142,,
193,,
129,,
256,,
166,,
166,,
161,,
174,,
213,,
187,,
159,,
209,,
152,,
182,,
252,,
161,,
161,,
152,,
230,,
138,,
172,,
209,,
156,,
132,,
159,,
130,,
140,,
140,,
176,,
138,,
142,,
168,,
134,,
122,,
188,,
130,,
115,,
219,,
219,,
144,,
128,,
209,,
153,,
120,,
195,,
111,,
151,,
175,,
126,,
126,,
157,,
179,,
135,,
124,,
185,,
146,,
156,,
226,,
163,,
167,,
167,,
232,,
157,,
142,,
181,,
118,,
140,,
216,,
128,,
160,,
190,,
190,,
125,,
222,,
194,,
130,,
121,,
154,,
113,,
121,,
171,,
170,,
170,,
135,,
196,,
183,,
160,,
133,,
233,,
178,,
136,,
137,,
152,,
152,,
124,,
137,,
156,,
158,,
171,,
113,,
211,,
140,,
156,,
178,,
178,,
203,,
144,,
202,,
213,,
171,,
157,,
237,,
153,,
157,,
186,,
186,,
179,,
164,,
177,,
138,,
164,,
165,,
158,,
175,,
191,,
157,,
157,,
200,,
298,,
222,,
149,,
186,,
164,,
133,,
189,,
200,,
175,,
175,,
123,,
127,,
193,,
156,,
144,,
224,,
160,,
116,,
189,,
123,,
123,,
147,,
148,,
151,,
142,,
149,,
153,,
175,,
114,,
227,,
171,,
171,,
164,,
140,,
178,,
147,,
174,,
222,,
140,,
142,,
132,,
164,,
164,,
129,,
142,,
146,,
131,,
282,,
241,,
200,,
250,,
226,,
209,,
209,,
211,,
184,,
209,,
209,,
239,,
217,,
187,,
209,,
171,,
248,,
248,,
292,,
185,,
183,,
277,,
201,,
169,,
213,,
211,,
178,,
207,,
207,,
161,,
168,,
194,,
140,,
155,,
209,,
154,,
130,,
167,,
144,,
144,,
237,,
214,,
182,,
206,,
257,,
184,,
180,,
244,,
268,,
282,,
282,,
229,,
233,,
271,,
117,,
167,,
144,,
165,,
166,,
228,,
190,,
190,,
119,,
176,,
161,,
170,,
155,,
221,,
143,,
165,,
140,,
153,,
153,,
175,,
159,,
241,,
137,,
99,,
167,,
206,,
143,,
160,,
231,,
231,,
172,,
126,,
189,,
223,,
373,,
213,,
188,,
340,,
364,,
323,,
299,,
296,,
279,,
256,,
248,,
248,,
325,,
277,,
241,,
280,,
202,,
179,,
193,,
183,,
137,,
166,,
166,,
219,,
147,,
132,,
131,,
172,,
109,,
139,,
214,,
146,,
139,,
139,,
130,,
145,,
160,,
125,,
203,,
120,,
115,,
189,,
160,,
147,,
147,,
158,,
144,,
124,,
149,,
187,,
184,,
156,,
229,,
222,,
163,,
163,,
137,,
169,,
152,,
141,,
164,,
131,,
134,,
232,,
160,,
139,,
139,,
199,,
158,,
145,,
128,,
130,,
139,,
138,,
134,,
130,,
119,,
119,,
157,,
115,,
170,,
150,,
147,,
156,,
206,,
158,,
135,,
160,,
160,,
166,,
166,,
150,,
180,,
148,,
145,,
160,,
123,,
161,,
240,,
240,,
169,,
160,,
251,,
147,,
155,,
216,,
150,,
141,,
205,,
147,,
147,,
138,,
225,,
164,,
182,,
225,,
153,,
155,,
197,,
113,,
141,,
141,,
193,,
160,,
149,,
230,,
173,,
145,,
229,,
153,,
151,,
187,,
187,,
157,,
140,,
168,,
141,,
116,,
136,,
147,,
154,,
164,,
127,,
127,,
163,,
141,,
118,,
141,,
166,,
140,,
151,,
229,,
126,,
153,,
153,,
141,,
215,,
138,,
182,,
191,,
153,,
150,,
146,,
153,,
173,,
173,,
154,,
188,,
145,,
184,,
115,,
154,,
193,,
128,,
121,,
166,,
166,,
200,,
143,,
129,,
181,,
169,,
151,,
208,,
140,,
151,,
152,,
152,,
184,,
136,,
133,,
192,,
133,,
155,,
160,,
139,,
140,,
231,,
231,,
152,,
166,,
230,,
110,,
139,,
163,,
161,,
141,,
167,,
169,,
169,,
160,,
146,,
174,,
142,,
126,,
143,,
139,,
167,,
250,,
209,,
209,,
189,,
223,,
158,,
180,,
254,,
179,,
214,,
201,,
173,,
158,,
158,,
214,,
167,,
125,,
175,,
146,,
123,,
221,,
158,,
157,,
213,,
213,,
190,,
161,,
204,,
109,,
128,,
213,,
190,,
146,,
194,,
150,,
150,,
133,,
150,,
136,,
163,,
169,,
225,,
140,,
136,,
161,,
155,,
155,,
128,,
128,,
150,,
158,,
185,,
142,,
154,,
165,,
139,,
112,,
112,,
224,,
110,,
121,,
137,,
132,,
132,,
135,,
198,,
136,,
137,,
137,,
134,,
200,,
145,,
208,,
199,,
168,,
165,,
159,,
230,,
196,,
196,,
148,,
193,,
147,,
172,,
186,,
172,,
189,,
192,,
165,,
133,,
133,,
133,,
169,,
138,,
154,,
228,,
163,,
151,,
210,,
130,,
139,,
139,,
113,,
145,,
111,,
136,,
176,,
115,,
156,,
145,,
133,,
169,,
169,,
233,,
132,,
125,,
159,,
156,,
138,,
140,,
188,,
178,,
156,,
156,,
251,,
152,,
138,,
153,,
186,,
134,,
125,,
179,,
135,,
166,,
166,,
164,,
133,,
145,,
190,,
125,,
198,,
179,,
142,,
144,,
179,,
179,,
143,,
144,,
256,,
125,,
159,,
180,,
135,,
141,,
176,,
185,,
185,,
159,,
174,,
149,,
110,,
176,,
121,,
163,,
216,,
152,,
187,,
187,,
209,,
159,,
140,,
187,,
186,,
159,,
145,,
191,,
143,,
128,,
128,,
164,,
189,,
155,,
115,,
168,,
160,,
119,,
199,,
136,,
168,,
168,,
228,,
143,,
141,,
206,,
145,,
166,,
196,,
167,,
186,,
220,,
220,,
157,,
262,,
230,,
209,,
226,,
226,,
166,,
161,,
264,,
