data,age,gender
74,20,0
74,,
77,,
78,,
74,,
76,,
77,,
76,,
72,,
73,,
75,,
82,,
82,,
78,,
78,,
78,,
78,,
77,,
77,,
79,,
76,,
77,,
82,,
82,,
80,,
77,,
78,,
77,,
78,,
78,,
79,,
79,,
80,,
82,,
82,,
80,,
80,,
80,,
80,,
76,,
76,,
80,,
80,,
80,,
79,,
79,,
79,,
81,,
80,,
78,,
79,,
77,,
78,,
77,,
78,,
81,,
81,,
80,,
78,,
79,,
76,,
76,,
76,,
76,,
78,,
75,,
79,,
79,,
78,,
78,,
78,,
79,,
76,,
77,,
80,,
79,,
77,,
79,,
79,,
77,,
76,,
78,,
78,,
76,,
79,,
78,,
79,,
78,,
81,,
81,,
79,,
79,,
80,,
78,,
79,,
78,,
78,,
78,,
77,,
78,,
78,,
77,,
79,,
80,,
75,,
78,,
75,,
77,,
80,,
81,,
79,,
79,,
80,,
77,,
80,,
78,,
74,,
76,,
76,,
80,,
79,,
78,,
78,,
80,,
77,,
81,,
77,,
74,,
77,,
78,,
83,,
78,,
77,,
77,,
78,,
77,,
82,,
76,,
77,,
78,,
77,,
79,,
78,,
78,,
78,,
78,,
74,,
77,,
76,,
76,,
76,,
75,,
80,,
76,,
80,,
80,,
77,,
80,,
79,,
75,,
77,,
76,,
80,,
78,,
78,,
79,,
79,,
76,,
77,,
81,,
78,,
76,,
77,,
75,,
79,,
77,,
79,,
79,,
78,,
78,,
79,,
78,,
76,,
77,,
78,,
80,,
78,,
81,,
81,,
75,,
78,,
78,,
76,,
75,,
75,,
77,,
81,,
73,,
77,,
77,,
78,,
75,,
81,,
73,,
76,,
77,,
75,,
80,,
76,,
80,,
80,,
76,,
78,,
81,,
76,,
75,,
78,,
75,,
79,,
77,,
78,,
78,,
76,,
75,,
81,,
78,,
75,,
76,,
76,,
78,,
77,,
80,,
80,,
79,,
79,,
78,,
76,,
76,,
78,,
75,,
81,,
77,,
80,,
80,,
77,,
78,,
78,,
77,,
77,,
77,,
76,,
79,,
76,,
77,,
77,,
78,,
80,,
78,,
76,,
78,,
77,,
77,,
80,,
77,,
78,,
78,,
80,,
76,,
77,,
76,,
78,,
75,,
78,,
78,,
79,,
79,,
79,,
77,,
77,,
77,,
76,,
77,,
75,,
77,,
84,,
74,,
78,,
78,,
77,,
77,,
78,,
72,,
70,,
78,,
81,,
85,,
82,,
81,,
81,,
81,,
80,,
80,,
78,,
76,,
75,,
78,,
81,,
77,,
77,,
77,,
81,,
79,,
80,,
77,,
77,,
76,,
77,,
78,,
75,,
77,,
77,,
78,,
77,,
82,,
78,,
77,,
75,,
76,,
79,,
77,,
81,,
81,,
80,,
77,,
79,,
76,,
78,,
