data,age,gender
74,20,0
80,,
78,,
78,,
78,,
77,,
77,,
78,,
76,,
80,,
76,,
78,,
77,,
78,,
79,,
79,,
75,,
80,,
78,,
77,,
77,,
78,,
76,,
78,,
75,,
79,,
79,,
78,,
76,,
76,,
75,,
76,,
77,,
73,,
78,,
77,,
79,,
79,,
77,,
77,,
77,,
75,,
76,,
76,,
76,,
80,,
74,,
78,,
78,,
78,,
78,,
77,,
74,,
76,,
77,,
76,,
76,,
75,,
79,,
79,,
80,,
78,,
79,,
76,,
76,,
77,,
76,,
78,,
77,,
80,,
80,,
78,,
75,,
77,,
75,,
77,,
77,,
77,,
79,,
75,,
81,,
81,,
78,,
76,,
76,,
76,,
76,,
75,,
76,,
76,,
77,,
78,,
78,,
78,,
77,,
78,,
77,,
77,,
75,,
77,,
79,,
76,,
77,,
77,,
79,,
78,,
77,,
75,,
76,,
75,,
78,,
77,,
76,,
78,,
78,,
77,,
80,,
78,,
77,,
76,,
75,,
76,,
81,,
75,,
80,,
80,,
77,,
76,,
78,,
76,,
78,,
75,,
77,,
77,,
76,,
76,,
76,,
76,,
76,,
76,,
76,,
77,,
77,,
74,,
80,,
77,,
80,,
80,,
77,,
77,,
78,,
73,,
78,,
77,,
76,,
76,,
74,,
79,,
79,,
81,,
78,,
76,,
76,,
76,,
76,,
77,,
78,,
77,,
78,,
78,,
79,,
79,,
76,,
76,,
78,,
76,,
76,,
77,,
77,,
77,,
77,,
82,,
80,,
79,,
75,,
77,,
78,,
77,,
76,,
76,,
79,,
79,,
77,,
77,,
77,,
78,,
76,,
74,,
74,,
77,,
77,,
78,,
78,,
75,,
77,,
77,,
76,,
76,,
78,,
77,,
75,,
77,,
78,,
78,,
78,,
76,,
77,,
75,,
78,,
77,,
75,,
78,,
76,,
78,,
78,,
77,,
76,,
77,,
76,,
77,,
78,,
77,,
77,,
78,,
81,,
81,,
78,,
77,,
75,,
78,,
76,,
76,,
74,,
78,,
78,,
79,,
79,,
80,,
75,,
78,,
78,,
79,,
77,,
75,,
78,,
79,,
77,,
77,,
76,,
79,,
78,,
77,,
78,,
76,,
77,,
78,,
77,,
79,,
79,,
78,,
78,,
77,,
76,,
78,,
77,,
76,,
76,,
75,,
78,,
78,,
77,,
75,,
77,,
75,,
78,,
75,,
77,,
77,,
77,,
77,,
77,,
77,,
77,,
77,,
77,,
74,,
77,,
76,,
77,,
75,,
79,,
79,,
76,,
80,,
78,,
77,,
76,,
76,,
77,,
80,,
77,,
77,,
77,,
77,,
77,,
78,,
77,,
77,,
77,,
76,,
76,,
76,,
81,,
81,,
79,,
77,,
77,,
76,,
78,,
77,,
77,,
78,,
77,,
80,,
80,,
77,,
78,,
78,,
74,,
75,,
78,,
77,,
77,,
77,,
