data,age,gender
183,21,0
183,,
148,,
197,,
173,,
189,,
150,,
152,,
156,,
179,,
140,,
157,,
157,,
137,,
169,,
169,,
177,,
169,,
176,,
208,,
176,,
218,,
178,,
178,,
147,,
137,,
208,,
182,,
171,,
142,,
220,,
192,,
168,,
185,,
185,,
194,,
191,,
173,,
191,,
201,,
163,,
157,,
155,,
151,,
176,,
176,,
149,,
178,,
189,,
195,,
173,,
187,,
186,,
195,,
189,,
265,,
265,,
173,,
172,,
161,,
277,,
173,,
183,,
232,,
293,,
189,,
187,,
187,,
218,,
214,,
159,,
149,,
150,,
192,,
167,,
166,,
209,,
169,,
169,,
175,,
353,,
513,,
962,,
962,,
961,,
715,,
276,,
215,,
434,,
434,,
495,,
481,,
553,,
561,,
607,,
640,,
613,,
482,,
467,,
407,,
407,,
391,,
352,,
355,,
332,,
292,,
241,,
214,,
189,,
213,,
167,,
167,,
171,,
158,,
178,,
195,,
164,,
214,,
219,,
170,,
161,,
181,,
181,,
194,,
177,,
163,,
186,,
219,,
146,,
181,,
142,,
194,,
161,,
161,,
169,,
153,,
182,,
185,,
182,,
185,,
197,,
147,,
125,,
155,,
155,,
236,,
334,,
514,,
624,,
633,,
447,,
270,,
250,,
320,,
491,,
491,,
593,,
591,,
557,,
482,,
421,,
314,,
332,,
271,,
246,,
212,,
212,,
193,,
175,,
168,,
175,,
153,,
172,,
158,,
163,,
128,,
149,,
149,,
237,,
148,,
162,,
179,,
201,,
178,,
179,,
165,,
166,,
203,,
203,,
155,,
175,,
139,,
158,,
135,,
143,,
199,,
153,,
145,,
164,,
164,,
209,,
187,,
169,,
134,,
202,,
145,,
184,,
160,,
221,,
132,,
132,,
157,,
172,,
254,,
194,,
211,,
200,,
230,,
177,,
178,,
179,,
179,,
220,,
131,,
127,,
160,,
172,,
151,,
188,,
182,,
301,,
280,,
280,,
204,,
165,,
269,,
443,,
494,,
591,,
442,,
406,,
359,,
375,,
375,,
272,,
224,,
196,,
238,,
166,,
162,,
175,,
160,,
189,,
174,,
174,,
190,,
174,,
152,,
183,,
200,,
274,,
166,,
143,,
152,,
186,,
186,,
180,,
149,,
200,,
171,,
175,,
169,,
240,,
154,,
187,,
164,,
164,,
193,,
163,,
161,,
215,,
208,,
175,,
201,,
202,,
163,,
182,,
182,,
186,,
160,,
161,,
149,,
220,,
184,,
180,,
