data,age,gender
183,21,0
169,,
169,,
228,,
571,,
872,,
963,,
963,,
531,,
395,,
302,,
337,,
489,,
489,,
523,,
459,,
511,,
405,,
261,,
196,,
269,,
338,,
374,,
469,,
469,,
434,,
512,,
517,,
638,,
525,,
384,,
292,,
190,,
144,,
214,,
214,,
203,,
177,,
143,,
313,,
192,,
165,,
223,,
292,,
260,,
195,,
195,,
209,,
236,,
172,,
226,,
268,,
193,,
197,,
228,,
331,,
495,,
495,,
631,,
738,,
636,,
493,,
512,,
509,,
556,,
469,,
380,,
331,,
331,,
357,,
309,,
279,,
354,,
250,,
299,,
236,,
197,,
272,,
301,,
301,,
495,,
671,,
900,,
948,,
832,,
615,,
570,,
434,,
252,,
344,,
344,,
226,,
259,,
264,,
279,,
282,,
218,,
288,,
198,,
162,,
174,,
174,,
199,,
154,,
133,,
194,,
207,,
258,,
392,,
499,,
510,,
461,,
461,,
389,,
296,,
264,,
189,,
213,,
212,,
201,,
169,,
222,,
186,,
186,,
213,,
221,,
246,,
299,,
210,,
179,,
250,,
223,,
197,,
213,,
213,,
277,,
335,,
335,,
558,,
817,,
963,,
964,,
962,,
907,,
475,,
475,,
239,,
337,,
476,,
588,,
708,,
662,,
517,,
470,,
345,,
183,,
183,,
185,,
257,,
234,,
206,,
211,,
234,,
199,,
224,,
272,,
152,,
152,,
227,,
295,,
224,,
225,,
400,,
810,,
963,,
595,,
326,,
616,,
616,,
739,,
941,,
764,,
582,,
654,,
534,,
554,,
481,,
249,,
401,,
401,,
612,,
739,,
758,,
542,,
340,,
227,,
187,,
186,,
198,,
248,,
248,,
249,,
185,,
277,,
724,,
964,,
960,,
963,,
936,,
717,,
522,,
522,,
422,,
339,,
221,,
262,,
377,,
233,,
232,,
222,,
192,,
222,,
222,,
198,,
268,,
234,,
183,,
168,,
254,,
252,,
460,,
640,,
588,,
588,,
379,,
199,,
254,,
410,,
495,,
546,,
485,,
421,,
340,,
374,,
374,,
269,,
204,,
187,,
192,,
220,,
189,,
204,,
278,,
252,,
190,,
190,,
166,,
196,,
245,,
184,,
165,,
202,,
194,,
208,,
232,,
255,,
255,,
231,,
169,,
300,,
383,,
449,,
460,,
488,,
381,,
382,,
329,,
329,,
274,,
269,,
257,,
171,,
196,,
206,,
188,,
229,,
155,,
234,,
234,,
256,,
456,,
682,,
608,,
389,,
199,,
504,,
727,,
850,,
873,,
873,,
848,,
734,,
612,,
422,,
274,,
229,,
181,,
198,,
274,,
191,,
191,,
211,,
253,,
399,,
269,,
230,,
256,,
495,,
963,,
960,,
962,,
962,,
962,,
493,,
505,,
675,,
692,,
791,,
929,,
748,,
723,,
637,,
637,,
357,,
262,,
225,,
297,,
234,,
172,,
169,,
320,,
219,,
172,,
172,,
232,,
198,,
275,,
247,,
283,,
275,,
208,,
210,,
214,,
245,,
245,,
296,,
244,,
225,,
241,,
196,,
167,,
199,,
244,,
264,,
181,,
181,,
524,,
964,,
962,,
964,,
759,,
370,,
347,,
489,,
611,,
624,,
624,,
611,,
619,,
546,,
517,,
464,,
385,,
428,,
216,,
165,,
220,,
220,,
229,,
256,,
235,,
401,,
964,,
961,,
964,,
959,,
964,,
961,,
961,,
546,,
217,,
420,,
581,,
557,,
625,,
576,,
533,,
556,,
503,,
503,,
476,,
501,,
501,,
294,,
383,,
701,,
718,,
342,,
523,,
961,,
961,,
961,,
962,,
894,,
562,,
298,,
333,,
303,,
316,,
462,,
488,,
488,,
512,,
559,,
475,,
451,,
342,,
416,,
274,,
236,,
301,,
260,,
260,,
229,,
225,,
211,,
239,,
226,,
265,,
197,,
224,,
245,,
292,,
292,,
272,,
310,,
234,,
231,,
286,,
254,,
180,,
236,,
254,,
272,,
272,,
284,,
177,,
286,,
193,,
216,,
244,,
216,,
210,,
356,,
295,,
295,,
212,,
388,,
207,,
215,,
215,,
263,,
274,,
187,,
204,,
198,,
198,,
228,,
190,,
282,,
181,,
182,,
227,,
340,,
215,,
200,,
165,,
165,,
313,,
192,,
179,,
152,,
243,,
204,,
170,,
176,,
244,,
206,,
206,,
161,,
180,,
195,,
184,,
253,,
213,,
187,,
214,,
182,,
164,,
164,,
260,,
171,,
204,,
254,,
227,,
205,,
184,,
197,,
198,,
166,,
166,,
167,,
288,,
163,,
214,,
175,,
232,,
241,,
229,,
221,,
254,,
254,,
283,,
296,,
274,,
217,,
241,,
242,,
233,,
244,,
220,,
242,,
242,,
208,,
260,,
174,,
191,,
217,,
185,,
173,,
207,,
271,,
192,,
192,,
201,,
209,,
300,,
181,,
211,,
133,,
359,,
230,,
234,,
202,,
202,,
234,,
380,,
959,,
962,,
963,,
961,,
527,,
386,,
532,,
535,,
535,,
493,,
459,,
612,,
534,,
566,,
422,,
279,,
286,,
344,,
241,,
241,,
283,,
248,,
273,,
279,,
323,,
333,,
289,,
162,,
176,,
181,,
181,,
182,,
226,,
222,,
259,,
257,,
202,,
192,,
287,,
204,,
223,,
223,,
196,,
210,,
204,,
229,,
336,,
544,,
427,,
270,,
481,,
756,,
756,,
855,,
741,,
669,,
613,,
508,,
392,,
362,,
180,,
225,,
238,,
238,,
326,,
457,,
676,,
651,,
545,,
365,,
268,,
341,,
435,,
441,,
441,,
275,,
341,,
268,,
247,,
377,,
247,,
381,,
877,,
963,,
964,,
964,,
876,,
605,,
404,,
362,,
232,,
310,,
391,,
533,,
508,,
514,,
514,,
422,,
219,,
225,,
210,,
235,,
245,,
284,,
279,,
242,,
225,,
225,,
228,,
192,,
205,,
281,,
176,,
214,,
178,,
221,,
563,,
963,,
963,,
963,,
963,,
567,,
213,,
253,,
292,,
381,,
486,,
524,,
541,,
541,,
478,,
403,,
321,,
331,,
288,,
210,,
199,,
235,,
200,,
202,,
202,,
217,,
241,,
187,,
262,,
215,,
227,,
221,,
212,,
256,,
296,,
296,,
261,,
220,,
234,,
459,,
863,,
921,,
605,,
202,,
236,,
307,,
307,,
450,,
398,,
385,,
323,,
512,,
347,,
326,,
297,,
405,,
323,,
323,,
214,,
205,,
279,,
154,,
202,,
189,,
318,,
267,,
232,,
235,,
235,,
248,,
215,,
233,,
392,,
634,,
687,,
613,,
415,,
513,,
531,,
531,,
410,,
234,,
204,,
258,,
340,,
545,,
480,,
484,,
632,,
751,,
751,,
672,,
491,,
358,,
261,,
220,,
203,,
220,,
318,,
963,,
964,,
964,,
961,,
654,,
342,,
784,,
872,,
870,,
903,,
759,,
619,,
539,,
539,,
552,,
331,,
775,,
963,,
827,,
368,,
311,,
488,,
798,,
764,,
764,,
734,,
482,,
437,,
607,,
649,,
464,,
272,,
256,,
386,,
438,,
438,,
423,,
462,,
449,,
412,,
268,,
256,,
194,,
195,,
247,,
275,,
275,,
210,,
186,,
190,,
218,,
162,,
206,,
211,,
313,,
303,,
288,,
288,,
341,,
325,,
343,,
369,,
363,,
317,,
365,,
375,,
289,,
300,,
300,,
257,,
357,,
359,,
359,,
386,,
449,,
463,,
378,,
334,,
