data,age,gender
124,22,0
124,,
102,,
100,,
210,,
110,,
108,,
92,,
189,,
99,,
104,,
83,,
83,,
219,,
103,,
98,,
87,,
224,,
106,,
111,,
82,,
165,,
106,,
106,,
99,,
97,,
188,,
109,,
91,,
99,,
178,,
102,,
109,,
81,,
81,,
237,,
87,,
97,,
82,,
87,,
110,,
89,,
115,,
98,,
137,,
137,,
102,,
82,,
75,,
149,,
83,,
81,,
82,,
173,,
98,,
90,,
90,,
77,,
173,,
97,,
88,,
99,,
227,,
111,,
87,,
82,,
103,,
103,,
114,,
91,,
102,,
101,,
150,,
95,,
103,,
94,,
177,,
115,,
115,,
88,,
103,,
189,,
113,,
89,,
75,,
202,,
110,,
89,,
98,,
98,,
105,,
108,,
103,,
90,,
85,,
147,,
102,,
99,,
98,,
212,,
212,,
93,,
93,,
97,,
218,,
109,,
85,,
88,,
178,,
94,,
101,,
101,,
83,,
246,,
87,,
97,,
103,,
107,,
133,,
111,,
87,,
109,,
109,,
133,,
114,,
93,,
86,,
153,,
80,,
89,,
98,,
162,,
96,,
96,,
90,,
118,,
145,,
120,,
91,,
110,,
165,,
113,,
83,,
99,,
99,,
194,,
128,,
82,,
96,,
114,,
109,,
89,,
92,,
117,,
105,,
105,,
89,,
85,,
80,,
128,,
89,,
117,,
64,,
142,,
83,,
92,,
92,,
84,,
151,,
81,,
99,,
86,,
172,,
121,,
71,,
103,,
209,,
209,,
100,,
87,,
88,,
221,,
91,,
84,,
79,,
143,,
105,,
92,,
92,,
91,,
228,,
121,,
89,,
101,,
218,,
94,,
113,,
77,,
233,,
233,,
106,,
94,,
84,,
209,,
95,,
74,,
70,,
201,,
90,,
85,,
85,,
84,,
123,,
88,,
92,,
68,,
61,,
88,,
82,,
68,,
76,,
76,,
122,,
75,,
74,,
74,,
122,,
88,,
74,,
87,,
121,,
79,,
79,,
75,,
60,,
117,,
75,,
79,,
89,,
113,,
95,,
88,,
88,,
88,,
107,,
85,,
79,,
80,,
104,,
93,,
74,,
79,,
112,,
96,,
96,,
79,,
65,,
112,,
92,,
76,,
138,,
84,,
81,,
73,,
228,,
228,,
120,,
89,,
70,,
192,,
76,,
81,,
