data,age,gender
124,22,0
85,,
92,,
92,,
149,,
107,,
89,,
71,,
210,,
101,,
92,,
78,,
88,,
140,,
140,,
95,,
66,,
79,,
214,,
90,,
88,,
91,,
83,,
119,,
95,,
95,,
83,,
84,,
165,,
104,,
88,,
88,,
77,,
95,,
102,,
80,,
80,,
88,,
158,,
100,,
82,,
85,,
143,,
99,,
104,,
74,,
143,,
143,,
138,,
93,,
99,,
95,,
140,,
99,,
86,,
93,,
172,,
89,,
89,,
86,,
99,,
254,,
321,,
430,,
266,,
214,,
264,,
183,,
211,,
211,,
210,,
244,,
211,,
250,,
209,,
229,,
210,,
236,,
151,,
275,,
275,,
261,,
155,,
159,,
332,,
216,,
224,,
233,,
298,,
170,,
147,,
147,,
151,,
227,,
143,,
140,,
135,,
231,,
123,,
132,,
96,,
232,,
232,,
110,,
111,,
106,,
255,,
339,,
213,,
177,,
311,,
220,,
327,,
327,,
206,,
290,,
232,,
138,,
121,,
290,,
116,,
119,,
104,,
223,,
223,,
167,,
199,,
126,,
270,,
195,,
121,,
145,,
243,,
168,,
134,,
134,,
112,,
219,,
137,,
199,,
136,,
182,,
162,,
117,,
190,,
257,,
257,,
269,,
220,,
211,,
245,,
253,,
259,,
164,,
224,,
176,,
171,,
171,,
160,,
258,,
145,,
119,,
147,,
112,,
174,,
185,,
139,,
154,,
154,,
444,,
234,,
226,,
245,,
253,,
147,,
128,,
265,,
279,,
172,,
172,,
178,,
161,,
169,,
168,,
136,,
115,,
130,,
171,,
133,,
149,,
149,,
168,,
143,,
146,,
167,,
247,,
132,,
151,,
150,,
246,,
125,,
125,,
128,,
128,,
151,,
161,,
119,,
108,,
111,,
156,,
156,,
138,,
138,,
102,,
138,,
175,,
139,,
147,,
188,,
123,,
126,,
146,,
177,,
177,,
124,,
134,,
134,,
194,,
147,,
114,,
120,,
215,,
155,,
134,,
134,,
117,,
142,,
149,,
120,,
108,,
223,,
187,,
148,,
146,,
144,,
144,,
171,,
184,,
267,,
143,,
115,,
146,,
249,,
137,,
