data,age,gender
109,50,1
109,,
105,,
135,,
113,,
106,,
288,,
124,,
104,,
114,,
234,,
123,,
123,,
103,,
115,,
188,,
114,,
108,,
113,,
167,,
112,,
244,,
201,,
201,,
211,,
196,,
189,,
484,,
179,,
444,,
202,,
260,,
220,,
186,,
186,,
186,,
218,,
160,,
141,,
241,,
138,,
142,,
129,,
163,,
136,,
136,,
151,,
214,,
138,,
122,,
214,,
142,,
130,,
139,,
244,,
137,,
137,,
135,,
126,,
172,,
159,,
130,,
292,,
143,,
147,,
135,,
159,,
159,,
143,,
139,,
252,,
132,,
134,,
140,,
166,,
135,,
133,,
275,,
275,,
131,,
113,,
134,,
196,,
130,,
132,,
155,,
145,,
122,,
131,,
131,,
229,,
146,,
134,,
128,,
172,,
149,,
134,,
237,,
124,,
136,,
136,,
166,,
165,,
129,,
145,,
349,,
161,,
136,,
155,,
251,,
140,,
140,,
148,,
133,,
221,,
130,,
138,,
141,,
192,,
140,,
141,,
342,,
342,,
145,,
127,,
130,,
234,,
143,,
137,,
140,,
188,,
128,,
128,,
128,,
134,,
151,,
142,,
127,,
262,,
151,,
120,,
148,,
159,,
144,,
144,,
134,,
260,,
157,,
122,,
135,,
194,,
139,,
128,,
157,,
166,,
166,,
152,,
143,,
302,,
136,,
140,,
129,,
238,,
145,,
145,,
144,,
144,,
184,,
136,,
129,,
161,,
144,,
137,,
134,,
273,,
149,,
122,,
122,,
120,,
188,,
125,,
139,,
169,,
129,,
132,,
138,,
224,,
148,,
148,,
127,,
329,,
162,,
128,,
145,,
216,,
123,,
134,,
145,,
169,,
169,,
131,,
127,,
230,,
152,,
127,,
120,,
187,,
137,,
243,,
526,,
526,,
439,,
243,,
312,,
283,,
234,,
194,,
