data,age,gender
109,50,1
215,,
162,,
139,,
139,,
296,,
146,,
122,,
189,,
173,,
131,,
149,,
335,,
176,,
131,,
131,,
137,,
204,,
159,,
226,,
297,,
184,,
213,,
154,,
264,,
206,,
206,,
214,,
180,,
195,,
186,,
161,,
219,,
121,,
122,,
165,,
144,,
144,,
107,,
141,,
227,,
130,,
122,,
130,,
173,,
122,,
128,,
341,,
341,,
138,,
116,,
116,,
189,,
145,,
97,,
280,,
125,,
107,,
131,,
131,,
176,,
126,,
116,,
281,,
113,,
106,,
130,,
188,,
128,,
135,,
135,,
237,,
118,,
122,,
124,,
204,,
117,,
130,,
122,,
277,,
302,,
302,,
206,,
316,,
183,,
141,,
125,,
194,,
143,,
103,,
298,,
143,,
143,,
118,,
135,,
199,,
104,,
146,,
144,,
186,,
272,,
170,,
370,,
370,,
128,,
185,,
371,,
406,,
202,,
147,,
203,,
150,,
110,,
101,,
101,,
203,,
96,,
105,,
101,,
143,,
98,,
97,,
223,,
118,,
86,,
86,,
91,,
168,,
101,,
108,,
294,,
110,,
93,,
102,,
178,,
93,,
93,,
74,,
227,,
109,,
102,,
92,,
195,,
118,,
90,,
101,,
138,,
138,,
132,,
134,,
269,,
125,,
111,,
103,,
189,,
107,,
106,,
138,,
138,,
110,,
97,,
81,,
194,,
91,,
85,,
89,,
135,,
135,,
211,,
211,,
305,,
138,,
97,,
90,,
228,,
99,,
89,,
98,,
153,,
86,,
86,,
78,,
99,,
119,,
93,,
75,,
205,,
483,,
317,,
199,,
208,,
208,,
178,,
123,,
259,,
123,,
123,,
100,,
195,,
106,,
119,,
145,,
145,,
139,,
125,,
132,,
225,,
131,,
115,,
117,,
189,,
97,,
103,,
103,,
179,,
133,,
98,,
120,,
249,,
130,,
138,,
127,,
212,,
