data,age,gender
36,10,0
36,,
36,,
34,,
35,,
36,,
37,,
34,,
35,,
36,,
35,,
38,,
38,,
38,,
37,,
36,,
37,,
35,,
36,,
37,,
35,,
37,,
38,,
38,,
34,,
36,,
35,,
36,,
35,,
36,,
35,,
36,,
36,,
35,,
35,,
35,,
38,,
35,,
36,,
34,,
36,,
36,,
35,,
34,,
38,,
38,,
40,,
37,,
37,,
38,,
37,,
35,,
37,,
35,,
37,,
37,,
37,,
36,,
37,,
36,,
35,,
36,,
36,,
35,,
35,,
35,,
38,,
38,,
35,,
35,,
37,,
37,,
35,,
37,,
36,,
36,,
37,,
37,,
37,,
38,,
36,,
37,,
36,,
36,,
35,,
36,,
35,,
35,,
37,,
37,,
35,,
34,,
34,,
38,,
35,,
36,,
38,,
35,,
36,,
37,,
37,,
36,,
38,,
37,,
37,,
36,,
36,,
37,,
38,,
36,,
38,,
38,,
35,,
36,,
35,,
35,,
34,,
34,,
36,,
36,,
36,,
37,,
37,,
38,,
38,,
37,,
37,,
37,,
37,,
35,,
38,,
37,,
37,,
37,,
35,,
37,,
36,,
36,,
35,,
36,,
36,,
35,,
37,,
35,,
35,,
35,,
36,,
34,,
35,,
35,,
36,,
36,,
35,,
35,,
36,,
36,,
36,,
33,,
33,,
36,,
34,,
36,,
36,,
35,,
37,,
35,,
35,,
34,,
36,,
35,,
36,,
33,,
34,,
35,,
36,,
36,,
37,,
37,,
37,,
35,,
36,,
36,,
38,,
36,,
35,,
37,,
35,,
35,,
35,,
38,,
35,,
35,,
34,,
36,,
37,,
35,,
34,,
36,,
36,,
36,,
37,,
36,,
35,,
36,,
36,,
36,,
34,,
35,,
35,,
34,,
34,,
35,,
35,,
35,,
34,,
34,,
34,,
35,,
36,,
35,,
34,,
34,,
36,,
36,,
35,,
36,,
36,,
35,,
34,,
35,,
35,,
37,,
37,,
36,,
37,,
36,,
36,,
37,,
36,,
36,,
37,,
36,,
34,,
34,,
35,,
36,,
34,,
35,,
35,,
36,,
36,,
36,,
36,,
37,,
37,,
36,,
37,,
37,,
37,,
37,,
37,,
35,,
37,,
35,,
35,,
35,,
35,,
37,,
35,,
35,,
36,,
34,,
35,,
36,,
35,,
37,,
37,,
40,,
38,,
37,,
36,,
37,,
35,,
36,,
36,,
35,,
37,,
37,,
34,,
35,,
38,,
36,,
36,,
36,,
36,,
36,,
35,,
37,,
37,,
37,,
37,,
37,,
35,,
37,,
36,,
36,,
35,,
35,,
37,,
37,,
34,,
36,,
36,,
36,,
34,,
36,,
35,,
34,,
36,,
37,,
37,,
33,,
35,,
35,,
35,,
36,,
34,,
36,,
36,,
35,,
36,,
36,,
37,,
36,,
36,,
37,,
37,,
35,,
35,,
38,,
35,,
36,,
36,,
