data,age,gender
36,10,0
34,,
36,,
37,,
34,,
35,,
35,,
34,,
34,,
35,,
35,,
37,,
38,,
36,,
35,,
36,,
36,,
36,,
35,,
34,,
36,,
36,,
37,,
34,,
36,,
35,,
35,,
35,,
35,,
36,,
34,,
37,,
37,,
37,,
38,,
37,,
36,,
36,,
35,,
36,,
36,,
36,,
36,,
36,,
36,,
37,,
34,,
35,,
36,,
37,,
35,,
34,,
36,,
36,,
36,,
38,,
36,,
36,,
36,,
37,,
35,,
35,,
36,,
37,,
35,,
35,,
34,,
36,,
36,,
35,,
35,,
36,,
36,,
35,,
35,,
37,,
37,,
36,,
37,,
36,,
37,,
35,,
34,,
36,,
36,,
35,,
34,,
34,,
37,,
36,,
34,,
36,,
36,,
36,,
35,,
36,,
37,,
35,,
35,,
36,,
37,,
37,,
35,,
36,,
35,,
35,,
37,,
36,,
35,,
35,,
37,,
35,,
35,,
34,,
35,,
35,,
35,,
34,,
37,,
37,,
37,,
38,,
37,,
36,,
36,,
37,,
36,,
36,,
35,,
36,,
35,,
35,,
34,,
34,,
35,,
33,,
35,,
35,,
35,,
35,,
35,,
38,,
38,,
40,,
38,,
36,,
36,,
36,,
36,,
34,,
37,,
36,,
36,,
36,,
36,,
34,,
35,,
36,,
36,,
37,,
35,,
36,,
34,,
38,,
38,,
36,,
37,,
37,,
38,,
36,,
35,,
37,,
36,,
35,,
35,,
35,,
35,,
35,,
35,,
35,,
35,,
36,,
36,,
961,,
961,,
962,,
962,,
962,,
963,,
963,,
962,,
724,,
434,,
264,,
167,,
113,,
81,,
81,,
62,,
52,,
45,,
38,,
37,,
36,,
36,,
36,,
37,,
35,,
35,,
34,,
37,,
36,,
35,,
38,,
34,,
36,,
36,,
36,,
36,,
36,,
35,,
33,,
33,,
35,,
36,,
35,,
35,,
36,,
35,,
34,,
34,,
35,,
37,,
36,,
34,,
37,,
35,,
35,,
35,,
35,,
36,,
36,,
37,,
38,,
37,,
37,,
37,,
37,,
35,,
34,,
36,,
37,,
37,,
36,,
35,,
37,,
34,,
35,,
36,,
35,,
35,,
35,,
37,,
37,,
36,,
37,,
39,,
36,,
36,,
36,,
36,,
35,,
35,,
35,,
35,,
36,,
34,,
35,,
35,,
35,,
35,,
34,,
34,,
36,,
38,,
38,,
36,,
38,,
37,,
36,,
36,,
34,,
36,,
36,,
37,,
34,,
34,,
35,,
34,,
36,,
37,,
35,,
35,,
37,,
36,,
34,,
36,,
36,,
37,,
35,,
37,,
35,,
36,,
35,,
35,,
34,,
35,,
35,,
35,,
34,,
36,,
34,,
35,,
35,,
35,,
35,,
35,,
36,,
36,,
36,,
37,,
35,,
35,,
35,,
37,,
38,,
35,,
36,,
36,,
34,,
34,,
36,,
35,,
35,,
35,,
35,,
36,,
35,,
35,,
40,,
