data,age,gender
178,17,1
178,,
194,,
270,,
158,,
184,,
253,,
197,,
249,,
281,,
174,,
217,,
217,,
283,,
188,,
248,,
270,,
265,,
194,,
246,,
207,,
217,,
277,,
277,,
247,,
191,,
295,,
247,,
245,,
316,,
240,,
215,,
236,,
193,,
193,,
204,,
221,,
276,,
260,,
191,,
222,,
278,,
210,,
206,,
315,,
315,,
252,,
228,,
247,,
152,,
146,,
385,,
226,,
170,,
313,,
217,,
217,,
179,,
336,,
194,,
238,,
249,,
237,,
260,,
295,,
233,,
213,,
213,,
293,,
309,,
225,,
322,,
238,,
191,,
291,,
207,,
223,,
338,,
338,,
217,,
225,,
296,,
216,,
332,,
345,,
385,,
392,,
487,,
364,,
364,,
396,,
393,,
300,,
287,,
301,,
279,,
224,,
256,,
329,,
292,,
292,,
265,,
196,,
283,,
372,,
249,,
246,,
308,,
229,,
286,,
335,,
335,,
201,,
216,,
310,,
248,,
298,,
345,,
247,,
269,,
278,,
301,,
301,,
270,,
239,,
294,,
292,,
277,,
247,,
263,,
287,,
328,,
295,,
295,,
282,,
266,,
269,,
268,,
285,,
256,,
263,,
312,,
276,,
217,,
217,,
313,,
229,,
194,,
286,,
237,,
278,,
304,,
256,,
304,,
254,,
254,,
268,,
264,,
292,,
303,,
227,,
378,,
232,,
225,,
262,,
222,,
222,,
321,,
311,,
227,,
224,,
268,,
244,,
281,,
291,,
262,,
208,,
208,,
244,,
275,,
214,,
221,,
292,,
234,,
153,,
332,,
228,,
239,,
239,,
240,,
265,,
227,,
263,,
246,,
293,,
253,,
286,,
219,,
221,,
221,,
299,,
257,,
192,,
297,,
207,,
330,,
235,,
248,,
214,,
278,,
278,,
236,,
232,,
226,,
243,,
249,,
262,,
240,,
235,,
260,,
260,,
260,,
254,,
208,,
246,,
248,,
379,,
257,,
239,,
294,,
240,,
255,,
255,,
354,,
235,,
222,,
229,,
298,,
307,,
227,,
256,,
240,,
201,,
201,,
232,,
249,,
230,,
233,,
262,,
265,,
399,,
194,,
322,,
239,,
239,,
257,,
207,,
240,,
306,,
237,,
196,,
301,,
260,,
259,,
288,,
288,,
273,,
237,,
244,,
222,,
219,,
224,,
292,,
220,,
215,,
228,,
228,,
266,,
251,,
203,,
244,,
234,,
309,,
285,,
347,,
229,,
330,,
330,,
277,,
260,,
282,,
216,,
204,,
219,,
256,,
285,,
305,,
204,,
204,,
216,,
211,,
355,,
272,,
204,,
192,,
277,,
230,,
302,,
247,,
247,,
237,,
264,,
276,,
248,,
237,,
205,,
263,,
220,,
169,,
291,,
291,,
222,,
207,,
309,,
226,,
279,,
222,,
303,,
207,,
234,,
311,,
311,,
227,,
216,,
303,,
290,,
232,,
236,,
234,,
254,,
205,,
257,,
257,,
229,,
300,,
316,,
247,,
220,,
325,,
273,,
243,,
250,,
259,,
259,,
269,,
244,,
282,,
270,,
358,,
263,,
213,,
276,,
263,,
229,,
229,,
210,,
204,,
255,,
289,,
307,,
274,,
224,,
251,,
268,,
320,,
320,,
228,,
220,,
300,,
233,,
279,,
324,,
251,,
192,,
283,,
277,,
277,,
189,,
228,,
305,,
230,,
199,,
301,,
224,,
322,,
257,,
285,,
285,,
230,,
234,,
260,,
270,,
184,,
227,,
210,,
