data,age,gender
178,17,1
209,,
285,,
249,,
249,,
234,,
220,,
256,,
280,,
304,,
321,,
211,,
189,,
265,,
230,,
230,,
229,,
231,,
291,,
229,,
285,,
255,,
205,,
174,,
209,,
229,,
229,,
169,,
227,,
234,,
228,,
261,,
283,,
250,,
215,,
224,,
200,,
200,,
249,,
160,,
245,,
244,,
198,,
274,,
194,,
197,,
209,,
253,,
253,,
239,,
243,,
275,,
198,,
239,,
280,,
230,,
239,,
267,,
277,,
277,,
218,,
236,,
229,,
184,,
237,,
248,,
155,,
216,,
212,,
191,,
191,,
258,,
224,,
275,,
225,,
214,,
341,,
241,,
200,,
224,,
262,,
262,,
196,,
171,,
384,,
251,,
286,,
280,,
208,,
202,,
248,,
196,,
196,,
262,,
225,,
251,,
266,,
192,,
325,,
260,,
182,,
213,,
217,,
217,,
230,,
250,,
266,,
223,,
225,,
284,,
271,,
261,,
280,,
248,,
248,,
193,,
272,,
227,,
269,,
186,,
216,,
269,,
185,,
300,,
217,,
217,,
256,,
293,,
290,,
231,,
267,,
206,,
224,,
323,,
212,,
255,,
255,,
310,,
273,,
241,,
238,,
199,,
184,,
302,,
170,,
191,,
248,,
248,,
251,,
248,,
269,,
244,,
235,,
248,,
242,,
234,,
219,,
215,,
215,,
284,,
256,,
238,,
224,,
288,,
189,,
280,,
320,,
230,,
260,,
260,,
216,,
196,,
219,,
285,,
251,,
253,,
205,,
245,,
256,,
192,,
192,,
237,,
245,,
242,,
185,,
361,,
218,,
219,,
233,,
216,,
232,,
232,,
254,,
265,,
226,,
163,,
265,,
207,,
185,,
247,,
203,,
215,,
215,,
239,,
263,,
200,,
253,,
244,,
204,,
244,,
323,,
227,,
210,,
210,,
263,,
190,,
200,,
226,,
247,,
225,,
220,,
188,,
189,,
180,,
180,,
249,,
176,,
192,,
202,,
199,,
241,,
229,,
258,,
228,,
234,,
234,,
240,,
228,,
201,,
218,,
210,,
196,,
217,,
253,,
190,,
201,,
201,,
203,,
200,,
225,,
202,,
231,,
182,,
193,,
300,,
250,,
144,,
144,,
174,,
218,,
199,,
233,,
211,,
212,,
208,,
218,,
225,,
221,,
221,,
282,,
232,,
216,,
326,,
244,,
222,,
198,,
191,,
196,,
209,,
209,,
205,,
182,,
213,,
204,,
199,,
214,,
221,,
233,,
281,,
246,,
246,,
180,,
228,,
251,,
230,,
180,,
214,,
220,,
230,,
204,,
287,,
287,,
202,,
192,,
165,,
209,,
217,,
195,,
235,,
185,,
184,,
290,,
290,,
238,,
209,,
211,,
238,,
177,,
196,,
266,,
166,,
238,,
278,,
278,,
177,,
219,,
218,,
201,,
196,,
210,,
210,,
173,,
214,,
261,,
261,,
208,,
216,,
293,,
207,,
239,,
254,,
186,,
215,,
208,,
261,,
261,,
247,,
261,,
236,,
178,,
218,,
253,,
202,,
184,,
259,,
202,,
202,,
218,,
202,,
235,,
190,,
203,,
286,,
224,,
204,,
265,,
220,,
220,,
174,,
276,,
200,,
229,,
184,,
238,,
218,,
222,,
299,,
261,,
261,,
229,,
256,,
240,,
222,,
203,,
255,,
266,,
208,,
185,,
193,,
193,,
209,,
215,,
240,,
190,,
216,,
319,,
191,,
181,,
178,,
222,,
222,,
232,,
231,,
306,,
220,,
238,,
266,,
227,,
210,,
249,,
