data,age,gender
76,33,1
76,,
74,,
180,,
159,,
138,,
80,,
102,,
297,,
159,,
89,,
88,,
88,,
131,,
122,,
112,,
79,,
109,,
158,,
144,,
73,,
116,,
263,,
263,,
216,,
75,,
78,,
123,,
116,,
103,,
87,,
101,,
324,,
144,,
144,,
144,,
140,,
95,,
259,,
183,,
80,,
79,,
103,,
171,,
180,,
180,,
64,,
68,,
76,,
129,,
115,,
64,,
70,,
89,,
125,,
133,,
133,,
80,,
82,,
109,,
121,,
141,,
84,,
73,,
182,,
101,,
100,,
100,,
75,,
72,,
345,,
135,,
101,,
69,,
105,,
196,,
173,,
59,,
59,,
78,,
384,,
160,,
81,,
68,,
381,,
136,,
101,,
114,,
288,,
288,,
200,,
74,,
76,,
269,,
129,,
107,,
72,,
132,,
185,,
198,,
198,,
88,,
74,,
104,,
161,,
127,,
67,,
62,,
75,,
131,,
96,,
96,,
79,,
68,,
370,,
120,,
93,,
62,,
92,,
258,,
180,,
75,,
75,,
64,,
100,,
258,,
184,,
81,,
61,,
91,,
141,,
150,,
90,,
90,,
82,,
407,,
128,,
87,,
64,,
85,,
132,,
157,,
76,,
95,,
95,,
297,,
174,,
85,,
71,,
128,,
107,,
121,,
104,,
122,,
328,,
328,,
185,,
85,,
61,,
85,,
242,,
170,,
87,,
55,,
64,,
286,,
286,,
172,,
82,,
66,,
66,,
320,,
171,,
93,,
61,,
63,,
358,,
358,,
118,,
90,,
67,,
125,,
214,,
221,,
86,,
90,,
128,,
152,,
152,,
186,,
113,,
119,,
147,,
123,,
114,,
87,,
130,,
293,,
232,,
232,,
94,,
83,,
118,,
166,,
183,,
76,,
77,,
107,,
137,,
149,,
149,,
83,,
87,,
117,,
110,,
113,,
65,,
80,,
92,,
121,,
118,,
118,,
69,,
76,,
128,,
169,,
187,,
74,,
66,,
114,,
205,,
209,,
209,,
79,,
77,,
119,,
212,,
201,,
74,,
66,,
121,,
214,,
211,,
211,,
76,,
69,,
113,,
256,,
196,,
67,,
70,,
112,,
171,,
173,,
173,,
70,,
62,,
107,,
163,,
184,,
66,,
66,,
107,,
171,,
149,,
149,,
69,,
66,,
83,,
132,,
122,,
70,,
68,,
102,,
107,,
105,,
105,,
72,,
57,,
204,,
105,,
111,,
75,,
70,,
268,,
184,,
74,,
74,,
66,,
101,,
174,,
165,,
76,,
69,,
260,,
98,,
110,,
81,,
81,,
115,,
194,,
196,,
78,,
78,,
103,,
137,,
165,,
76,,
76,,
76,,
93,,
149,,
125,,
61,,
77,,
93,,
