data,age,gender
159,45,1
159,,
212,,
210,,
117,,
156,,
112,,
135,,
123,,
92,,
201,,
117,,
117,,
117,,
92,,
152,,
107,,
90,,
221,,
117,,
100,,
108,,
159,,
159,,
253,,
118,,
423,,
520,,
147,,
117,,
113,,
100,,
136,,
65,,
65,,
74,,
111,,
121,,
85,,
86,,
71,,
167,,
93,,
85,,
82,,
82,,
141,,
78,,
80,,
94,,
93,,
224,,
116,,
140,,
110,,
136,,
136,,
123,,
118,,
128,,
126,,
140,,
75,,
130,,
102,,
105,,
82,,
82,,
100,,
73,,
71,,
190,,
92,,
92,,
120,,
101,,
167,,
93,,
93,,
95,,
86,,
89,,
147,,
73,,
82,,
102,,
72,,
122,,
92,,
92,,
84,,
86,,
76,,
95,,
71,,
78,,
61,,
216,,
89,,
116,,
116,,
70,,
101,,
147,,
127,,
119,,
162,,
125,,
150,,
161,,
114,,
114,,
111,,
174,,
118,,
254,,
247,,
116,,
100,,
110,,
80,,
85,,
85,,
177,,
79,,
76,,
77,,
104,,
123,,
205,,
171,,
102,,
173,,
173,,
74,,
78,,
75,,
92,,
120,,
100,,
64,,
69,,
162,,
71,,
71,,
155,,
118,,
108,,
150,,
79,,
95,,
94,,
170,,
148,,
100,,
100,,
91,,
64,,
107,,
131,,
168,,
93,,
123,,
78,,
80,,
87,,
87,,
190,,
96,,
84,,
144,,
93,,
103,,
119,,
142,,
73,,
188,,
188,,
133,,
99,,
107,,
110,,
130,,
83,,
116,,
83,,
163,,
88,,
88,,
80,,
69,,
198,,
79,,
80,,
76,,
92,,
114,,
97,,
79,,
79,,
95,,
150,,
103,,
67,,
114,,
146,,
85,,
86,,
83,,
80,,
80,,
104,,
67,,
78,,
76,,
137,,
74,,
65,,
85,,
189,,
78,,
78,,
93,,
61,,
78,,
92,,
87,,
76,,
89,,
141,,
104,,
97,,
97,,
91,,
144,,
80,,
78,,
78,,
183,,
86,,
81,,
77,,
148,,
148,,
89,,
101,,
61,,
94,,
84,,
65,,
70,,
125,,
117,,
91,,
91,,
72,,
102,,
119,,
80,,
75,,
80,,
151,,
73,,
92,,
102,,
102,,
198,,
85,,
99,,
256,,
159,,
99,,
89,,
113,,
121,,
89,,
89,,
78,,
78,,
92,,
100,,
65,,
276,,
108,,
80,,
88,,
74,,
74,,
101,,
97,,
77,,
85,,
94,,
95,,
78,,
239,,
116,,
86,,
86,,
63,,
133,,
114,,
155,,
104,,
80,,
177,,
92,,
111,,
97,,
97,,
212,,
97,,
76,,
77,,
117,,
99,,
87,,
86,,
79,,
104,,
104,,
77,,
273,,
115,,
90,,
84,,
80,,
77,,
119,,
66,,
78,,
78,,
97,,
162,,
68,,
92,,
187,,
87,,
82,,
86,,
