data,age,gender
159,45,1
78,,
95,,
95,,
81,,
69,,
60,,
81,,
120,,
144,,
247,,
211,,
168,,
125,,
125,,
114,,
134,,
136,,
131,,
71,,
96,,
170,,
117,,
99,,
107,,
107,,
132,,
87,,
86,,
97,,
126,,
83,,
83,,
79,,
131,,
90,,
90,,
77,,
86,,
132,,
71,,
93,,
73,,
214,,
94,,
73,,
60,,
60,,
107,,
103,,
78,,
67,,
79,,
111,,
79,,
101,,
68,,
153,,
153,,
95,,
75,,
69,,
125,,
92,,
75,,
246,,
100,,
75,,
74,,
74,,
67,,
83,,
98,,
67,,
92,,
107,,
126,,
89,,
87,,
174,,
174,,
83,,
78,,
78,,
110,,
124,,
82,,
68,,
80,,
110,,
70,,
70,,
69,,
92,,
111,,
66,,
86,,
81,,
105,,
64,,
58,,
82,,
82,,
151,,
80,,
85,,
170,,
76,,
64,,
57,,
61,,
183,,
82,,
82,,
59,,
55,,
80,,
79,,
81,,
69,,
83,,
82,,
64,,
65,,
65,,
83,,
108,,
54,,
68,,
89,,
123,,
71,,
82,,
65,,
221,,
221,,
92,,
100,,
64,,
82,,
97,,
75,,
101,,
87,,
129,,
69,,
69,,
96,,
67,,
121,,
77,,
81,,
78,,
86,,
126,,
79,,
70,,
70,,
84,,
177,,
75,,
76,,
60,,
96,,
84,,
86,,
73,,
89,,
89,,
114,,
65,,
65,,
62,,
166,,
79,,
95,,
64,,
100,,
94,,
94,,
76,,
73,,
99,,
103,,
73,,
66,,
62,,
137,,
73,,
65,,
65,,
56,,
185,,
80,,
70,,
81,,
77,,
111,,
83,,
74,,
106,,
106,,
137,,
85,,
64,,
64,,
161,,
76,,
70,,
60,,
70,,
89,,
89,,
68,,
64,,
71,,
139,,
76,,
66,,
56,,
211,,
75,,
60,,
60,,
66,,
64,,
85,,
62,,
66,,
70,,
113,,
79,,
82,,
68,,
68,,
145,,
79,,
87,,
85,,
210,,
78,,
72,,
62,,
89,,
100,,
100,,
80,,
72,,
85,,
112,,
77,,
65,,
94,,
118,,
71,,
62,,
62,,
95,,
131,,
76,,
66,,
66,,
137,,
71,,
73,,
73,,
161,,
161,,
73,,
68,,
68,,
183,,
77,,
80,,
60,,
228,,
74,,
86,,
86,,
74,,
198,,
86,,
76,,
80,,
191,,
81,,
69,,
68,,
183,,
183,,
76,,
73,,
216,,
92,,
80,,
60,,
61,,
204,,
66,,
66,,
66,,
67,,
186,,
74,,
69,,
66,,
181,,
76,,
73,,
73,,
155,,
155,,
71,,
72,,
84,,
134,,
75,,
278,,
139,,
80,,
66,,
66,,
66,,
65,,
124,,
82,,
72,,
60,,
121,,
73,,
71,,
179,,
76,,
76,,
64,,
70,,
52,,
184,,
72,,
75,,
68,,
181,,
78,,
