data,age,gender
144,18,0
144,,
115,,
102,,
120,,
122,,
110,,
127,,
114,,
126,,
119,,
126,,
126,,
166,,
137,,
116,,
128,,
171,,
140,,
166,,
170,,
179,,
203,,
203,,
206,,
240,,
187,,
209,,
211,,
218,,
177,,
195,,
258,,
189,,
189,,
126,,
171,,
133,,
149,,
120,,
159,,
121,,
127,,
129,,
141,,
141,,
138,,
137,,
123,,
112,,
111,,
112,,
154,,
128,,
114,,
105,,
105,,
136,,
100,,
96,,
98,,
139,,
148,,
130,,
232,,
178,,
141,,
141,,
178,,
225,,
205,,
186,,
202,,
181,,
169,,
182,,
201,,
179,,
179,,
124,,
140,,
131,,
133,,
167,,
108,,
125,,
114,,
124,,
94,,
94,,
102,,
117,,
95,,
128,,
160,,
106,,
101,,
116,,
119,,
92,,
92,,
82,,
151,,
115,,
112,,
100,,
122,,
85,,
113,,
140,,
117,,
117,,
137,,
101,,
124,,
114,,
100,,
112,,
150,,
124,,
120,,
121,,
121,,
125,,
111,,
104,,
140,,
103,,
80,,
122,,
158,,
119,,
113,,
113,,
134,,
136,,
136,,
122,,
138,,
141,,
132,,
89,,
103,,
123,,
123,,
130,,
233,,
341,,
415,,
372,,
341,,
306,,
250,,
147,,
136,,
136,,
176,,
125,,
161,,
281,,
553,,
718,,
906,,
900,,
834,,
663,,
663,,
555,,
512,,
326,,
180,,
133,,
135,,
194,,
224,,
254,,
235,,
235,,
221,,
214,,
210,,
199,,
245,,
199,,
221,,
188,,
144,,
115,,
115,,
155,,
174,,
169,,
157,,
179,,
200,,
133,,
122,,
138,,
159,,
159,,
142,,
128,,
158,,
118,,
116,,
97,,
139,,
112,,
124,,
112,,
112,,
144,,
135,,
124,,
106,,
149,,
128,,
110,,
129,,
139,,
139,,
139,,
116,,
131,,
153,,
129,,
111,,
117,,
141,,
131,,
103,,
122,,
122,,
145,,
123,,
128,,
126,,
119,,
109,,
110,,
144,,
134,,
102,,
102,,
111,,
112,,
118,,
129,,
107,,
150,,
132,,
117,,
138,,
120,,
120,,
114,,
124,,
163,,
109,,
111,,
100,,
126,,
109,,
117,,
114,,
114,,
114,,
112,,
128,,
125,,
182,,
123,,
106,,
137,,
132,,
134,,
134,,
121,,
101,,
123,,
130,,
124,,
134,,
112,,
115,,
141,,
119,,
119,,
128,,
111,,
141,,
164,,
111,,
113,,
144,,
147,,
125,,
102,,
102,,
144,,
135,,
114,,
149,,
153,,
115,,
115,,
172,,
138,,
116,,
116,,
114,,
121,,
129,,
121,,
151,,
146,,
118,,
136,,
140,,
139,,
139,,
138,,
155,,
134,,
154,,
139,,
160,,
131,,
126,,
127,,
135,,
135,,
119,,
103,,
125,,
103,,
113,,
139,,
160,,
162,,
