data,age,gender
144,18,0
162,,
106,,
132,,
132,,
168,,
129,,
113,,
166,,
117,,
108,,
144,,
123,,
90,,
106,,
106,,
111,,
117,,
116,,
106,,
114,,
107,,
130,,
114,,
170,,
126,,
126,,
111,,
120,,
113,,
135,,
91,,
111,,
217,,
179,,
198,,
180,,
180,,
189,,
197,,
191,,
244,,
189,,
166,,
173,,
156,,
144,,
145,,
145,,
148,,
146,,
155,,
116,,
126,,
121,,
89,,
123,,
162,,
118,,
118,,
108,,
135,,
131,,
115,,
101,,
114,,
120,,
115,,
121,,
147,,
147,,
129,,
108,,
111,,
119,,
134,,
118,,
111,,
182,,
94,,
109,,
109,,
139,,
146,,
119,,
131,,
114,,
126,,
176,,
138,,
126,,
124,,
124,,
115,,
90,,
107,,
127,,
143,,
98,,
143,,
122,,
101,,
122,,
122,,
157,,
117,,
145,,
128,,
97,,
123,,
124,,
115,,
126,,
103,,
103,,
123,,
132,,
124,,
106,,
97,,
148,,
120,,
97,,
118,,
116,,
116,,
133,,
121,,
112,,
133,,
132,,
150,,
139,,
238,,
152,,
135,,
135,,
206,,
146,,
125,,
104,,
119,,
131,,
128,,
109,,
144,,
105,,
105,,
111,,
117,,
127,,
119,,
100,,
132,,
125,,
113,,
87,,
157,,
157,,
135,,
122,,
148,,
151,,
103,,
115,,
110,,
133,,
193,,
140,,
140,,
129,,
154,,
120,,
202,,
134,,
139,,
162,,
138,,
162,,
112,,
112,,
124,,
126,,
102,,
121,,
139,,
119,,
128,,
117,,
96,,
117,,
117,,
107,,
134,,
138,,
116,,
121,,
147,,
133,,
108,,
110,,
105,,
105,,
130,,
135,,
121,,
149,,
115,,
108,,
123,,
124,,
107,,
117,,
117,,
134,,
165,,
159,,
127,,
114,,
142,,
115,,
181,,
117,,
105,,
105,,
123,,
142,,
129,,
159,,
162,,
138,,
147,,
138,,
149,,
144,,
144,,
129,,
121,,
161,,
126,,
117,,
170,,
133,,
106,,
122,,
149,,
149,,
144,,
129,,
122,,
107,,
158,,
142,,
155,,
160,,
129,,
125,,
125,,
124,,
147,,
129,,
161,,
130,,
126,,
108,,
144,,
121,,
111,,
111,,
165,,
110,,
114,,
125,,
112,,
116,,
107,,
145,,
113,,
115,,
115,,
109,,
111,,
110,,
106,,
132,,
123,,
129,,
106,,
124,,
147,,
147,,
158,,
129,,
143,,
118,,
110,,
133,,
95,,
110,,
141,,
119,,
119,,
100,,
129,,
137,,
97,,
122,,
196,,
113,,
103,,
115,,
121,,
121,,
108,,
108,,
100,,
137,,
110,,
107,,
125,,
114,,
100,,
108,,
108,,
114,,
117,,
137,,
144,,
115,,
109,,
143,,
119,,
89,,
110,,
110,,
114,,
132,,
133,,
108,,
143,,
154,,
119,,
119,,
106,,
