data,age,gender
268,30,1
268,,
153,,
126,,
114,,
212,,
120,,
128,,
109,,
188,,
125,,
114,,
114,,
278,,
125,,
123,,
114,,
217,,
155,,
133,,
123,,
164,,
117,,
117,,
139,,
224,,
128,,
118,,
100,,
176,,
140,,
114,,
150,,
138,,
138,,
114,,
100,,
198,,
156,,
122,,
122,,
111,,
156,,
141,,
117,,
117,,
107,,
141,,
113,,
132,,
121,,
154,,
111,,
113,,
128,,
146,,
146,,
112,,
107,,
124,,
124,,
121,,
107,,
103,,
161,,
107,,
112,,
112,,
132,,
182,,
115,,
125,,
137,,
199,,
165,,
149,,
145,,
194,,
194,,
134,,
104,,
140,,
202,,
122,,
105,,
105,,
218,,
119,,
126,,
126,,
132,,
210,,
129,,
113,,
122,,
217,,
149,,
123,,
131,,
198,,
198,,
123,,
149,,
151,,
163,,
110,,
120,,
106,,
151,,
125,,
128,,
128,,
130,,
170,,
111,,
106,,
122,,
169,,
125,,
108,,
119,,
131,,
131,,
138,,
114,,
131,,
129,,
113,,
136,,
259,,
101,,
103,,
140,,
140,,
230,,
119,,
118,,
159,,
186,,
134,,
138,,
115,,
131,,
127,,
127,,
109,,
308,,
141,,
110,,
110,,
269,,
149,,
135,,
144,,
268,,
268,,
129,,
132,,
116,,
197,,
159,,
121,,
96,,
150,,
115,,
119,,
119,,
217,,
136,,
113,,
139,,
251,,
122,,
114,,
126,,
193,,
150,,
150,,
105,,
105,,
152,,
101,,
128,,
290,,
132,,
122,,
139,,
225,,
225,,
126,,
131,,
112,,
217,,
111,,
95,,
185,,
200,,
125,,
140,,
140,,
111,,
144,,
132,,
165,,
236,,
135,,
116,,
110,,
209,,
114,,
114,,
105,,
102,,
182,,
129,,
112,,
105,,
172,,
109,,
89,,
106,,
106,,
128,,
87,,
129,,
260,,
94,,
83,,
123,,
194,,
120,,
75,,
75,,
129,,
165,,
111,,
84,,
101,,
155,,
110,,
115,,
120,,
150,,
150,,
114,,
102,,
289,,
122,,
87,,
99,,
205,,
135,,
99,,
114,,
114,,
