data,age,gender
268,30,1
108,,
110,,
104,,
133,,
122,,
99,,
179,,
139,,
107,,
107,,
99,,
210,,
128,,
96,,
105,,
194,,
119,,
108,,
117,,
178,,
178,,
137,,
130,,
296,,
127,,
89,,
116,,
193,,
103,,
96,,
122,,
122,,
175,,
116,,
114,,
141,,
125,,
94,,
98,,
298,,
110,,
75,,
75,,
106,,
259,,
129,,
85,,
118,,
199,,
107,,
118,,
115,,
175,,
175,,
103,,
114,,
112,,
150,,
105,,
114,,
274,,
151,,
99,,
114,,
114,,
225,,
112,,
137,,
132,,
196,,
114,,
105,,
113,,
151,,
94,,
94,,
119,,
295,,
109,,
102,,
84,,
234,,
117,,
96,,
130,,
197,,
197,,
104,,
103,,
97,,
161,,
132,,
100,,
331,,
103,,
91,,
140,,
140,,
212,,
106,,
90,,
99,,
175,,
105,,
111,,
131,,
156,,
123,,
123,,
108,,
293,,
128,,
105,,
104,,
228,,
133,,
97,,
107,,
168,,
168,,
107,,
116,,
114,,
149,,
109,,
113,,
234,,
110,,
84,,
120,,
120,,
171,,
119,,
104,,
96,,
141,,
97,,
96,,
239,,
125,,
110,,
110,,
104,,
235,,
122,,
107,,
95,,
148,,
101,,
86,,
180,,
125,,
125,,
114,,
99,,
235,,
93,,
109,,
126,,
170,,
123,,
115,,
103,,
103,,
135,,
118,,
109,,
210,,
129,,
115,,
92,,
169,,
112,,
102,,
102,,
314,,
128,,
93,,
116,,
222,,
121,,
112,,
109,,
157,,
114,,
114,,
102,,
120,,
138,,
120,,
141,,
216,,
110,,
104,,
136,,
182,,
182,,
125,,
135,,
296,,
130,,
112,,
123,,
212,,
115,,
111,,
112,,
112,,
181,,
108,,
106,,
141,,
115,,
104,,
99,,
217,,
116,,
101,,
101,,
120,,
166,,
106,,
115,,
102,,
146,,
115,,
122,,
107,,
155,,
155,,
111,,
128,,
192,,
136,,
133,,
104,,
249,,
121,,
98,,
120,,
120,,
193,,
105,,
124,,
128,,
172,,
136,,
132,,
206,,
149,,
109,,
109,,
129,,
259,,
139,,
124,,
117,,
188,,
100,,
108,,
98,,
