data,age,gender
177,22,0
177,,
265,,
137,,
113,,
359,,
194,,
132,,
160,,
179,,
129,,
114,,
114,,
196,,
150,,
164,,
281,,
150,,
111,,
362,,
207,,
143,,
136,,
136,,
181,,
153,,
187,,
283,,
140,,
206,,
363,,
200,,
192,,
168,,
168,,
254,,
602,,
598,,
449,,
622,,
588,,
368,,
182,,
186,,
330,,
330,,
205,,
141,,
173,,
205,,
128,,
175,,
288,,
137,,
133,,
372,,
372,,
173,,
138,,
186,,
271,,
170,,
166,,
300,,
142,,
102,,
236,,
236,,
134,,
104,,
333,,
143,,
201,,
246,,
179,,
110,,
178,,
219,,
219,,
133,,
208,,
269,,
137,,
89,,
281,,
135,,
104,,
102,,
152,,
152,,
118,,
118,,
212,,
106,,
96,,
292,,
138,,
95,,
112,,
202,,
202,,
108,,
76,,
259,,
101,,
95,,
100,,
161,,
103,,
132,,
212,,
212,,
105,,
105,,
296,,
149,,
113,,
108,,
196,,
105,,
116,,
285,,
285,,
129,,
110,,
131,,
177,,
116,,
104,,
242,,
121,,
108,,
233,,
233,,
164,,
389,,
341,,
954,,
953,,
632,,
807,,
452,,
263,,
316,,
316,,
325,,
206,,
167,,
355,,
213,,
206,,
219,,
476,,
409,,
321,,
321,,
335,,
212,,
150,,
138,,
162,,
122,,
138,,
208,,
108,,
135,,
135,,
243,,
120,,
86,,
325,,
150,,
114,,
145,,
158,,
119,,
144,,
144,,
254,,
104,,
104,,
267,,
123,,
112,,
122,,
165,,
95,,
128,,
128,,
236,,
122,,
96,,
122,,
156,,
111,,
123,,
249,,
118,,
109,,
109,,
91,,
145,,
142,,
98,,
225,,
130,,
88,,
112,,
176,,
124,,
124,,
122,,
247,,
114,,
123,,
139,,
192,,
129,,
128,,
396,,
114,,
114,,
90,,
121,,
196,,
97,,
122,,
139,,
191,,
116,,
99,,
231,,
231,,
141,,
102,,
120,,
188,,
111,,
121,,
318,,
150,,
105,,
179,,
179,,
280,,
441,,
827,,
590,,
646,,
427,,
226,,
264,,
183,,
160,,
160,,
293,,
164,,
122,,
163,,
192,,
150,,
154,,
241,,
143,,
151,,
151,,
384,,
364,,
497,,
320,,
241,,
225,,
160,,
267,,
143,,
150,,
150,,
342,,
116,,
92,,
118,,
187,,
113,,
113,,
235,,
103,,
88,,
88,,
136,,
125,,
91,,
106,,
173,,
106,,
112,,
249,,
142,,
94,,
94,,
121,,
152,,
113,,
107,,
210,,
123,,
105,,
296,,
127,,
105,,
105,,
125,,
178,,
129,,
118,,
235,,
182,,
202,,
448,,
962,,
963,,
963,,
962,,
964,,
662,,
370,,
380,,
201,,
156,,
320,,
206,,
164,,
164,,
152,,
196,,
270,,
194,,
525,,
495,,
288,,
283,,
390,,
173,,
173,,
190,,
230,,
131,,
158,,
240,,
103,,
143,,
217,,
112,,
147,,
147,,
221,,
114,,
121,,
220,,
103,,
93,,
257,,
137,,
81,,
298,,
298,,
124,,
91,,
147,,
199,,
107,,
111,,
259,,
110,,
88,,
266,,
266,,
113,,
97,,
149,,
164,,
103,,
105,,
225,,
128,,
94,,
244,,
244,,
112,,
83,,
239,,
132,,
94,,
141,,
182,,
87,,
129,,
187,,
187,,
109,,
