data,age,gender
177,22,0
210,,
117,,
402,,
653,,
893,,
630,,
960,,
286,,
192,,
192,,
349,,
198,,
189,,
217,,
244,,
148,,
185,,
243,,
204,,
236,,
236,,
282,,
164,,
142,,
376,,
192,,
223,,
227,,
298,,
718,,
497,,
497,,
374,,
699,,
457,,
361,,
256,,
197,,
131,,
159,,
114,,
129,,
129,,
199,,
108,,
100,,
286,,
145,,
194,,
344,,
960,,
962,,
731,,
731,,
562,,
312,,
213,,
260,,
151,,
193,,
311,,
162,,
193,,
282,,
282,,
209,,
232,,
315,,
618,,
436,,
312,,
452,,
338,,
248,,
250,,
250,,
130,,
131,,
188,,
129,,
104,,
260,,
134,,
128,,
317,,
149,,
149,,
98,,
113,,
184,,
98,,
155,,
238,,
119,,
104,,
297,,
128,,
128,,
124,,
156,,
167,,
136,,
127,,
217,,
126,,
74,,
188,,
145,,
145,,
85,,
128,,
208,,
110,,
91,,
332,,
134,,
80,,
105,,
149,,
149,,
101,,
157,,
274,,
263,,
315,,
400,,
429,,
265,,
262,,
188,,
188,,
141,,
190,,
224,,
127,,
169,,
247,,
182,,
138,,
336,,
223,,
223,,
192,,
959,,
350,,
187,,
331,,
419,,
229,,
146,,
256,,
125,,
125,,
138,,
226,,
114,,
90,,
354,,
138,,
108,,
130,,
185,,
116,,
116,,
136,,
250,,
107,,
99,,
167,,
145,,
107,,
153,,
177,,
119,,
119,,
171,,
191,,
105,,
130,,
252,,
125,,
114,,
326,,
134,,
110,,
110,,
126,,
212,,
100,,
100,,
236,,
115,,
90,,
239,,
130,,
101,,
101,,
115,,
192,,
115,,
169,,
202,,
110,,
94,,
224,,
99,,
99,,
99,,
311,,
141,,
110,,
168,,
225,,
184,,
213,,
576,,
295,,
453,,
453,,
252,,
246,,
175,,
186,,
325,,
179,,
141,,
165,,
175,,
149,,
149,,
151,,
250,,
221,,
244,,
241,,
642,,
417,,
321,,
369,,
247,,
247,,
190,,
280,,
129,,
120,,
324,,
141,,
99,,
131,,
138,,
124,,
124,,
145,,
198,,
134,,
115,,
290,,
144,,
146,,
119,,
183,,
120,,
120,,
106,,
287,,
109,,
120,,
108,,
171,,
108,,
116,,
244,,
139,,
139,,
97,,
120,,
190,,
128,,
187,,
225,,
108,,
94,,
352,,
160,,
160,,
94,,
123,,
188,,
109,,
126,,
228,,
108,,
101,,
297,,
138,,
138,,
111,,
132,,
184,,
117,,
144,,
227,,
116,,
144,,
360,,
346,,
346,,
305,,
343,,
373,,
381,,
245,,
361,,
256,,
143,,
156,,
246,,
246,,
176,,
159,,
250,,
149,,
153,,
151,,
202,,
185,,
164,,
251,,
251,,
146,,
160,,
417,,
202,,
132,,
131,,
181,,
161,,
166,,
279,,
279,,
145,,
192,,
187,,
181,,
164,,
152,,
249,,
137,,
121,,
307,,
307,,
138,,
115,,
158,,
194,,
158,,
161,,
218,,
157,,
181,,
267,,
267,,
128,,
109,,
313,,
179,,
123,,
150,,
198,,
165,,
139,,
247,,
247,,
131,,
163,,
123,,
193,,
138,,
163,,
214,,
145,,
112,,
313,,
313,,
145,,
121,,
140,,
165,,
129,,
214,,
230,,
179,,
131,,
265,,
265,,
148,,
200,,
121,,
174,,
135,,
110,,
209,,
131,,
138,,
277,,
277,,
156,,
130,,
107,,
210,,
156,,
164,,
218,,
169,,
127,,
