data,age,gender
208,20,0
208,,
213,,
219,,
223,,
203,,
227,,
241,,
207,,
242,,
256,,
203,,
203,,
226,,
233,,
201,,
226,,
231,,
194,,
206,,
222,,
183,,
216,,
216,,
230,,
190,,
207,,
213,,
183,,
214,,
177,,
216,,
193,,
183,,
183,,
175,,
163,,
153,,
174,,
187,,
181,,
171,,
162,,
194,,
181,,
181,,
174,,
170,,
149,,
149,,
150,,
167,,
169,,
146,,
183,,
154,,
154,,
133,,
169,,
298,,
465,,
503,,
395,,
294,,
209,,
119,,
129,,
129,,
140,,
162,,
181,,
173,,
198,,
225,,
195,,
204,,
208,,
211,,
211,,
191,,
178,,
146,,
149,,
167,,
168,,
175,,
170,,
194,,
186,,
186,,
209,,
180,,
202,,
211,,
170,,
161,,
156,,
144,,
141,,
154,,
154,,
148,,
133,,
156,,
150,,
140,,
155,,
196,,
184,,
165,,
207,,
207,,
224,,
207,,
207,,
224,,
237,,
237,,
233,,
225,,
213,,
211,,
211,,
191,,
178,,
173,,
182,,
192,,
172,,
211,,
200,,
227,,
193,,
193,,
187,,
169,,
151,,
169,,
183,,
165,,
181,,
153,,
152,,
153,,
153,,
212,,
167,,
168,,
199,,
179,,
170,,
173,,
159,,
149,,
132,,
132,,
116,,
110,,
99,,
90,,
84,,
80,,
85,,
80,,
84,,
77,,
77,,
73,,
78,,
92,,
89,,
88,,
81,,
80,,
79,,
81,,
85,,
85,,
79,,
76,,
76,,
76,,
80,,
79,,
80,,
77,,
74,,
74,,
74,,
75,,
74,,
76,,
82,,
86,,
87,,
84,,
81,,
80,,
77,,
77,,
74,,
72,,
77,,
78,,
78,,
76,,
75,,
73,,
78,,
76,,
76,,
71,,
78,,
81,,
79,,
77,,
75,,
74,,
75,,
76,,
81,,
81,,
80,,
81,,
83,,
86,,
81,,
77,,
79,,
77,,
82,,
79,,
79,,
75,,
71,,
70,,
71,,
70,,
71,,
73,,
78,,
80,,
81,,
81,,
80,,
77,,
71,,
70,,
70,,
73,,
75,,
73,,
73,,
79,,
79,,
81,,
84,,
85,,
90,,
87,,
82,,
78,,
75,,
75,,
74,,
74,,
71,,
73,,
74,,
82,,
80,,
77,,
79,,
77,,
78,,
80,,
80,,
82,,
79,,
77,,
77,,
80,,
80,,
79,,
81,,
83,,
81,,
81,,
80,,
78,,
77,,
78,,
78,,
76,,
77,,
78,,
78,,
79,,
79,,
80,,
79,,
77,,
79,,
77,,
78,,
79,,
80,,
77,,
78,,
78,,
80,,
77,,
74,,
74,,
74,,
78,,
82,,
85,,
83,,
87,,
87,,
86,,
85,,
77,,
77,,
81,,
86,,
83,,
80,,
78,,
79,,
79,,
73,,
69,,
68,,
72,,
69,,
73,,
72,,
69,,
72,,
74,,
74,,
78,,
80,,
87,,
88,,
84,,
81,,
79,,
81,,
86,,
92,,
92,,
