data,age,gender
208,20,0
89,,
87,,
86,,
79,,
80,,
78,,
77,,
77,,
79,,
79,,
78,,
79,,
79,,
80,,
81,,
81,,
79,,
80,,
79,,
82,,
82,,
80,,
76,,
70,,
69,,
67,,
71,,
74,,
75,,
73,,
78,,
78,,
75,,
75,,
74,,
76,,
73,,
75,,
75,,
75,,
75,,
74,,
74,,
73,,
79,,
79,,
83,,
79,,
82,,
79,,
78,,
77,,
79,,
79,,
78,,
81,,
82,,
86,,
82,,
81,,
80,,
80,,
75,,
82,,
82,,
79,,
79,,
80,,
81,,
79,,
80,,
79,,
79,,
79,,
81,,
81,,
78,,
74,,
72,,
69,,
67,,
70,,
77,,
77,,
81,,
83,,
83,,
78,,
75,,
79,,
86,,
86,,
81,,
81,,
84,,
86,,
83,,
83,,
79,,
80,,
76,,
76,,
76,,
77,,
79,,
77,,
76,,
78,,
78,,
78,,
78,,
75,,
73,,
75,,
73,,
77,,
81,,
86,,
85,,
85,,
86,,
84,,
82,,
80,,
77,,
78,,
77,,
78,,
81,,
81,,
81,,
79,,
78,,
81,,
79,,
78,,
76,,
77,,
78,,
78,,
78,,
78,,
77,,
82,,
77,,
79,,
75,,
77,,
77,,
78,,
80,,
79,,
79,,
78,,
77,,
74,,
75,,
74,,
75,,
77,,
75,,
75,,
76,,
76,,
77,,
77,,
77,,
77,,
77,,
75,,
79,,
78,,
78,,
80,,
80,,
77,,
75,,
76,,
75,,
74,,
75,,
74,,
76,,
73,,
77,,
77,,
76,,
76,,
74,,
77,,
76,,
74,,
74,,
73,,
75,,
76,,
76,,
75,,
76,,
75,,
76,,
75,,
74,,
73,,
75,,
76,,
77,,
77,,
73,,
75,,
73,,
74,,
74,,
73,,
75,,
76,,
74,,
74,,
74,,
74,,
76,,
75,,
72,,
73,,
76,,
74,,
72,,
77,,
77,,
77,,
74,,
79,,
76,,
74,,
73,,
74,,
74,,
74,,
76,,
78,,
78,,
75,,
75,,
75,,
79,,
78,,
78,,
77,,
78,,
78,,
79,,
79,,
77,,
79,,
76,,
75,,
73,,
77,,
73,,
71,,
75,,
77,,
77,,
78,,
78,,
74,,
76,,
75,,
75,,
77,,
76,,
76,,
77,,
77,,
77,,
76,,
75,,
75,,
76,,
75,,
77,,
76,,
78,,
80,,
80,,
79,,
77,,
77,,
73,,
75,,
75,,
75,,
77,,
76,,
80,,
80,,
77,,
75,,
76,,
77,,
75,,
75,,
75,,
74,,
75,,
76,,
76,,
76,,
76,,
78,,
77,,
76,,
74,,
74,,
75,,
74,,
80,,
80,,
77,,
75,,
73,,
73,,
74,,
74,,
74,,
73,,
75,,
78,,
78,,
77,,
74,,
74,,
75,,
73,,
74,,
75,,
76,,
75,,
76,,
76,,
77,,
77,,
74,,
76,,
75,,
76,,
76,,
74,,
75,,
75,,
75,,
77,,
73,,
74,,
75,,
73,,
73,,
72,,
73,,
74,,
