data,age,gender
72,19,0
72,,
72,,
71,,
71,,
74,,
70,,
67,,
68,,
72,,
76,,
75,,
75,,
76,,
76,,
73,,
74,,
70,,
70,,
74,,
72,,
76,,
77,,
77,,
76,,
75,,
72,,
75,,
74,,
71,,
74,,
74,,
71,,
76,,
76,,
74,,
72,,
72,,
78,,
73,,
72,,
72,,
73,,
76,,
74,,
74,,
72,,
74,,
73,,
75,,
70,,
71,,
73,,
71,,
77,,
77,,
77,,
75,,
73,,
72,,
74,,
71,,
74,,
71,,
70,,
75,,
76,,
76,,
74,,
72,,
73,,
75,,
72,,
72,,
72,,
74,,
76,,
73,,
73,,
72,,
73,,
72,,
73,,
74,,
70,,
73,,
74,,
75,,
74,,
74,,
73,,
74,,
74,,
74,,
71,,
73,,
71,,
76,,
73,,
74,,
74,,
71,,
75,,
70,,
69,,
68,,
80,,
99,,
93,,
79,,
80,,
80,,
77,,
74,,
71,,
73,,
75,,
75,,
78,,
80,,
83,,
77,,
77,,
76,,
70,,
68,,
70,,
69,,
72,,
72,,
70,,
75,,
74,,
74,,
74,,
75,,
74,,
79,,
73,,
73,,
72,,
73,,
76,,
71,,
71,,
71,,
72,,
70,,
72,,
68,,
69,,
72,,
72,,
78,,
79,,
79,,
79,,
75,,
73,,
74,,
71,,
73,,
76,,
75,,
77,,
78,,
78,,
82,,
80,,
78,,
75,,
72,,
75,,
76,,
75,,
79,,
78,,
78,,
76,,
74,,
72,,
74,,
72,,
72,,
72,,
74,,
81,,
78,,
78,,
75,,
75,,
75,,
76,,
72,,
74,,
73,,
74,,
75,,
74,,
74,,
76,,
74,,
74,,
75,,
76,,
75,,
75,,
73,,
77,,
75,,
75,,
73,,
75,,
73,,
77,,
72,,
72,,
71,,
72,,
77,,
77,,
77,,
76,,
74,,
74,,
74,,
76,,
76,,
76,,
77,,
75,,
76,,
76,,
75,,
73,,
73,,
75,,
72,,
73,,
73,,
71,,
74,,
74,,
74,,
74,,
73,,
72,,
75,,
73,,
70,,
73,,
72,,
77,,
77,,
77,,
74,,
73,,
73,,
77,,
73,,
72,,
72,,
74,,
75,,
73,,
73,,
74,,
74,,
73,,
75,,
73,,
73,,
73,,
73,,
73,,
74,,
74,,
71,,
73,,
73,,
75,,
72,,
72,,
76,,
73,,
75,,
75,,
75,,
73,,
75,,
73,,
74,,
70,,
72,,
73,,
71,,
76,,
78,,
78,,
75,,
74,,
74,,
