data,age,gender
72,19,0
71,,
72,,
72,,
72,,
74,,
77,,
77,,
75,,
71,,
73,,
74,,
73,,
73,,
71,,
73,,
74,,
76,,
76,,
74,,
72,,
73,,
76,,
73,,
73,,
72,,
71,,
73,,
74,,
74,,
74,,
74,,
73,,
76,,
73,,
71,,
75,,
74,,
73,,
75,,
75,,
72,,
74,,
73,,
74,,
71,,
72,,
73,,
72,,
73,,
74,,
74,,
72,,
75,,
73,,
75,,
72,,
72,,
71,,
71,,
74,,
75,,
75,,
75,,
75,,
72,,
76,,
74,,
71,,
73,,
73,,
75,,
73,,
73,,
71,,
74,,
74,,
73,,
71,,
71,,
73,,
71,,
73,,
74,,
74,,
75,,
71,,
73,,
74,,
73,,
73,,
73,,
73,,
74,,
73,,
73,,
72,,
73,,
73,,
73,,
74,,
75,,
70,,
71,,
74,,
74,,
74,,
73,,
74,,
72,,
71,,
72,,
72,,
71,,
70,,
72,,
75,,
75,,
74,,
74,,
71,,
74,,
72,,
71,,
74,,
72,,
73,,
76,,
76,,
73,,
71,,
71,,
74,,
72,,
72,,
72,,
71,,
72,,
73,,
73,,
74,,
71,,
70,,
73,,
72,,
71,,
73,,
72,,
73,,
73,,
73,,
70,,
73,,
73,,
75,,
71,,
70,,
69,,
72,,
72,,
73,,
73,,
74,,
71,,
72,,
76,,
74,,
72,,
71,,
71,,
72,,
71,,
71,,
72,,
72,,
72,,
72,,
70,,
71,,
70,,
71,,
71,,
74,,
74,,
71,,
72,,
73,,
72,,
71,,
72,,
72,,
70,,
74,,
76,,
76,,
73,,
73,,
69,,
73,,
72,,
71,,
71,,
71,,
72,,
76,,
76,,
72,,
73,,
72,,
74,,
71,,
70,,
72,,
71,,
71,,
73,,
73,,
74,,
71,,
73,,
73,,
71,,
70,,
72,,
69,,
73,,
74,,
74,,
71,,
70,,
70,,
72,,
74,,
70,,
70,,
72,,
72,,
75,,
75,,
72,,
72,,
71,,
73,,
72,,
71,,
72,,
71,,
73,,
74,,
74,,
73,,
77,,
73,,
73,,
69,,
71,,
71,,
70,,
74,,
74,,
74,,
73,,
71,,
72,,
73,,
72,,
71,,
72,,
71,,
76,,
75,,
75,,
74,,
71,,
71,,
72,,
71,,
72,,
70,,
72,,
78,,
75,,
75,,
74,,
70,,
73,,
72,,
72,,
70,,
70,,
72,,
73,,
73,,
73,,
71,,
70,,
71,,
73,,
68,,
69,,
70,,
72,,
73,,
74,,
74,,
72,,
