data,age,gender
165,35,0
165,,
216,,
189,,
155,,
192,,
250,,
165,,
181,,
248,,
170,,
153,,
153,,
251,,
163,,
194,,
240,,
204,,
190,,
219,,
203,,
158,,
168,,
168,,
252,,
165,,
177,,
232,,
176,,
135,,
285,,
236,,
176,,
179,,
179,,
299,,
271,,
248,,
219,,
217,,
189,,
211,,
253,,
238,,
263,,
263,,
178,,
188,,
319,,
202,,
177,,
179,,
175,,
138,,
210,,
217,,
217,,
146,,
170,,
218,,
146,,
176,,
292,,
201,,
214,,
253,,
230,,
230,,
209,,
161,,
188,,
192,,
169,,
193,,
193,,
207,,
215,,
202,,
202,,
230,,
195,,
201,,
176,,
264,,
156,,
213,,
259,,
186,,
179,,
179,,
244,,
203,,
193,,
149,,
214,,
197,,
220,,
307,,
232,,
168,,
168,,
253,,
189,,
225,,
169,,
236,,
197,,
244,,
244,,
195,,
178,,
178,,
239,,
183,,
202,,
238,,
267,,
294,,
184,,
275,,
179,,
174,,
174,,
188,,
169,,
235,,
248,,
221,,
212,,
295,,
248,,
185,,
197,,
197,,
254,,
244,,
213,,
245,,
213,,
246,,
295,,
189,,
192,,
207,,
207,,
200,,
220,,
189,,
231,,
223,,
185,,
226,,
163,,
170,,
231,,
231,,
172,,
226,,
251,,
182,,
228,,
270,,
267,,
202,,
259,,
221,,
221,,
203,,
221,,
230,,
199,,
200,,
221,,
184,,
204,,
229,,
193,,
193,,
281,,
257,,
214,,
262,,
246,,
189,,
195,,
290,,
190,,
207,,
207,,
251,,
209,,
203,,
246,,
230,,
245,,
273,,
198,,
158,,
187,,
187,,
252,,
185,,
193,,
224,,
196,,
160,,
194,,
177,,
208,,
244,,
244,,
177,,
193,,
215,,
189,,
168,,
209,,
224,,
174,,
198,,
190,,
190,,
200,,
182,,
206,,
213,,
195,,
161,,
179,,
201,,
179,,
172,,
172,,
241,,
185,,
209,,
271,,
206,,
205,,
277,,
185,,
169,,
182,,
182,,
186,,
182,,
153,,
232,,
186,,
190,,
198,,
187,,
138,,
180,,
180,,
197,,
181,,
203,,
168,,
215,,
246,,
191,,
188,,
294,,
254,,
254,,
222,,
256,,
218,,
250,,
209,,
157,,
186,,
197,,
202,,
226,,
226,,
212,,
189,,
183,,
206,,
217,,
180,,
194,,
224,,
244,,
181,,
181,,
256,,
213,,
160,,
258,,
241,,
219,,
229,,
182,,
186,,
204,,
204,,
252,,
193,,
184,,
242,,
256,,
199,,
237,,
200,,
215,,
221,,
221,,
183,,
178,,
222,,
240,,
216,,
265,,
265,,
177,,
237,,
248,,
248,,
213,,
260,,
161,,
180,,
273,,
169,,
177,,
294,,
207,,
194,,
194,,
272,,
156,,
206,,
227,,
196,,
219,,
332,,
246,,
170,,
165,,
165,,
208,,
201,,
176,,
216,,
190,,
183,,
240,,
217,,
213,,
295,,
295,,
180,,
208,,
247,,
217,,
203,,
260,,
