data,age,gender
165,35,0
244,,
165,,
234,,
168,,
168,,
242,,
164,,
225,,
228,,
188,,
250,,
267,,
251,,
265,,
239,,
239,,
188,,
315,,
186,,
149,,
263,,
201,,
176,,
224,,
167,,
152,,
152,,
288,,
207,,
321,,
266,,
204,,
189,,
225,,
238,,
156,,
294,,
294,,
203,,
248,,
333,,
212,,
233,,
241,,
283,,
272,,
277,,
254,,
254,,
194,,
168,,
241,,
165,,
210,,
238,,
172,,
196,,
189,,
185,,
185,,
171,,
202,,
182,,
177,,
193,,
191,,
178,,
250,,
175,,
186,,
186,,
272,,
181,,
166,,
310,,
219,,
185,,
287,,
180,,
181,,
221,,
221,,
184,,
217,,
213,,
246,,
180,,
210,,
251,,
178,,
193,,
237,,
237,,
251,,
200,,
216,,
267,,
193,,
178,,
210,,
208,,
229,,
264,,
264,,
226,,
208,,
194,,
319,,
214,,
160,,
254,,
191,,
183,,
204,,
204,,
214,,
219,,
204,,
226,,
207,,
211,,
266,,
185,,
196,,
251,,
251,,
206,,
200,,
292,,
201,,
193,,
199,,
200,,
230,,
198,,
234,,
234,,
221,,
251,,
195,,
198,,
193,,
268,,
242,,
194,,
281,,
206,,
206,,
231,,
247,,
194,,
210,,
210,,
214,,
205,,
211,,
213,,
219,,
219,,
227,,
240,,
187,,
192,,
267,,
194,,
146,,
243,,
184,,
142,,
142,,
146,,
145,,
157,,
147,,
160,,
124,,
163,,
146,,
159,,
169,,
169,,
169,,
155,,
151,,
179,,
146,,
125,,
227,,
157,,
139,,
260,,
260,,
217,,
165,,
193,,
172,,
177,,
173,,
184,,
147,,
165,,
229,,
229,,
144,,
143,,
176,,
132,,
163,,
179,,
162,,
129,,
192,,
166,,
166,,
240,,
269,,
204,,
161,,
318,,
204,,
140,,
238,,
165,,
216,,
216,,
153,,
187,,
194,,
176,,
186,,
191,,
163,,
208,,
166,,
167,,
167,,
208,,
184,,
149,,
248,,
156,,
151,,
243,,
181,,
148,,
199,,
199,,
166,,
194,,
195,,
193,,
168,,
178,,
209,,
149,,
162,,
169,,
169,,
164,,
145,,
193,,
205,,
164,,
171,,
170,,
186,,
217,,
128,,
128,,
158,,
172,,
168,,
187,,
187,,
215,,
219,,
161,,
299,,
192,,
192,,
144,,
155,,
181,,
177,,
188,,
221,,
181,,
132,,
187,,
183,,
183,,
154,,
229,,
159,,
150,,
172,,
180,,
128,,
133,,
165,,
122,,
122,,
153,,
207,,
125,,
119,,
219,,
135,,
126,,
131,,
152,,
140,,
140,,
132,,
202,,
130,,
122,,
142,,
165,,
120,,
147,,
153,,
164,,
164,,
135,,
175,,
134,,
131,,
217,,
164,,
146,,
236,,
163,,
138,,
138,,
148,,
156,,
143,,
137,,
202,,
141,,
177,,
229,,
165,,
156,,
156,,
213,,
182,,
112,,
136,,
180,,
123,,
171,,
182,,
162,,
134,,
134,,
271,,
168,,
160,,
152,,
202,,
145,,
172,,
189,,
111,,
