data,age,gender
66,28,1
66,,
75,,
71,,
164,,
73,,
67,,
76,,
158,,
75,,
49,,
64,,
64,,
168,,
62,,
92,,
91,,
200,,
80,,
51,,
44,,
78,,
77,,
77,,
124,,
264,,
378,,
424,,
116,,
184,,
365,,
494,,
488,,
412,,
412,,
318,,
219,,
168,,
104,,
132,,
141,,
65,,
53,,
121,,
299,,
299,,
97,,
69,,
56,,
78,,
97,,
59,,
58,,
73,,
163,,
63,,
63,,
53,,
63,,
229,,
308,,
744,,
910,,
614,,
164,,
182,,
329,,
329,,
459,,
542,,
665,,
847,,
962,,
961,,
795,,
669,,
369,,
178,,
178,,
62,,
149,,
323,,
421,,
522,,
403,,
422,,
347,,
380,,
379,,
379,,
396,,
400,,
271,,
278,,
179,,
312,,
164,,
149,,
142,,
250,,
250,,
182,,
104,,
64,,
72,,
151,,
119,,
171,,
128,,
250,,
130,,
130,,
137,,
152,,
151,,
192,,
148,,
161,,
171,,
209,,
121,,
114,,
114,,
101,,
117,,
58,,
52,,
72,,
106,,
100,,
105,,
139,,
139,,
139,,
89,,
63,,
68,,
163,,
84,,
59,,
55,,
209,,
79,,
64,,
64,,
97,,
243,,
97,,
55,,
55,,
69,,
120,,
61,,
68,,
90,,
90,,
70,,
71,,
44,,
39,,
74,,
179,,
69,,
47,,
43,,
216,,
216,,
71,,
58,,
69,,
200,,
78,,
45,,
43,,
232,,
81,,
54,,
54,,
59,,
216,,
92,,
84,,
111,,
136,,
93,,
49,,
63,,
76,,
76,,
57,,
85,,
177,,
66,,
41,,
60,,
123,,
46,,
41,,
45,,
45,,
61,,
79,,
49,,
39,,
42,,
101,,
118,,
50,,
45,,
82,,
82,,
193,,
74,,
57,,
47,,
71,,
121,,
65,,
81,,
105,,
304,,
304,,
114,,
69,,
54,,
64,,
90,,
56,,
46,,
62,,
77,,
62,,
62,,
63,,
70,,
69,,
54,,
50,,
237,,
78,,
57,,
43,,
229,,
229,,
84,,
54,,
42,,
70,,
72,,
45,,
42,,
53,,
71,,
56,,
56,,
47,,
58,,
109,,
52,,
56,,
60,,
188,,
66,,
53,,
43,,
43,,
50,,
219,,
65,,
56,,
47,,
119,,
162,,
131,,
104,,
82,,
82,,
87,,
76,,
73,,
61,,
74,,
91,,
61,,
63,,
109,,
115,,
115,,
102,,
82,,
139,,
146,,
56,,
109,,
84,,
225,,
311,,
325,,
325,,
247,,
187,,
145,,
75,,
43,,
39,,
224,,
74,,
41,,
39,,
39,,
72,,
182,,
135,,
164,,
148,,
258,,
133,,
115,,
95,,
68,,
68,,
190,,
59,,
89,,
176,,
409,,
640,,
768,,
795,,
679,,
574,,
574,,
394,,
242,,
78,,
107,,
178,,
233,,
292,,
261,,
239,,
195,,
195,,
174,,
134,,
163,,
97,,
108,,
147,,
89,,
65,,
86,,
230,,
230,,
106,,
80,,
69,,
77,,
119,,
60,,
44,,
42,,
65,,
106,,
106,,
44,,
43,,
52,,
75,,
82,,
54,,
40,,
59,,
94,,
58,,
58,,
45,,
114,,
159,,
72,,
46,,
53,,
204,,
62,,
51,,
40,,
40,,
60,,
86,,
57,,
41,,
65,,
97,,
69,,
40,,
70,,
128,,
128,,
64,,
52,,
86,,
138,,
74,,
49,,
41,,
191,,
59,,
49,,
49,,
45,,
161,,
67,,
55,,
38,,
65,,
77,,
50,,
44,,
67,,
67,,
112,,
58,,
47,,
60,,
216,,
105,,
155,,
132,,
340,,
393,,
393,,
