data,age,gender
66,28,1
357,,
384,,
261,,
205,,
77,,
107,,
45,,
45,,
63,,
63,,
92,,
81,,
64,,
74,,
103,,
94,,
77,,
84,,
77,,
91,,
91,,
69,,
63,,
82,,
215,,
76,,
45,,
42,,
59,,
89,,
75,,
75,,
79,,
153,,
264,,
159,,
76,,
90,,
111,,
84,,
83,,
127,,
127,,
104,,
137,,
120,,
137,,
82,,
145,,
66,,
66,,
105,,
146,,
146,,
85,,
65,,
109,,
172,,
95,,
66,,
102,,
220,,
90,,
59,,
59,,
63,,
68,,
117,,
65,,
69,,
72,,
179,,
67,,
53,,
53,,
53,,
81,,
118,,
63,,
50,,
68,,
160,,
170,,
306,,
320,,
321,,
321,,
116,,
159,,
230,,
183,,
120,,
79,,
74,,
94,,
230,,
141,,
141,,
119,,
131,,
219,,
181,,
103,,
73,,
86,,
146,,
81,,
74,,
74,,
78,,
162,,
68,,
49,,
54,,
252,,
82,,
67,,
83,,
144,,
144,,
225,,
168,,
159,,
105,,
198,,
90,,
126,,
220,,
449,,
544,,
544,,
623,,
532,,
485,,
341,,
249,,
123,,
208,,
79,,
73,,
135,,
135,,
187,,
311,,
223,,
229,,
166,,
141,,
110,,
62,,
55,,
101,,
101,,
120,,
80,,
65,,
80,,
171,,
76,,
69,,
69,,
195,,
204,,
204,,
402,,
523,,
523,,
477,,
396,,
338,,
214,,
150,,
87,,
171,,
171,,
109,,
81,,
99,,
103,,
83,,
68,,
227,,
68,,
61,,
83,,
83,,
108,,
89,,
99,,
305,,
134,,
127,,
133,,
166,,
80,,
54,,
54,,
52,,
215,,
85,,
94,,
180,,
291,,
383,,
430,,
438,,
415,,
415,,
334,,
277,,
165,,
114,,
63,,
85,,
77,,
75,,
73,,
85,,
85,,
153,,
96,,
97,,
84,,
87,,
78,,
89,,
101,,
65,,
98,,
98,,
196,,
70,,
60,,
58,,
129,,
256,,
405,,
481,,
460,,
440,,
440,,
370,,
290,,
314,,
154,,
66,,
66,,
270,,
99,,
101,,
98,,
98,,
110,,
134,,
120,,
96,,
86,,
81,,
76,,
53,,
55,,
109,,
109,,
126,,
158,,
126,,
114,,
105,,
98,,
78,,
53,,
52,,
81,,
81,,
132,,
66,,
60,,
51,,
73,,
157,,
75,,
48,,
55,,
69,,
69,,
138,,
59,,
59,,
64,,
192,,
91,,
51,,
52,,
241,,
77,,
77,,
59,,
60,,
73,,
88,,
71,,
50,,
61,,
277,,
290,,
415,,
415,,
424,,
368,,
344,,
313,,
243,,
247,,
148,,
69,,
49,,
205,,
205,,
91,,
71,,
88,,
130,,
96,,
65,,
50,,
65,,
94,,
67,,
67,,
61,,
122,,
256,,
346,,
372,,
389,,
380,,
440,,
373,,
327,,
327,,
256,,
264,,
126,,
62,,
59,,
82,,
260,,
286,,
405,,
390,,
390,,
320,,
285,,
152,,
118,,
89,,
173,,
68,,
47,,
49,,
75,,
75,,
87,,
64,,
82,,
98,,
251,,
118,,
120,,
97,,
114,,
164,,
164,,
94,,
90,,
122,,
162,,
74,,
55,,
68,,
90,,
81,,
58,,
58,,
80,,
113,,
62,,
52,,
111,,
170,,
89,,
56,,
57,,
69,,
69,,
113,,
112,,
73,,
92,,
123,,
83,,
74,,
83,,
241,,
115,,
115,,
82,,
51,,
69,,
99,,
75,,
59,,
96,,
214,,
77,,
101,,
101,,
225,,
327,,
380,,
358,,
349,,
373,,
440,,
486,,
494,,
425,,
425,,
375,,
249,,
176,,
202,,
96,,
73,,
106,,
119,,
119,,
